"Facility_Number","School_Type","School District or Name","County","MMR_Vaccination_Rate","age_group","Facility_Adress"
370261001087,"Public","Contentnea-Savannah School","Lenoir County",0.987,"Kindergarten","3400 Ferrell Road, Kinston, NC 28501"
370261001089,"Public","La Grange Elementary","Lenoir County",0.971,"Kindergarten","402 W Railroad St, La Grange, NC 28551"
370261001090,"Public","Moss Hill Elementary","Lenoir County",0.871,"Kindergarten","6040 Hwy 55 West, Kinston, NC 28504"
370261003143,"Public","Northeast Elementary","Lenoir County",0.87,"Kindergarten","1002 E Highland Ave, Kinston, NC 28501"
370261000586,"Public","Northwest Elementary","Lenoir County",0.935,"Kindergarten","1701 Old Well Rd, Kinston, NC 28504"
370261001092,"Public","Pink Hill Elementary","Lenoir County",1,"Kindergarten","2666 HC Turner Road, Pink Hill, NC 28572"
370261000596,"Public","Southeast Elementary","Lenoir County",0.905,"Kindergarten","201 McDaniels Street, Kinston, NC 28501"
370261001095,"Public","Southwood Elementary","Lenoir County",0.944,"Kindergarten","1245 Hwy 58 South, Kinston, NC 28504"
370268002163,"Public","Catawba Springs Elementary","Lincoln County",0.919,"Kindergarten","206 North Little Egypt Rd, Denver, NC 28037"
597,"Private","Denver Christian Academy","Lincoln County",0.773,"Kindergarten",NA
370268001109,"Public","GE Massey Elementary","Lincoln County",0.945,"Kindergarten","130 Newbold St, Lincolnton, NC 28092"
370268001113,"Public","Iron Station Elementary","Lincoln County",0.965,"Kindergarten","4207 Hwy 27 E, Iron Station, NC 28080"
370006202393,"Charter/Lab","Lincoln Charter School","Lincoln County",0.925,"Kindergarten","7834 Galway Lane, Denver, NC 28037"
598,"Private","Long Shoals Wesleyan Academy","Lincoln County",1,"Kindergarten",NA
370268001116,"Public","Love Memorial Elementary","Lincoln County",0.938,"Kindergarten","1463 Love Memorial Sch Rd, Lincolnton, NC 28092"
370268002197,"Public","North Brook Elementary","Lincoln County",0.933,"Kindergarten","642 Hwy 274, Vale, NC 28168"
370268002469,"Public","Pumpkin Center Primary","Lincoln County",0.885,"Kindergarten","3970 King Wilkinson Road, Lincolnton, NC 28092"
370268001121,"Public","Rock Springs Elementary","Lincoln County",0.944,"Kindergarten","3633 Hwy 16 N, Denver, NC 28037"
370268001122,"Public","S Ray Lowder Elementary","Lincoln County",0.945,"Kindergarten","350 Kennedy Dr, Lincolnton, NC 28092"
370268002674,"Public","St James Elementary","Lincoln County",0.914,"Kindergarten","1774 St James Church Road, Denver, NC 28037"
599,"Private","Starboard Christian Academy","Lincoln County",0.545,"Kindergarten",NA
370268001123,"Public","Union Elementary","Lincoln County",0.943,"Kindergarten","4875 Reepsville Rd, Vale, NC 28168"
370045303508,"Charter/Lab","West Lake Preparatory Academy","Lincoln County",0.758,"Kindergarten","1691 Forney Creek, Denver, NC 28037"
370276001134,"Public","Cartoogechaye Elementary","Macon County",0.909,"Kindergarten","3295 Old Murphy Road, Franklin, NC 28734"
370276001137,"Public","East Franklin Elementary","Macon County",0.935,"Kindergarten","100 Watauga St, Franklin, NC 28734"
370276001139,"Public","Highlands School","Macon County",1,"Kindergarten","545 Pierson Dr, Highlands, NC 28741"
370276001140,"Public","Iotla Valley Elementary","Macon County",0.925,"Kindergarten","1166 Iotla Church Road, Franklin, NC 28734"
370276002589,"Public","South Macon Elementary","Macon County",0.953,"Kindergarten","855 Addington Bridge Road, Franklin, NC 28734"
370288000812,"Public","Jamesville Elementary","Martin County",0.939,"Kindergarten","1220 Hardison St, Jamesville, NC 27846"
370288001160,"Public","South Creek Elementary","Martin County",0.886,"Kindergarten","21230 NC Hwy 903, Robersonville, NC 27871"
370288001171,"Public","Williamston Primary","Martin County",0.87,"Kindergarten","400 West Blvd, Williamston, NC 27892"
370294001176,"Public","Eastfield Global Magnet School","McDowell County",0.976,"Kindergarten","170 Eastfield School Road, Marion, NC 28752"
370294001177,"Public","Glenwood Elementary School","McDowell County",0.958,"Kindergarten","1545 Old Hwy 221 South, Marion, NC 28752"
370294001178,"Public","Marion Elementary School","McDowell County",0.926,"Kindergarten","209 Robert Street, Marion, NC 28752"
370294001180,"Public","Nebo Elementary School","McDowell County",0.961,"Kindergarten","254 Nebo School Road, Nebo, NC 28761"
600,"Private","New Manna Christian School","McDowell County",1,"Kindergarten",NA
370294001181,"Public","North Cove Elementary School","McDowell County",1,"Kindergarten","401 American Thread Road, Marion, NC 28752"
370294001182,"Public","Old Fort Elementary School","McDowell County",0.982,"Kindergarten","128 Mauney Avenue, Old Fort, NC 28762"
370294001183,"Public","Pleasant Gardens Elementary School","McDowell County",1,"Kindergarten","100 John Roach Drive, Marion, NC 28752"
370294001184,"Public","West Marion Elementary School","McDowell County",0.983,"Kindergarten","820 Marler Road, Marion, NC 28752"
370297001190,"Public","Allenbrook Elementary","Mecklenburg County",0.967,"Kindergarten","1430 Allenbrook Dr, Charlotte, NC 28208"
370297001193,"Public","Bain Elementary","Mecklenburg County",0.925,"Kindergarten","11540 Bain School Rd, Mint Hill, NC 28227"
370297003023,"Public","Barnette Elementary","Mecklenburg County",0.955,"Kindergarten","13659 Beatties Ford Rd, Huntersville, NC 28078"
601,"Private","Bible Baptist Christian School","Mecklenburg County",0.923,"Kindergarten",NA
370044903503,"Charter/Lab","Bonnie Cone Classical Academy","Mecklenburg County",0.974,"Kindergarten","10700 Asbury Chapel Road, Huntersville, NC 28078"
370035603329,"Charter/Lab","Bradford Preparatory School","Mecklenburg County",0.962,"Kindergarten","2502 Salome Church Rd, Charlotte, NC 28262"
602,"Private","British International Sch. of Charlotte","Mecklenburg County",0.333,"Kindergarten",NA
603,"Private","Brookstone Schools","Mecklenburg County",0.727,"Kindergarten",NA
604,"Private","Carmel Christian School","Mecklenburg County",0.783,"Kindergarten",NA
370297002782,"Public","Chantilly Montessori","Mecklenburg County",0.936,"Kindergarten","701 Briar Creek Rd, Charlotte, NC 28205"
605,"Private","Charlotte Christian School","Mecklenburg County",0.924,"Kindergarten",NA
606,"Private","Charlotte Country Day School","Mecklenburg County",0.983,"Kindergarten",NA
607,"Private","Charlotte Jewish Day School","Mecklenburg County",1,"Kindergarten",NA
370039103375,"Charter/Lab","Charlotte Lab School","Mecklenburg County",0.948,"Kindergarten","2045 Suttle Avenue, Charlotte, NC 28208"
608,"Private","Charlotte Latin School","Mecklenburg County",0.99,"Kindergarten",NA
609,"Private","Charlotte Preparatory School","Mecklenburg County",0.951,"Kindergarten",NA
370297001204,"Public","Collinswood Language Academy","Mecklenburg County",0.953,"Kindergarten","5621 Flagstaff Drive, Charlotte, NC 28210"
370013502736,"Charter/Lab","Community School of Davidson","Mecklenburg County",0.876,"Kindergarten","404 Armour Street, Davidson, NC 28036"
370297001205,"Public","Cornelius Elementary","Mecklenburg County",0.928,"Kindergarten","21126 Catawba Ave, Cornelius, NC 28031"
370032703258,"Charter/Lab","Corvian Community School","Mecklenburg County",0.937,"Kindergarten","4041 Johnston Oehler Road, Charlotte, NC 28269"
610,"Private","Covenant Day School","Mecklenburg County",0.906,"Kindergarten",NA
370297003034,"Public","Croft Community School","Mecklenburg County",0.94,"Kindergarten","4911 Hucks Rd, Charlotte, NC 28269"
370297000813,"Public","Crown Point Elementary","Mecklenburg County",0.979,"Kindergarten","3335 Sam Newell Rd, Matthews, NC 28105"
370297000868,"Public","David Cox Road Elementary","Mecklenburg County",0.804,"Kindergarten","4215 David Cox Rd, Charlotte, NC 28269"
611,"Private","Davidson Day School","Mecklenburg County",1,"Kindergarten",NA
370042403453,"Charter/Lab","East Voyager Academy of Charlotte","Mecklenburg County",0.864,"Kindergarten","7429 Tuckaseegee Rd., Charlotte, NC 28214"
370297002826,"Public","Elon Park Elementary","Mecklenburg County",0.981,"Kindergarten","11425 Ardrey Kell Rd, Charlotte, NC 28277"
612,"Private","Friendship Day Sch. for Sci. & the Arts","Mecklenburg County",0.929,"Kindergarten",NA
613,"Private","Hickory Grove Christian School","Mecklenburg County",0.941,"Kindergarten",NA
370297001223,"Public","Hickory Grove Elementary","Mecklenburg County",0.9,"Kindergarten","6709 Pence Rd, Charlotte, NC 28215"
370297002877,"Public","Highland Creek Elementary","Mecklenburg County",0.91,"Kindergarten","7242 Highland Creek Pkwy, Charlotte, NC 28269"
370297001227,"Public","Huntingtowne Farms Elementary","Mecklenburg County",0.901,"Kindergarten","2520 Huntingtowne Farms Ln, Charlotte, NC 28210"
614,"Private","Intellicor International Academy","Mecklenburg County",0.977,"Kindergarten",NA
370033303305,"Charter/Lab","Invest Collegiate Transform","Mecklenburg County",0.889,"Kindergarten","2045 Suttle Ave, Charlotte, NC 28208"
615,"Private","Kids R Kids School","Mecklenburg County",0.917,"Kindergarten",NA
370014202922,"Charter/Lab","KIPP Charlotte","Mecklenburg County",0.817,"Kindergarten","931 Wilann Dr, Charlotte, NC 28215"
370006402399,"Charter/Lab","Lake Norman Charter","Mecklenburg County",0.95,"Kindergarten","12435 Old Statesville Road, Huntersville, NC 28078"
616,"Private","Lake Norman Christian School","Mecklenburg County",1,"Kindergarten",NA
370297000614,"Public","Lake Wylie Elementary","Mecklenburg County",0.927,"Kindergarten","13620 Erwin Rd, Charlotte, NC 28273"
370037103335,"Charter/Lab","Lakeside Charter Academy","Mecklenburg County",0.951,"Kindergarten","17609 Old Statesville Rd, Cornelius, NC 28031"
370297001236,"Public","Long Creek Elementary","Mecklenburg County",0.904,"Kindergarten","9213-A Beatties Ford Rd, Huntersville, NC 28078"
370297002198,"Public","Mallard Creek Elementary","Mecklenburg County",0.878,"Kindergarten","9801 Mallard Creek Rd, Charlotte, NC 28262"
370040503392,"Charter/Lab","Matthews Charter Academy","Mecklenburg County",0.762,"Kindergarten","2332 Mount Harmony Church Rd., Matthews, NC 28104"
370297001238,"Public","Matthews Elementary","Mecklenburg County",0.914,"Kindergarten","200 E McDowell St, Matthews, NC 28105"
370297002640,"Public","Mountain Island Lake Academy","Mecklenburg County",0.577,"Kindergarten","7905 Pleasant Grove Rd, Charlotte, NC 28216"
370041103431,"Charter/Lab","Movement Charter School","Mecklenburg County",0.945,"Kindergarten","2701-B  Freedom Dr, Charlotte, NC 28208"
370045503536,"Charter/Lab","Movement School Eastland","Mecklenburg County",0.898,"Kindergarten","5249 Central Avenue, Charlotte, NC 28212"
370044303493,"Charter/Lab","Niner University Elementary","Mecklenburg County",0.917,"Kindergarten","2414 Lester Street, Charlotte, NC 28208"
370297003557,"Public","North Academy of World Languages","Mecklenburg County",0.906,"Kindergarten","12201 Hambright Rd, Huntersville, NC 28078"
617,"Private","Northside Christian Academy","Mecklenburg County",0.952,"Kindergarten",NA
370297001251,"Public","Oakdale Elementary","Mecklenburg County",0.901,"Kindergarten","1825 Oakdale Rd, Charlotte, NC 28216"
370297002737,"Public","Oaklawn Language Academy","Mecklenburg County",1,"Kindergarten","1810 Oaklawn Ave, Charlotte, NC 28216"
370297001254,"Public","Olde Providence Elementary","Mecklenburg County",0.981,"Kindergarten","3800 Rea Rd, Charlotte, NC 28226"
618,"Private","Omni Montessori School","Mecklenburg County",0.833,"Kindergarten",NA
619,"Private","Our Lady of Assumption Cath Sch","Mecklenburg County",1,"Kindergarten",NA
370297001256,"Public","Park Road Montessori","Mecklenburg County",0.954,"Kindergarten","3701 Haven Dr, Charlotte, NC 28209"
370297001257,"Public","Paw Creek Elementary","Mecklenburg County",0.679,"Kindergarten","1300 Cathey Rd, Charlotte, NC 28214"
620,"Private","Phoenix Montessori Academy","Mecklenburg County",0.438,"Kindergarten",NA
370297001260,"Public","Pineville Elementary","Mecklenburg County",0.984,"Kindergarten","204 Lowry St, Pineville, NC 28134"
370297001261,"Public","Pinewood Elementary","Mecklenburg County",0.955,"Kindergarten","805 Seneca Pl, Charlotte, NC 28210"
370297001262,"Public","Piney Grove Elementary","Mecklenburg County",1,"Kindergarten","8801 Eaglewind Dr, Charlotte, NC 28212"
370035903337,"Charter/Lab","Pioneer Springs Community School","Mecklenburg County",0.579,"Kindergarten","9232 Bob Beatty Rd., Charlotte, NC 28269"
370297003032,"Public","Polo Ridge Elementary","Mecklenburg County",0.963,"Kindergarten","11830 Tom Short Rd, Charlotte, NC 28277"
621,"Private","Providence Day School","Mecklenburg County",0.99,"Kindergarten",NA
370012702612,"Charter/Lab","Queen's Grant Community School","Mecklenburg County",1,"Kindergarten","6400 Matthews Mint Hill Road, Mint Hill, NC 28227"
370297002170,"Public","Reedy Creek Elementary","Mecklenburg County",0.868,"Kindergarten","10801 Plaza Rd Ext, Charlotte, NC 28215"
370297001212,"Public","Reid Park Academy","Mecklenburg County",1,"Kindergarten","4108 W Tyvola Rd, Charlotte, NC 28208"
370297003417,"Public","Renaissance West STEAM Academy","Mecklenburg County",0.797,"Kindergarten","3241 New Renaissance Way, Charlotte, NC 28208"
370297003128,"Public","River Oaks Academy","Mecklenburg County",0.924,"Kindergarten","1015 Mt Holly-Huntersville Rd, Charlotte, NC 28214"
622,"Private","Sedgefield School","Mecklenburg County",0.952,"Kindergarten",NA
370297001272,"Public","Sharon Elementary","Mecklenburg County",0.974,"Kindergarten","4330 Foxcroft Rd, Charlotte, NC 28211"
370297000889,"Public","Smithfield Elementary","Mecklenburg County",0.937,"Kindergarten","3200 Smithfield Church Rd, Charlotte, NC 28210"
370013702786,"Charter/Lab","Socrates Academy","Mecklenburg County",0.99,"Kindergarten","3909 Weddington Rd, Matthews, NC 28105"
623,"Private","Southlake Christian Academy","Mecklenburg County",0.889,"Kindergarten",NA
370044603504,"Charter/Lab","Southwest Charlotte STEM Academy","Mecklenburg County",0.933,"Kindergarten","5203 Shopton Rd, Charlotte, NC 28278"
624,"Private","St. Ann Catholic School","Mecklenburg County",0.929,"Kindergarten",NA
625,"Private","St. Gabriel Catholic School","Mecklenburg County",0.98,"Kindergarten",NA
626,"Private","St. Mark Catholic School","Mecklenburg County",0.971,"Kindergarten",NA
627,"Private","St. Patrick Catholic School","Mecklenburg County",0.971,"Kindergarten",NA
370297001277,"Public","Statesville Road Elementary","Mecklenburg County",0.987,"Kindergarten","5521 Milhaven Ln, Charlotte, NC 28269"
370297001278,"Public","Steele Creek Elementary","Mecklenburg County",0.901,"Kindergarten","4100 Gallant Ln, Charlotte, NC 28273"
370045403501,"Charter/Lab","Steele Creek Preparatory Academy","Mecklenburg County",0.971,"Kindergarten","2200 Shopton Road, Charlotte, NC 28217"
370297001279,"Public","Sterling Elementary","Mecklenburg County",0.858,"Kindergarten","9601 China Grove Church Rd, Pineville, NC 28134"
370297002785,"Public","Torrence Creek Elementary","Mecklenburg County",0.944,"Kindergarten","14550 Ranson Rd, Huntersville, NC 28078"
628,"Private","Trinity Episcopal School","Mecklenburg County",0.978,"Kindergarten",NA
370040903393,"Charter/Lab","Unity Classical Charter School","Mecklenburg County",0.843,"Kindergarten","14613 Steele Creek Rd., CHARLOTTE, NC 28273"
629,"Private","Victory Christian Center School","Mecklenburg County",0.625,"Kindergarten",NA
370297003466,"Public","Villa Heights Elementary","Mecklenburg County",0.917,"Kindergarten","800 Everett Place, Charlotte, NC 28205"
370297001287,"Public","Westerly Hills Academy","Mecklenburg County",0.831,"Kindergarten","4420 Denver Ave, Charlotte, NC 28208"
370300001295,"Public","Gouge Elementary","Mitchell County",0.98,"Kindergarten","134 Laurel Street, Bakersville, NC 28705"
370300002531,"Public","Greenlee Primary","Mitchell County",0.971,"Kindergarten","2206 Carters Ridge Road, Spruce Pine, NC 28777"
370306001306,"Public","Candor Elementary","Montgomery County",0.95,"Kindergarten","414 S Main, Candor, NC 27229"
370306001310,"Public","Mount Gilead Elementary","Montgomery County",0.778,"Kindergarten","100 School Street, Mount Gilead, NC 27306"
370306002099,"Public","Star Elementary","Montgomery County",0.952,"Kindergarten","302 S Main Street, Star, NC 27356"
370044703509,"Charter/Lab","Tillery Charter Academy","Montgomery County",1,"Kindergarten","170 Academy Street, Biscoe, NC 27209"
370306001312,"Public","Troy Elementary","Montgomery County",0.93,"Kindergarten","310 N Russell St, Troy, NC 27371"
630,"Private","Covenant Preparatory School","Moore County",0.733,"Kindergarten",NA
631,"Private","Episcopal Day School","Moore County",1,"Kindergarten",NA
632,"Private","Fellowship Christian Academy","Moore County",0.966,"Kindergarten",NA
370043203460,"Charter/Lab","Moore Montessori Community School","Moore County",0.922,"Kindergarten","255 S. May Street, Southern Pines, NC 28387"
633,"Private","O'Neal School","Moore County",0.949,"Kindergarten",NA
634,"Private","Sandhills Classical Christian Sch.","Moore County",0.76,"Kindergarten",NA
635,"Private","St. John Paul II Catholic School","Moore County",0.577,"Kindergarten",NA
370003302332,"Charter/Lab","The Academy of Moore County","Moore County",0.961,"Kindergarten","12588 HWY 15-501 South, Aberdeen, NC 28315"
370327001341,"Public","Bailey Elementary","Nash County",0.968,"Kindergarten","6288 Pine Street, Bailey, NC 27807"
370327000703,"Public","Baskerville Elementary","Edgecombe County",0.909,"Kindergarten","1100 Stokes Avenue, Rocky Mount, NC 27801"
370327001342,"Public","Benvenue Elementary","Nash County",0.952,"Kindergarten","2700 Nicodemus Mile Road, Rocky Mount, NC 27804"
370327001344,"Public","Cedar Grove Elementary","Nash County",1,"Kindergarten","8967 Cedar Grove Sch Loop Road, Nashville, NC 27856"
370327001346,"Public","Coopers Elementary","Nash County",1,"Kindergarten","6833 NC Highway 58, Elm City, NC 27822"
636,"Private","Faith Christian School","Nash County",0.96,"Kindergarten",NA
370327002100,"Public","M B Hubbard Elementary","Nash County",0.984,"Kindergarten","7921 Red Oak Battleboro Road, Battleboro, NC 27809"
370327001348,"Public","Middlesex Elementary","Nash County",0.867,"Kindergarten","13081 West Hanes Avenue, Middlesex, NC 27557"
370327001349,"Public","Nashville Elementary","Nash County",0.904,"Kindergarten","209 East Virginia Avenue, Nashville, NC 27856"
637,"Private","New Life Christian Academy","Nash County",1,"Kindergarten",NA
638,"Private","Our Lady Perpetual Help Cath Sch","Nash County",1,"Kindergarten",NA
370327001352,"Public","Red Oak Elementary","Nash County",0.947,"Kindergarten","5603 Red Oak Road, Red Oak, NC 27868"
639,"Private","Rocky Mount Academy","Nash County",1,"Kindergarten",NA
370327001356,"Public","Spring Hope Elementary","Nash County",0.796,"Kindergarten","401 McLean Street, Spring Hope, NC 27882"
370327001358,"Public","Williford Elementary","Nash County",0.979,"Kindergarten","801 Williford Street, Rocky Mount, NC 27803"
370327002401,"Public","Winstead Avenue Elementary","Nash County",0.932,"Kindergarten","991 South Winstead Avenue, Rocky Mount, NC 27804"
370041203415,"Charter/Lab","American Leadership Academy-Coastal","New Hanover County",0.866,"Kindergarten","1135 Pandion Dr, Wilmington, NC 28411"
370333001367,"Public","Bradley Creek Elementary","New Hanover County",0.915,"Kindergarten","6211 Greenville Loop, Wilmington, NC 28409"
640,"Private","Calvary Christian School","New Hanover County",0.818,"Kindergarten",NA
370010802534,"Charter/Lab","Cape Fear Center for Inquiry","New Hanover County",0.95,"Kindergarten","2525 Wonder Way, Wilmington, NC 28401"
370333001368,"Public","Carolina Beach Elementary","New Hanover County",0.869,"Kindergarten","400 South 4th St, Carolina Beach, NC 28428"
370333003136,"Public","Castle Hayne Elementary","New Hanover County",0.926,"Kindergarten","3925 Roger Haynes Drive, Castle Hayne, NC 28429"
370333001369,"Public","College Park Elementary","New Hanover County",0.838,"Kindergarten","5001 Oriole Drive, Wilmington, NC 28403"
370333002336,"Public","Dr Hubert Eaton Sr Elem","New Hanover County",0.988,"Kindergarten","6701 Gordon Road, Wilmington, NC 28405"
370333002337,"Public","Dr John Codington Elem","New Hanover County",0.945,"Kindergarten","4321 Carolina Beach Road, Wilmington, NC 28412"
370333001371,"Public","Edwin A Alderman Elementary","New Hanover County",0.88,"Kindergarten","2025 Independence Blvd, Wilmington, NC 28403"
370333002822,"Public","Edwin A Anderson Elementary","New Hanover County",0.97,"Kindergarten","455 Halyburton Memorial Parkwa, Wilmington, NC 28412"
370333001374,"Public","Forest Hills Global Elementary","New Hanover County",0.773,"Kindergarten","602 Colonial Drive, Wilmington, NC 28403"
641,"Private","Friends School","New Hanover County",1,"Kindergarten",NA
370333002101,"Public","Heyward C Bellamy Elem","New Hanover County",0.963,"Kindergarten","70 Sanders Rd, Wilmington, NC 28412"
370333002335,"Public","Holly Tree Elementary","New Hanover County",0.969,"Kindergarten","3020 Web Trace, Wilmington, NC 28409"
370033203283,"Charter/Lab","Island Montessori Charter School","New Hanover County",0.852,"Kindergarten","6339 Carolina Beach Rd, Wilmington, NC 28412"
370333001378,"Public","John J Blair Elementary","New Hanover County",0.957,"Kindergarten","6510 Market Street, Wilmington, NC 28405"
370333001382,"Public","Mary C Williams Elementary","New Hanover County",0.929,"Kindergarten","801 Silver Lake Rd, Wilmington, NC 28412"
370333002787,"Public","Murrayville Elementary","New Hanover County",0.957,"Kindergarten","225 Mabee Way, Wilmington, NC 28411"
642,"Private","Myrtle Grove Christian School","New Hanover County",0.941,"Kindergarten",NA
370333001385,"Public","Ogden Elementary","New Hanover County",0.972,"Kindergarten","3637 Middle Sound Rd, Wilmington, NC 28411"
643,"Private","Peace Rose Montessori School","New Hanover County",0.75,"Kindergarten",NA
370333001387,"Public","Pine Valley Elementary","New Hanover County",0.963,"Kindergarten","440 John S Mosby Dr, Wilmington, NC 28412"
644,"Private","Pine Valley Wee Care Kindergarten","New Hanover County",0.917,"Kindergarten",NA
370333001390,"Public","Sunset Park Elementary","New Hanover County",0.977,"Kindergarten","613 Alabama Ave, Wilmington, NC 28401"
370333001375,"Public","The International School at Gregory","New Hanover County",0.986,"Kindergarten","1106 Ann St, Wilmington, NC 28401"
645,"Private","Wilmington Christian Academy","New Hanover County",0.933,"Kindergarten",NA
370045703522,"Charter/Lab","Wilmington School of the Arts","New Hanover County",0.843,"Kindergarten","1306 Floral Pkwy, Wilmington, NC 28403"
370333001395,"Public","Winter Park Model Elementary","New Hanover County",0.86,"Kindergarten","204 S MacMillan Ave, Wilmington, NC 28403"
370333001396,"Public","Wrightsboro Elementary","New Hanover County",1,"Kindergarten","2716 Castle Hayne Rd, Wilmington, NC 28401"
370012302597,"Charter/Lab","KIPP Gaston College Preparatory","Northampton County",0.933,"Kindergarten","320 Pleasant Hill Road, Gaston, NC 27832"
370345001417,"Public","Bell Fork Elementary","Onslow County",0.947,"Kindergarten","500 Bell Fork Rd, Jacksonville, NC 28540"
370345001418,"Public","Blue Creek Elementary","Onslow County",0.926,"Kindergarten","1260 Burgaw Hwy, Jacksonville, NC 28540"
370345002738,"Public","Carolina Forest Elementary","Onslow County",0.932,"Kindergarten","141 Carolina Forest Boulevard, Jacksonville, NC 28546"
370345001419,"Public","Clyde Erwin Elementary","Onslow County",0.924,"Kindergarten","323 New River Dr, Jacksonville, NC 28540"
370345003566,"Public","Coastal Elementary","Onslow County",0.745,"Kindergarten","370 Folkstone Rd, Holly Ridge, NC 28445"
370345002270,"Public","Dixon Elementary","Onslow County",0.86,"Kindergarten","130 Betty Dixon Rd, Holly Ridge, NC 28445"
646,"Private","Grace Classical School","Onslow County",0.667,"Kindergarten",NA
370345002338,"Public","Hunters Creek Elementary","Onslow County",0.992,"Kindergarten","3450 Hunters Trail, Jacksonville, NC 28546"
647,"Private","Infant of Prague Catholic School","Onslow County",0.968,"Kindergarten",NA
370345001931,"Public","Jacksonville Commons Elem","Onslow County",0.946,"Kindergarten","1121 Commons Drive North, Jacksonville, NC 28546"
648,"Private","Liberty Christian Academy","Onslow County",0.94,"Kindergarten",NA
649,"Private","Living Water Christian School","Onslow County",0.805,"Kindergarten",NA
370345003020,"Public","Meadow View Elementary","Onslow County",0.953,"Kindergarten","1026 Fire Tower Rd, Jacksonville, NC 28540"
650,"Private","Milestones Academy","Onslow County",0.98,"Kindergarten",NA
651,"Private","Montessori Children's School","Onslow County",0.773,"Kindergarten",NA
370345001424,"Public","Morton Elementary","Onslow County",0.94,"Kindergarten","485 Old 30 Road, Jacksonville, NC 28546"
370345001425,"Public","Northwoods Elementary","Onslow County",0.82,"Kindergarten","617 Henderson Dr, Jacksonville, NC 28540"
652,"Private","One World Montessori","Onslow County",0.929,"Kindergarten",NA
370345001427,"Public","Parkwood Elementary","Onslow County",0.947,"Kindergarten","2900 Northwoods Dr, Jacksonville, NC 28540"
370345002403,"Public","Queens Creek Elementary","Onslow County",0.972,"Kindergarten","159 Queens Creek Road, Swansboro, NC 28584"
370345001428,"Public","Richlands Elementary","Onslow County",0.947,"Kindergarten","415 Cow Horn Road, Richlands, NC 28574"
370345002404,"Public","Sand Ridge Elementary","Onslow County",0.882,"Kindergarten","868 Sand Ridge Road, Hubert, NC 28539"
370345001430,"Public","Silverdale Elementary","Onslow County",0.884,"Kindergarten","841 Smith Road, Maysville, NC 28555"
370345001233,"Public","Southwest Elementary","Onslow County",0.907,"Kindergarten","2601 Burgaw Hwy, Jacksonville, NC 28540"
653,"Private","St. Anne's Parish Day School","Onslow County",1,"Kindergarten",NA
370345003133,"Public","Stateside Elementary","Onslow County",0.936,"Kindergarten","132 Stateside Blvd, Jacksonville, NC 28546"
370345001432,"Public","Summersill Elementary","Onslow County",0.921,"Kindergarten","250 Summersill School Road, Jacksonville, NC 28540"
370345001436,"Public","Swansboro Elementary","Onslow County",0.95,"Kindergarten","118 School Rd, Swansboro, NC 28584"
370034803278,"Charter/Lab","Z.E.C.A. School of Arts and Technology","Onslow County",0.818,"Kindergarten","1249 Hargett Street, Jacksonville, NC 28540"
654,"Private","Carolina Friends School","Orange County",0.967,"Kindergarten",NA
370348001443,"Public","Central Elementary","Orange County",1,"Kindergarten","154 Hayes St, Hillsborough, NC 27278"
370348001445,"Public","Efland Cheeks Elementary","Orange County",0.94,"Kindergarten","4401 Fuller Rd, Efland, NC 27243"
655,"Private","Emerson Waldorf School","Orange County",0.736,"Kindergarten",NA
370003502340,"Charter/Lab","Eno River Academy","Orange County",1,"Kindergarten","1212 NC Highway 57 North, Hillsborough, NC 27278"
370348001446,"Public","Grady Brown Elementary","Orange County",0.954,"Kindergarten","1100 New Grady Brown Rd, Hillsborough, NC 27278"
656,"Private","Hillsborough Christian Academy","Orange County",1,"Kindergarten",NA
370348001932,"Public","Hillsborough Elementary","Orange County",0.972,"Kindergarten","402 North Nash Street, Hillsborough, NC 27278"
370348002313,"Public","New Hope Elementary","Orange County",0.978,"Kindergarten","1900 New Hope Church Rd, Chapel Hill, NC 27514"
370348002536,"Public","Pathways Elementary","Orange County",0.953,"Kindergarten","431 Strouds Creek Road, Hillsborough, NC 27278"
657,"Private","Pinewoods Montessori School","Orange County",0.947,"Kindergarten",NA
658,"Private","St. Thomas More Catholic School","Orange County",1,"Kindergarten",NA
370035403319,"Charter/Lab","The Expedition School","Orange County",1,"Kindergarten","437 Dimmocks Mill Rd Ste 33, Hillsborough, NC 27278"
370003802343,"Charter/Lab","Arapahoe Charter School","Pamlico County",0.95,"Kindergarten","9005 NC Hwy 306 S, Arapahoe, NC 28510"
659,"Private","Pamlico Christian Academy","Pamlico County",0.783,"Kindergarten",NA
660,"Private","Albemarle School","Pasquotank County",1,"Kindergarten",NA
370354001452,"Public","Central Elementary","Pasquotank County",0.942,"Kindergarten","1059 US Hwy 17, Elizabeth City, NC 27909"
370354001455,"Public","J C Sawyer Elementary","Pasquotank County",0.967,"Kindergarten","1007 Park St, Elizabeth City, NC 27909"
661,"Private","New Life Academy","Pasquotank County",1,"Kindergarten",NA
370354002274,"Public","Northside Elementary","Pasquotank County",1,"Kindergarten","1062 Northside Rd, Elizabeth City, NC 27909"
370354002275,"Public","P W Moore Elementary","Pasquotank County",0.968,"Kindergarten","606 Roanoke Ave, Elizabeth City, NC 27909"
370354001458,"Public","Pasquotank Elementary","Pasquotank County",0.787,"Kindergarten","1407 Peartree Rd, Elizabeth City, NC 27909"
370354001459,"Public","Sheep-Harney Elementary","Pasquotank County",0.879,"Kindergarten","200 W Elizabeth St, Elizabeth City, NC 27909"
