,Unnamed: 0,Facility Number,School Type,School District or Name,County,MMR Vaccination Rate,Age Group,Facility Address
5109,5186,3.10301E+11,Private School,BANK STREET SCHOOL FOR CHILDREN,New York,100.0,,610 WEST 112TH STREET
5110,5187,010500010008,Public School,COHOES MS,Albany,100.0,,7 BEVAN ST
5111,5188,5.80512E+11,Public School,LORETTA PARK ELEMENTARY SCHOOL,Suffolk,100.0,,STAHLEY ST
5112,5189,4.41201E+11,Public School,CENTRAL VALLEY SCHOOL,Orange,100.0,,45 ROUTE 32
5113,5190,1.42602E+11,Private School,CHARTER SCHOOL FOR APPLIED TECHNOLOGIES (K-5),Erie,100.0,,2303 KENMORE AVENUE
5114,5191,5.13102E+11,Public School,EDWARDS-KNOX JSHS,St.Lawrence,100.0,,EDWARDS-KNOX JSHS
5115,5192,6.62301E+11,Private School,SCHOOL FOR INTEGRATIVE AND ADAPTIVE LEARNING AT FERNCLIFF MANOR,Westchester,95.0,,1154 SAW MILL RIVER R
5116,5193,4.10601E+11,Public School,MCCONNELLSVILLE ELEM SCHOOL,Oneida,100.0,,8564 ST RT 13
5117,5194,4.01201E+11,Public School,ROYALTON HARTLAND HIGH SCHOOL,Niagara,100.0,,54 STATE ST
5118,5195,5.00402E+11,Private School,BAIS CHINUCH TORAS EMACHU,Rockland,100.0,,22 ASHEL LN
5119,5196,3.425E+11,Private School,RABBINICAL SEMINARY OF AMERICA,Queens,100.0,,147-06 76 AVE
5120,5197,2.8021E+11,Public School,BALDWIN S H S,Nassau,100.0,,841 ETHEL T KLOBERG DR
5121,5198,2.61401E+11,Public School,PARK ROAD SCHOOL,Monroe,100.0,,PARK RD
5122,5199,4.218E+11,Public School,PORTER MAGNET SCHOOL,Onondaga,99.0,,512 EMERSON AVE
5123,5200,5.00402E+11,Public School,SPRING VALLEY S H S,Rockland,99.0,,RR 59
5124,5201,5.80103E+11,Public School,WOODS RD ELEMENTARY SCHOOL,Suffolk,100.0,,WOODS RD
5125,5202,4.21001E+11,Public School,FAYETTEVILLE ELEM SCHOOL,Onondaga,100.0,,704 S. MANLIUS ST
5126,5203,5.80509E+11,Private School,ST JOHN-BAPTIST DIOCESAN H S,Suffolk,100.0,,1170 MONTAUK HWY
5127,5204,1.40703E+11,Private School,ASPIRE OF WESTERN NY,Erie,99.0,,4635 UNION RD
