"School Name","School Type","Address","City","Zipcode","Planning Region","Polio","DTaP","MMR","HepB","Var","HepA","MCV","Tdap","All","Ex_Rel","Ex_Med","Ex_Tot"
"Ansonia Middle School","Public","115 Howard Ave.","Ansonia","06401","Naugatuck Valley","98.3","98.3","98.9","98.9","98.9","97.7","86.8","86.2","84.5","0.6","0.6","1.1"
"Assumption-Ansonia","Non-public","51 North Cliff Street","Ansonia","06401","Naugatuck Valley","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"Ashford School","Public","440 Westford Rd.","Ashford","06278","Northeast CT","96.1","96.1","96.1","96.1","96.1","92.2","96.1","96.1","92.2","3.9","0.0","3.9"
"Avon Middle School","Public","375 West Avon Rd.","Avon","06001","Capitol","97.9","98.4","96.3","98.4","95.9","97.9","98.4","97.9","93.8","1.6","0.0","1.6"
"Farmington Valley Academy Montessori","Public","150 Fisher Drive","Avon","06001","Capitol","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"Talcott Mt. Academy of Science Math & Technology","Non-public","324 Montevideo Road","Avon","06001","Capitol","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"The Webb School in the Valley","Non-public","135 Darling Drive","Avon","06001","Capitol","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"Catherine M. McGee Middle School","Public","899 Norton Rd.","Berlin","06037","Capitol","95.0","95.5","95.5","95.0","95.0","95.0","95.0","95.5","95.0","4.5","0.0","4.5"
"Prism Academy","Non-public","166 Lincoln Street","Berlin","06037","Capitol","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC"
"St. Paul School","Non-public","461 Alling Street","Berlin","06037","Capitol","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"Amity Middle School: Bethany","Public","190 Luke Hill Rd.","Bethany","06524","South Central","97.4","97.4","97.4","97.4","97.4","97.4","97.4","97.4","97.4","2.6","0.0","2.6"
"Bethel Middle School","Public","600 Whittlesey Dr.","Bethel","06801","Western CT","95.8","95.8","95.8","95.8","95.8","95.8","95.3","94.9","94.9","3.4","0.8","4.2"
"St. Mary School-Bethel","Non-public","24 Dodgingtown Road","Bethel","06801","Western CT","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"Academy of International Studies 6-12","Non-public","1551 Blue Hills Ave.","Bloomfield","06002","Capitol","91.7","96.3","93.5","95.4","93.5","93.5","84.3","87.0","80.6","1.9","1.9","3.7"
"Ana Grace Academy of the Arts 6-8","Public","129 Griffin Road North","Bloomfield","06002","Capitol","98.2","98.2","98.2","98.2","98.2","98.2","97.3","97.3","97.3","1.8","0.0","1.8"
"Carmen Arace","Public","390 Park Avenue","Bloomfield","06002","Capitol","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC"
"Global Experience Magnet School","Public","44 Griffin Rd., South","Bloomfield","06002","Capitol","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"River Street School Birken Campus","Public","1289 Blue Hills Avenue","Bloomfield","06002","Capitol","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"Bolton Center School","Public","108 Notch Rd.","Bolton","06043","Capitol","96.2","96.2","96.2","96.2","96.2","96.2","96.2","96.2","96.2","3.8","0.0","3.8"
"Fields Memorial School","Public","8 Bozrah St. Ext.","Bozrah","06334","Southeastern CT","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"East Shoreline Catholic Academy","Non-public","62 Cedar Street","Branford","06405","South Central","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"Francis Walsh Intermediate School","Public","185 Damascus Rd.","Branford","06405","South Central","99.5","99.5","99.5","99.5","99.5","99.5","99.5","99.5","99.5","0.5","0.0","0.5"
"Adam J. Lewis Academy","Non-public","500 State St.","Bridgeport","06604","Greater Bridgeport","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"Barnum School","Public","495 Waterview Avenue","Bridgeport","06608","Greater Bridgeport","100.0","100.0","100.0","98.1","100.0","98.1","100.0","98.1","96.2","0.0","0.0","0.0"
"Black Rock School","Public","545 Brewster St.","Bridgeport","06605","Greater Bridgeport","100","100","100.0","100.0","100.0","100.0","100.0","100.0","100.0","0.0","0.0","0.0"
"Blackham School","Public","425 Thorme St.","Bridgeport","06606","Greater Bridgeport","95.7","98.2","98.2","97.5","98.2","97.5","95.7","97.5","95.1","1.2","0.6","1.8"
"Bridgeport Hope School","Non-public","283 Lafayette Street","Bridgeport","06604","Greater Bridgeport","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"Bridgeport Learning Center","Non-public","280 Tesiny Ave.","Bridgeport","06606","Greater Bridgeport","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"Capital Preparatory Harbor School 7-12","Public","777 Main Street","Bridgeport","06604","Greater Bridgeport","100.0","100.0","98.4","100.0","88.9","95.2","95.2","93.7","81.0","0.0","0.0","0.0"
"Catholic Academy of Bridgeport: St. Andrew Academy","Non-public","395 Anton Street","Bridgeport","06606","Greater Bridgeport","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"Catholic Academy of Bridgeport: St. Ann Academy","Non-public","521 Brewster Street","Bridgeport","06605","Greater Bridgeport","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"Catholic Academy of Bridgeport: St. Augustine Academy","Non-public","63 Pequonnock Street","Bridgeport","06604","Greater Bridgeport","100.0","100.0","100.0","100.0","100.0","100.0","80.0","85.7","77.1","0.0","0.0","0.0"
"Cesar Batalla School","Public","606 Howard Ave.","Bridgeport","06605","Greater Bridgeport","96.7","99.2","96.7","96.7","96.7","94.3","87.8","91.9","79.7","0.0","0.0","0.0"
"Classical Studies Academy 3-8","Public","240 Linwood Ave.","Bridgeport","06604","Greater Bridgeport","97.1","97.1","97.1","97.1","97.1","97.1","97.1","97.1","97.1","2.9","0.0","2.9"
"Columbus School","Public","300 University Avenue","Bridgeport","06604","Greater Bridgeport","100","100","93.3","100.0","96.7","100.0","100.0","100.0","93.3","0.0","0.0","0.0"
"Discovery Magnet","Non-public","4510 Park Avenue","Bridgeport","06606","Greater Bridgeport","97.7","97.7","97.7","97.7","97.7","97.7","97.7","97.7","97.7","2.3","0.0","2.3"
"Geraldine Claytor Magnet Academy","Public","240 Ocean Terrace","Bridgeport","06605","Greater Bridgeport","100.0","100.0","100.0","100.0","100.0","100.0","97.9","97.9","97.9","0.0","0.0","0.0"
"Geraldine Johnson School","Public","475 Lexington Avenue","Bridgeport","06604","Greater Bridgeport","100.0","100.0","100.0","98.8","98.8","96.4","96.4","95.2","85.7","0.0","0.0","0.0"
"Great Oaks Charter School","Public","375 Howard Avenue","Bridgeport","06605","Greater Bridgeport","68.3","70.3","73.3","39.6","69.3","71.3","41.6","43.6","38.6","1.0","0.0","1.0"
"High Horizons","Non-public","700 Palisades Avenue","Bridgeport","06610","Greater Bridgeport","91.5","91.5","91.5","91.5","91.5","91.5","91.5","91.5","91.5","4.3","4.3","8.5"
"James J. Curiale School","Public","300 Laurel Ave.","Bridgeport","06604","Greater Bridgeport","100","100","100.0","100.0","100.0","100.0","100.0","100.0","100.0","0.0","0.0","0.0"
"Jettie S. Tisdale School","Public","250 Hollister Avenue","Bridgeport","06607","Greater Bridgeport","100","100","100.0","100.0","100.0","100.0","100.0","100.0","100.0","0.0","0.0","0.0"
"John Winthrop School","Public","85 Eckart St.","Bridgeport","06606","Greater Bridgeport","96.8","96.8","96.8","96.8","96.8","96.8","96.8","96.8","96.8","3.2","0.0","3.2"
"Luis Munoz Marin School","Public","479 Helen St.","Bridgeport","06608","Greater Bridgeport","98.9","98.9","100.0","100.0","100.0","98.9","96.8","97.9","96.8","0.0","0.0","0.0"
"Multicultural Magnet School","Public","700 Palisade Ave.","Bridgeport","06610","Greater Bridgeport","100","100","100.0","100.0","100.0","100.0","100.0","100.0","100.0","0.0","0.0","0.0"
"Northeastern Adventist Academy - Fairfield County Campus","Non-public","827 Trumbull Avenue","Bridgeport","06606","Greater Bridgeport","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC"
"Park City Magnet School","Public","1526 Chopsey Hill Rd.","Bridgeport","06606","Greater Bridgeport","100.0","100.0","100.0","100.0","100.0","100.0","91.9","94.6","91.9","0.0","0.0","0.0"
"Park City Prep Charter School","Public","1550 State Street","Bridgeport","06605","Greater Bridgeport","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC"
"Paul Laurence Dunbar School","Public","445 Union Ave.","Bridgeport","06607","Greater Bridgeport","100.0","100.0","100.0","100.0","100.0","98.0","98.0","96.1","94.1","0.0","0.0","0.0"
"Read School","Public","130 Ezra St.","Bridgeport","06606","Greater Bridgeport","98.5","100","100.0","98.5","100.0","98.5","100.0","100.0","97.1","0.0","0.0","0.0"
"Roosevelt School","Public","680 Park Ave.","Bridgeport","06604","Greater Bridgeport","100","100","100.0","100.0","100.0","100.0","100.0","100.0","100.0","0.0","0.0","0.0"
"Six-Six Magnet School","Non-public","601 Pearl Harbor St.","Bridgeport","06610","Greater Bridgeport","84.4","84.4","84.4","84.4","84.4","84.4","84.4","84.4","84.4","12.5","3.1","15.6"
"The Bridge Academy","Public","160 Pulaski Street","Bridgeport","06608","Greater Bridgeport","76.9","76.9","78.8","76.9","78.8","78.8","59.6","63.5","59.6","0.0","0.0","0.0"
"Thomas Hooker School","Public","138 Roger Williams Rd.","Bridgeport","06610","Greater Bridgeport","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"Waltersville School","Public","150 Hallett Street","Bridgeport","06608","Greater Bridgeport","98.0","98.0","98.0","98.0","98.0","98.0","92.2","94.1","92.2","0.0","0.0","0.0"
"Wilbur Cross School","Public","1775 Reservoir Ave.","Bridgeport","06606","Greater Bridgeport","94.6","94.6","94.6","91.9","94.6","94.6","91.9","91.9","89.2","0.0","5.4","5.4"
"Bristol Arts and Innovation Magnet School","Public","70 Memorial Boulevard","Bristol","06111","Naugatuck Valley","96.6","96.6","96.6","96.6","96.6","96.6","96.6","96.6","96.6","3.4","0.0","3.4"
"Chippens Hill Middle School","Public","551 Peacedale St.","Bristol","06010","Naugatuck Valley","96.2","96.7","96.7","96.7","96.2","95.7","94.0","92.9","90.8","3.3","0.0","3.3"
"Greene-Hills School","Public","718 Pine St.","Bristol","06010","Naugatuck Valley","100","100","100.0","100.0","100.0","100.0","100.0","100.0","100.0","0.0","0.0","0.0"
"Immanuel Lutheran-Bristol","Non-public","154 Meadow Street","Bristol","06010","Naugatuck Valley","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"Northeast Middle School","Public","530 Stevens St.","Bristol","06010","Naugatuck Valley","97.9","97.9","97.9","97.9","97.9","97.9","92.6","92.6","92.6","2.1","0.0","2.1"
"Oak Hill School at Bristol","Non-public","47 Upton Street","Bristol","06057","Naugatuck Valley","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC"
"St. Joseph-Bristol","Non-public","335 Center Street","Bristol","06010","Naugatuck Valley","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"St. Matthew","Non-public","33 Welch Drive","Bristol","06010","Naugatuck Valley","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"West Bristol School","Public","500 Clark Avenue","Bristol","06010","Naugatuck Valley","96.2","96.2","96.2","96.2","96.2","94.9","94.9","93.6","93.6","3.8","0.0","3.8"
"Christian Life Academy","Non-public","133 Junction Road","Brookfield","06804","Western CT","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"Whisconier Middle School","Public","17 West Whisconier Rd.","Brookfield","06804","Western CT","99","99","99.0","99.0","99.0","98.6","99.0","99.0","98.6","0.0","1.0","1.0"
"Brooklyn Middle School","Public","119 Gorman Rd.","Brooklyn","06234","Northeast CT","96.8","96.8","96.8","96.8","96.8","96.8","96.8","96.8","96.8","3.2","0.0","3.2"
"The Learning Clinic","Public","476 Pomfret Road","Brooklyn","06234","Northeast CT","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"Har-Bur Middle School","Public","24 Lyon Rd.","Burlington","06013","Northwest Hills","94.4","94.4","94.4","94.4","94.4","94.4","94.4","94.4","94.4","5.6","0.0","5.6"
"Lee H. Kellogg School","Public","47 Main St.","Canaan","06031","Northwest Hills","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"Dr. Helen Baldwin Middle School","Public","45 Westminster Rd.","Canterbury","06331","Northeast CT","89.7","89.7","89.7","89.7","89.7","89.7","89.7","89.7","89.7","10.3","0.0","10.3"
"Canton Middle School","Public","76 Simonds Avenue","Canton","06019","Capitol","93.0","93.0","93.0","93.0","92.1","93.0","87.7","87.7","87.7","7.0","0.0","7.0"
"Fresh Start School","Non-public","126 Dowd Avenue","Canton","06019","Capitol","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC"
"Parish Hill High School","Public","304 Parish Hill Rd.","Chaplin","06235","Northeast CT","94.4","94.4","94.4","94.4","94.4","94.4","94.4","94.4","94.4","5.6","0.0","5.6"
"Dodd Middle School","Public","100 Park Place","Cheshire","06410","Naugatuck Valley","94.6","94.6","94.6","94.6","94.6","94.6","94.6","94.6","94.6","4.3","1.1","5.4"
"St. Bridget School-Cheshire","Non-public","171 Main Street","Cheshire","06410","Naugatuck Valley","91.7","91.7","91.7","91.7","91.7","91.7","91.7","91.7","91.7","5.6","2.8","8.3"
"Jared Eliot School","Public","69 Fairy Dell Rd.","Clinton","06413","Lower CT River Valley","98.2","98.2","98.2","98.2","98.2","95.4","98.2","98.2","95.4","1.8","0.0","1.8"
"William J. Johnston Middle School","Public","360 Norwich Ave.","Colchester","06415","Southeastern CT","93.4","93.4","93.4","93.4","93.4","93.4","93.4","93.4","93.4","6.6","0.0","6.6"
"Bridges Community School","Public","10 Commerce Ave","Columbia","06237","Capitol","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC"
"Horace W. Porter School","Public","3 Schoolhouse Road","Columbia","06237","Capitol","94.1","94.1","94.1","94.1","94.1","94.1","88.2","90.2","88.2","5.9","0.0","5.9"
"Cornwall Consolidated School","Public","5 Cream Hill Rd.","Cornwall","06796","Northwest Hills","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"Capt. Nathan Hale School","Public","1776 Main Street","Coventry","06238","Capitol","97.2","97.2","97.2","97.2","97.2","97.2","97.2","97.2","97.2","1.9","0.9","2.8"
"Cromwell Middle School","Public","6 Captain James Mann Memorial Dr.","Cromwell","06416","Lower CT River Valley","97.1","97.9","97.1","97.1","97.1","98.6","98.6","97.1","92.9","1.4","0.0","1.4"
"Broadview Middle School","Public","72 Hospital Ave.","Danbury","06810","Western CT","99.1","99.1","99.1","99.1","99.1","99.1","99.1","99.1","99.1","0.6","0.0","0.6"
"Endeavor","Public","10-12 Crosby Street","Danbury","06810","Western CT","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"Hudson Country Montessori","Non-public","44A Shelter Rock Road","Danbury","06810","Western CT","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"Immanuel Lutheran-Danbury","Non-public","18 Clapboard Ridge Road","Danbury","06811","Western CT","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"Rogers Park Middle School","Public","21 Memorial Dr.","Danbury","06810","Western CT","99.4","99.4","99.4","99.4","99.4","99.0","99.4","99.4","99.0","0.6","0.0","0.6"
"St. Gregory The Great","Non-public","85 Great Plain Road","Danbury","06811","Western CT","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"St. Joseph School-Danbury","Non-public","370 Main Street","Danbury","06810","Western CT","93.5","93.5","93.5","93.5","93.5","93.5","80.6","74.2","74.2","6.5","0.0","6.5"
"St. Peter Sacred Heart School","Non-public","98 Main Street","Danbury","06810","Western CT","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"Westside Middle School Academy","Public","1 School Ridge Road","Danbury","06811","Western CT","99.6","99.6","99.6","99.6","99.6","99.6","99.6","99.2","99.2","0.4","0.0","0.4"
"Wooster School","Non-public","91 Miry Brook Road","Danbury","06810","Western","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC"
"Cross Street Academy","Non-public","80 Christie Hill Rd","Darien","06820","Western","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC"
"Middlesex Middle School","Public","204 Hollow Tree Ridge Rd.","Darien","06820","Western CT","97.3","97.3","97.3","97.3","97.3","97.0","96.4","95.8","95.2","2.1","0.6","2.7"
"Connecticut Coastal Academy","Non-public","141 Main Street","Deep River","06417","Lower CT River Valley","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC"
"John Winthrop Middle School","Public","1 Winthrop Road","Deep River","06417","Lower CT River Valley","95.5","95.5","95.5","95.5","95.5","94.3","79.5","73.9","72.7","4.5","0.0","4.5"
"Derby Middle School","Public","73 Chatfield Street","Derby","06418","Naugatuck Valley","97.3","97.3","97.3","97.3","97.3","97.3","97.3","97.3","97.3","2.7","0.0","2.7"
"St. Mary - St. Michael","Non-public","14 Seymour Avenue","Derby","06418","Naugatuck Valley","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"Frank Ward Strong School","Public","191 Main Street","Durham","06422","Lower CT River Valley","95.7","95.7","95.7","95.7","95.7","95.7","95.7","95.7","95.7","4.3","0.0","4.3"
"East Granby Middle School","Public","95 South Main St.","East Granby","06026","Capitol","98.5","98.5","98.5","98.5","98.5","98.5","98.5","98.5","98.5","0.0","1.5","1.5"
"Nathan Hale-Ray Middle School","Public","73 Clark Gates Rd.","East Haddam","06469","Lower CT River Valley","91.2","91.2","91.2","91.2","91.2","91.2","91.2","91.2","91.2","7.4","1.5","8.8"
"East Hampton Middle School","Public","19 Childs Rd.","East Hampton","06424","Lower CT River Valley","94.3","95.1","95.1","94.3","95.1","94.3","94.3","94.3","94.3","3.3","1.6","4.9"
"Academy of Computer Science and Engineering Middle School","Non-public","337 East River Dr.","East Hartford","06108","Capitol","99.6","99.1","99.6","99.1","99.6","99.1","95.2","94.8","92.6","0.0","0.0","0.0"
"Conecticut Education Center","Public","50 Chapman Pl #1416","East Hartford","06108","Capitol","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"Connecticut River Academy at Goodwin University 6-8","Non-public","9 Riverside Drive","East Hartford","06118","Capitol","98.8","98.8","97.5","98.8","97.5","97.5","97.5","97.5","95.0","1.3","0.0","1.3"
"East Hartford Middle School","Public","777 Burnside Ave.","East Hartford","06108","Capitol","98.5","98.8","98.8","98.8","98.5","98.8","95.7","94.4","94.4","1.2","0.0","1.2"
"John J. Allison Polaris Center","Non-public","474 School St.","East Hartford","06108","Capitol","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"Sunset Ridge Middle School","Public","450 Forbes St.","East Hartford","06118","Capitol","99.1","99.1","99.1","99.1","99.1","99.1","99.1","99.1","99.1","0.9","0.0","0.9"
"Woodland School","Public","110 Long Hill Dr.","East Hartford","06108","Capitol","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"Carbone School/East Haven Academy","Public","200 Tyler St.","East Haven","06512","South Central","100","100","100.0","100.0","100.0","100.0","100.0","100.0","100.0","0.0","0.0","0.0"
"Joseph Melillo Middle School","Public","67 Hudson St.","East Haven","06512","South Central","100","100","100.0","100.0","100.0","100.0","100.0","100.0","100.0","0.0","0.0","0.0"
"East Lyme Middle School","Public","31 Society Rd.","East Lyme","06357","Southeastern CT","95.9","95.9","95.9","95.9","95.9","95.9","95.9","95.9","95.9","2.9","1.2","4.1"
"The Light House Learning Campus","Non-public","15 Liberty Way","East Lyme","06357","Southeastern CT","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"East Windsor Middle School","Public","38 Main St.","East Windsor","06016","Capitol","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","5.7","0.0","5.7"
"Eastford Elementary School","Public","12 Westford Road","Eastford","06242","Northeast CT","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"Easton Country Day School","Non-public","660 Morehouse Rd.","Easton","06612","Greater Bridgeport","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"Helen Keller Middle School","Public","360 Sport Hill Rd.","Easton","06612","Greater Bridgeport","92.7","92.7","92.7","92.7","92.7","92.7","92.7","92.7","92.7","7.3","0.0","7.3"
"The Speech Academy-Easton","Non-public","656 Morehouse Road","Easton","06612","Greater Bridgeport","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"BASES 89","Public","89 west rd","Ellington","06029","Capitol","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"Ellington Middle School","Public","46 Middle Butcher Rd.","Ellington","06029","Capitol","98.5","98.5","98.5","98.5","98.5","98.5","98.5","98.5","98.5","1.5","0.0","1.5"
"Eagle Academy","Non-public","1270 Enfield Street","Enfield","06082","Capitol","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"Enfield Montessori School","Non-public","1325 Enfield Street","Enfield","06082","Capitol","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"John F. Kennedy Middle School","Public","155 Raffia Rd.","Enfield","06082","Capitol","98.7","99","99.0","99.0","99.0","99.0","99.0","98.7","98.3","0.7","0.3","1.0"
"St. Bernard School-Enfield","Non-public","232 Pearl Street","Enfield","06082","Capitol","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"Assumption Catholic School","Non-public","605 Stratfield Road","Fairfield","06825","Greater Bridgeport","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"Covenant School of Bridgeport","Non-public","140 Edison Ave","Fairfield","06825","Greater Bridgeport","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"Fairfield Country Day School","Non-public","2970 Bronson Road","Fairfield","06824","Greater Bridgeport","97.0","97.0","97.0","97.0","97.0","97.0","97.0","97.0","97.0","3.0","0.0","3.0"
"Fairfield Woods Middle School","Public","1115 Fairfield Woods Rd.","Fairfield","06824","Greater Bridgeport","97.0","97.0","97.0","97.0","97.0","96.6","97.0","97.0","96.6","3.0","0.0","3.0"
"Fusion Academy Fairfield","Non-public","777 Commerce Drive","Fairfield","06824","Greater Bridgeport","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"Roger Ludlowe Middle School","Public","689 Unquowa Rd.","Fairfield","06824","Greater Bridgeport","98.0","98.0","98.0","98.0","98.0","98.0","98.0","98.0","98.0","1.6","0.4","2.0"
"St. Catherine Academy","Non-public","760 Tahmore Drive","Fairfield","06825","Greater Bridgeport","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"St. Thomas Aquinas Catholic School","Non-public","1719 Post Road","Fairfield","06824","Greater Bridgeport","97.6","97.6","97.6","97.6","97.6","97.6","97.6","97.6","97.6","2.4","0.0","2.4"
"The Southport School","Non-public","214 Main Street","Fairfield","06890","Greater Bridgeport","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"The Unquowa School","Non-public","981 Stratfield Road","Fairfield","06825","Greater Bridgeport","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"Tomlinson Middle School","Public","200 Unquowa Rd.","Fairfield","06824","Greater Bridgeport","99","99","99.0","99.0","99.0","99.0","99.0","99.0","99.0","1.0","0.0","1.0"
"Irving A. Robbins Middle School","Public","20 Wolf Pit Rd.","Farmington","06032","Capitol","96.3","96.3","96.3","96.3","96.3","96.3","96.3","96.0","96.0","3.1","0.6","3.7"
"Franklin Elementary School","Public","206 Pond Rd.","Franklin","06254","Southeastern CT","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"Eastbury Programs","Non-public","1389 Neipsic Road","Glastonbury","06033","Capitol","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"Smith Middle School","Public","216 Addison Rd.","Glastonbury","06033","Capitol","98.0","98.0","98.0","98.0","98.0","98.0","97.3","97.1","96.9","1.8","0.2","2.0"
"Granby Memorial Middle School","Public","321 Salmon Brook St.","Granby","06035","Capitol","98.5","98.5","98.5","97.7","98.5","98.5","98.5","98.5","97.7","1.5","0.0","1.5"
"Brunswick School","Non-public","100 Maher Avenue","Greenwich","06830","Western","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC"
"Central Middle School","Public","9 Indian Rock Ln.","Greenwich","06830","Western CT","96.3","96.3","96.3","96.3","96.3","96.3","96.3","96.3","96.3","3.8","0.0","3.8"
"Eagle Hill School","Non-public","45 Glenville Road","Greenwich","06831","Western CT","97.4","97.4","97.4","97.4","97.4","97.4","97.4","97.4","97.4","0.0","2.6","2.6"
"Eastern Middle School","Public","51 Hendrie Ave.","Greenwich","06878","Western CT","98.5","98.5","98.5","98.2","98.5","98.5","98.5","98.5","98.2","1.5","0.0","1.5"
"Greenwich Academy","Public","200 North Maple Avenue","Greenwich","06830","Western CT","100","100","100.0","100.0","100.0","100.0","100.0","100.0","100.0","0.0","0.0","0.0"
"Greenwich Catholic","Non-public","471 North Street","Greenwich","06830","Western CT","93.8","93.8","93.8","93.8","93.8","93.8","93.8","93.8","93.8","6.3","0.0","6.3"
"Greenwich Country Day","Non-public","401 Old Church Road","Greenwich","06830","Western CT","100","100","100.0","100.0","100.0","100.0","100.0","100.0","100.0","0.0","0.0","0.0"
"Sacred Heart Greenwich","Non-public","1177 King Street","Greenwich","06831","Western CT","96.1","96.1","96.1","96.1","96.1","96.1","96.1","96.1","96.1","3.9","0.0","3.9"
"The Greenwich Japanese School","Non-public","6 Riverside,","Greenwich","06878","Western CT","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"Western Middle School","Public","1 Western Junior Hwy.","Greenwich","06830","Western CT","98.9","98.9","98.9","98.9","98.9","98.9","98.9","98.9","98.9","0.6","0.6","1.1"
"Whitby School","Non-public","969 Lake Avenue","Greenwich","06831","Western CT","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"Griswold Middle School","Public","211 Slater Ave.","Griswold","06351","Southeastern CT","94.4","91.0","91.0","94.4","94.4","94.4","91.0","91.0","91.0","4.9","0.7","5.6"
"Grace Valley Academy","Non-public","20 Grove Ave","Groton","06340","Southeastern CT","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC"
"Groton Middle School","Public","35 Groton Long Point Road","Groton","06340","Southeastern CT","100","100","100.0","100.0","100.0","100.0","100.0","100.0","100.0","0.0","0.0","0.0"
"Sacred Heart School-Groton","Non-public","50 Sacred Heart Drive","Groton","06340","Southeastern CT","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"E. C. Adams Middle School","Public","233 Church St.","Guilford","06437","South Central","98.4","98.4","98.4","98.4","98.4","98.4","98.4","98.4","98.4","1.6","0.0","1.6"
"Aces Wintergreen Interdistrict Magnet School","Public","670 wintergreen ave","Hamden","06514","South Central","100","100","100.0","100.0","100.0","100.0","100.0","100.0","100.0","0.0","0.0","0.0"
