"School Name","School Type","Address","City","Zipcode","Planning Region","Polio","DTaP","MMR","HepB","Var","HepA","MCV","Tdap","All","Ex_Rel","Ex_Med","Ex_Tot"
"Plainfield Central School","Public","75 Canterbury Rd.","Plainfield","06374","Northeast CT","99.2","99.2","99.2","99.2","99.2","99.2","90.1","90.1","90.1","0.8","0.0","0.8"
"Middle School of Plainville","Public","150 Northwest Dr.","Plainville","06062","Capitol","90.1","90.1","90.1","90.1","90.1","90.1","90.1","90.1","90.1","9.9","0.0","9.9"
"Northwest Village School/Wheeler Clinic","Public","91 Northwest Drive","Plainville","06062","Capitol","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"Eli Terry Jr. Middle School","Public","21 North Main Street","Plymouth","06786","Naugatuck Valley","96.5","96.5","96.5","96.5","96.5","96.5","94.7","94.7","94.7","3.5","0.0","3.5"
"Pomfret Community School","Public","20 Pomfret St.","Pomfret","06259","Northeast CT","92.7","92.7","92.7","92.7","92.7","92.7","87.8","87.8","87.8","4.9","2.4","7.3"
"Rectory School","Non-public","528 Pomfret Street","Pomfret","06258","Northeast CT","80.6","97.2","91.7","97.2","91.7","97.2","72.2","77.8","72.2","0.0","2.8","2.8"
"Portland Middle School","Public","93 High Street","Portland","06480","Lower CT River Valley","97.2","98.1","98.1","97.2","98.1","97.2","94.4","95.4","92.6","1.9","0.0","1.9"
"Preston Plains School","Public","1 Route 164","Preston","06365","Southeastern CT","100.0","100.0","100.0","100.0","100.0","100.0","100.0","98.0","98.0","0.0","0.0","0.0"
"Long River Middle School","Public","38 Columbia Ave.","Prospect","06712","Naugatuck Valley","94.2","94.2","94.2","94.2","94.2","94.2","93.6","93.6","93.6","5.1","0.6","5.8"
"Putnam Middle School","Public","35 Wicker St.","Putnam","06260","Northeast CT","99.0","99.0","99.0","99.0","99.0","99.0","88.9","86.9","86.9","1.0","0.0","1.0"
"John Read Middle School","Public","486 Redding Road","Redding","06896","Western CT","96.7","96.7","96.7","96.7","96.7","96.7","96.7","96.7","96.7","3.3","0.0","3.3"
"East Ridge Middle School","Public","10 East Ridge Rd.","Ridgefield","06877","Western CT","95.7","95.7","95.7","95.7","95.1","95.1","88.9","87.0","85.8","4.3","0.0","4.3"
