"School Name","School Type","Address","City","Zipcode","Planning Region","Polio","DTaP","MMR","HepB","Varicella","HepA","All","Ex_Rel","Ex_Med","Ex_Tot"
"Doolittle School","Public","735 Cornwall Ave.","Cheshire","06410","Naugatuck Valley","100","100","98.6","100","98.6","100","98.6","0","0","0"
"Highland School","Public","490 Highland Ave.","Cheshire","06410","Naugatuck Valley","100","99.2","99.2","100","99.2","100","98.5","0","0","0"
"Norton School","Public","414 North Brooksvale Rd.","Cheshire","06410","Naugatuck Valley","100","100","100","100","100","100","100","0","0","0"
"St. Bridget School-Cheshire","Non-public","171 Main Street","Cheshire","06410","Naugatuck Valley","97.7","97.7","97.7","97.7","97.7","97.7","97.7","0","2.3","2.3"
"Chester Elementary School","Public","23 Ridge Rd.","Chester","06412","Lower CT River Valley","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"Lewin G. Joel Jr. School","Public","137A Glenwood Rd.","Clinton","06413","Lower CT River Valley","100","100","100","100","98.9","97.8","96.7","0","0","0"
"Colchester Elementary School","Public","315 Halls Hill Rd.","Colchester","06415","Southeastern CT","98.6","99.3","98.6","99.3","98.6","98.6","97.8","0","0.7","0.7"
"Colebrook Consolidated School","Public","452 Smith Hill Road","Colebrook","06021","Northwest Hills","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"Bridges Community School","Public","10 Commerce Ave","Columbia","06237","Capitol","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC","DNC"
"Horace W. Porter School","Public","3 Schoolhouse Road","Columbia","06237","Capitol","100","100","100","100","100","100","100","0","0","0"
"Cornwall Consolidated School","Public","5 Cream Hill Rd.","Cornwall","06796","Northwest Hills","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"Coventry Grammar School","Public","3453 Main Street","Coventry","06238","Capitol","97.9","98.9","100","100","97.9","100","97.9","0","0","0"
"Edna C. Stevens School","Public","25 Court St.","Cromwell","06416","Lower CT River Valley","98.9","98.9","98.9","97.8","98.9","98.9","97.8","0","1.1","1.1"
"Ellsworth Avenue School","Public","53 Ellsworth Ave","Danbury","06810","Western CT","100","100","100","100","100","100","100","0","0","0"
"Great Plain School","Public","10 Stadley Rough Rd.","Danbury","06811","Western CT","100","100","100","100","100","97.2","97.2","0","0","0"
"Hayestown Avenue School","Public","42 Tamarack Ave.","Danbury","06811","Western CT","100","100","100","100","100","100","100","0","0","0"
"Hudson Country Montessori","Non-public","44A Shelter Rock Road","Danbury","06810","Western CT","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"Immanuel Lutheran-Danbury","Non-public","18 Clapboard Ridge Road","Danbury","06811","Western CT","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"King Street Primary School","Public","151 South King St.","Danbury","06811","Western CT","100","97.7","100","98.9","100","97.7","97.7","0","0","0"
"Mill Ridge Primary School","Public","49A High Ridge Rd.","Danbury","06811","Western CT","100","100","100","100","100","100","100","0","0","0"
"Morris Street School","Public","28 Morris St.","Danbury","06810","Western CT","100","100","100","100","100","100","100","0","0","0"
"Park Avenue School","Public","82 Park Ave.","Danbury","06810","Western CT","98.6","97.1","100","98.6","98.6","95.7","95.7","0","0","0"
"Pembroke School","Public","34 1/2 Pembroke Rd.","Danbury","06811","Western CT","95.1","95.1","95.1","95.1","95.1","100","92.7","0","0","0"
"Shelter Rock School","Public","2 Crows Nest Rd.","Danbury","06810","Western CT","100","100","100","100","100","100","100","0","0","0"
"South Street School","Public","129 South St.","Danbury","06810","Western CT","100","100","100","100","97.8","100","97.8","0","0","0"
"St. Gregory The Great","Non-public","85 Great Plain Road","Danbury","06811","Western CT","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"St. Joseph School-Danbury","Non-public","370 Main Street","Danbury","06810","Western CT","96.8","96.8","96.8","96.8","96.8","96.8","96.8","0","3.2","3.2"
"St. Peter Sacred Heart School","Non-public","98 Main Street","Danbury","06810","Western CT","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"Stadley Rough School","Public","25 Karen Rd.","Danbury","06811","Western CT","98.4","98.4","100","100","96.8","100","96.8","0","0","0"
"Western CT Academy of International Studies Elementary Magnet School","Public","201 University Blvd.","Danbury","06810","Western CT","98.1","96.2","98.1","100","98.1","98.1","94.3","0","0","0"
"Hindley Elementary School","Public","10 Nearwater Ln.","Darien","06820","Western CT","100","98.5","100","98.5","100","100","98.5","0","0","0"
"Holmes Elementary School","Public","18 Hoyt St.","Darien","06820","Western CT","100","100","100","100","100","100","100","0","0","0"
"Ox Ridge Elementary School","Public","395 Mansfield Ave.","Darien","06820","Western CT","100","100","100","100","100","100","100","0","0","0"
"Royle Elementary School","Public","133 Mansfield Ave.","Darien","06820","Western CT","100","100","100","100","100","98.6","98.6","0","0","0"
"Tokeneke Elementary School","Public","7 Old Farm Rd.","Darien","06820","Western CT","100","100","100","100","100","100","100","0","0","0"
"Deep River Elementary School","Public","12 River St.","Deep River","06417","Lower CT River Valley","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"Steward Outdoor School","Non-public","253 Bushy Hill Rd","Deep River","06417","Lower CT River Valley","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"Bradley School","Public","155 David Humphreys Rd.","Derby","06418","Naugatuck Valley","100","100","100","100","100","100","100","0","0","0"
"Irving School","Public","9 Garden Place","Derby","06418","Naugatuck Valley","97.4","100","100","100","100","100","97.4","0","0","0"
"St. Mary - St. Michael","Non-public","14 Seymour Avenue","Derby","06418","Naugatuck Valley","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"Frederick Brewster School","Public","126 Tuttle Rd.","Durham","06422","Lower CT River Valley","98.9","98.9","100","100","98.9","100","97.7","0","0","0"
"Allgrove School","Public","33 Turkey Hills Rd.","East Granby","06026","Capitol","94.4","94.4","94.4","94.4","94.4","90.7","90.7","0","3.7","3.7"
"East Haddam Elementary School","Public","45 Joe Williams Rd.","East Haddam","06469","Lower CT River Valley","94.8","94.8","94.8","94.8","94.8","94.8","94.8","0","5.2","5.2"
"Memorial School","Public","20 Smith St.","East Hampton","06424","Lower CT River Valley","99","99","99","99","99","99","99","0","1","1"
"Anna E. Norris School","Public","40 Remington Rd.","East Hartford","06108","Capitol","66.7","80","76.7","83.3","70","83.3","66.7","0","0","0"
"Dr. Franklin H. Mayberry School","Public","101 Great Hill Rd.","East Hartford","06108","Capitol","100","100","100","100","100","100","100","0","0","0"
"Dr. John A. Langford School","Public","61 Alps Dr.","East Hartford","06108","Capitol","100","100","100","100","100","97.9","97.9","0","0","0"
"Dr. Thomas S. O'Connell School K-2","Public","305 May Rd.","East Hartford","06118","Capitol","100","100","100","100","100","100","100","0","0","0"
"Governor William Pitkin School","Public","330 Hills St.","East Hartford","06118","Capitol","96.8","96.8","96.8","96.8","96.8","96.8","96.8","0","0","0"
"Joseph O. Goodwin School","Public","1235 Forbes St.","East Hartford","06118","Capitol","100","100","100","100","100","100","100","0","0","0"
"Riverside Magnet School at Goodwin University","Non-public","29 Willowbrook Road","East Hartford","06118","Capitol","100","100","100","100","100","100","100","0","0","0"
"Robert J. O'Brien School","Public","56 Farm Dr.","East Hartford","06108","Capitol","96.9","96.9","96.9","96.9","96.9","96.9","96.9","0","3.1","3.1"
"Silver Lane School","Public","15 Mercer Ave.","East Hartford","06118","Capitol","93.8","93.8","93.8","100","93.8","100","93.8","0","0","0"
"Deer Run School","Public","311 Foxon Rd.","East Haven","06512","South Central","96.8","96.8","98.4","98.4","98.4","96.8","96.8","0","0","0"
"Grove J. Tuttle School","Public","108 Prospect St.","East Haven","06512","South Central","98","98","100","100","100","98","98","0","0","0"
"Momauguin School","Public","99 Cosey Beach Rd.","East Haven","06512","South Central","100","100","100","100","100","100","100","0","0","0"
"Flanders School","Public","167 Boston Post Rd.","East Lyme","06333","Southeastern CT","100","100","100","100","100","100","100","0","0","0"
"Lillie B. Haynes School","Public","29 Society Rd.","East Lyme","06357","Southeastern CT","98.4","98.4","100","100","98.4","100","98.4","0","0","0"
"Niantic Center School","Public","7 West Main St.","East Lyme","06357","Southeastern CT","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"Broad Brook Elementary School","Public","14 Rye St.","East Windsor","06016","Capitol","100","100","100","98.4","100","100","98.4","0","0","0"
"Eastford Elementary School","Public","12 Westford Road","Eastford","06242","Northeast CT","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"Easton Country Day School","Non-public","660 Morehouse Rd.","Easton","06612","Greater Bridgeport","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"Samuel Staples Elementary School","Public","515 Morehouse Road","Easton","06612","Greater Bridgeport","96.7","96.7","96.7","96.7","96.7","96.7","96.7","0","3.3","3.3"
"The Speech Academy-Easton","Non-public","656 Morehouse Road","Easton","06612","Greater Bridgeport","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"BASES 89","Public","89 west rd","Ellington","06029","Capitol","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"Center Elementary School","Public","49 Main St.","Ellington","06029","Capitol","97.8","97.8","97.8","97.8","97.8","97.8","97.8","0","2.2","2.2"
"Crystal Lake School","Public","59 South Road","Ellington","06029","Capitol","100","100","100","100","100","100","100","0","0","0"
"Windermere School","Public","2 Abbott Rd.","Ellington","06029","Capitol","100","100","100","100","100","100","100","0","0","0"
"Enfield Montessori School","Non-public","1325 Enfield Street","Enfield","06082","Capitol","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"Enfield Street School","Public","1318 Enfield St.","Enfield","06082","Capitol","100","100","100","100","100","99","99","0","0","0"
"Hazardville Memorial School","Public","68 North Maple St.","Enfield","06082","Capitol","98.1","99.1","98.1","99.1","98.1","99.1","98.1","0","0","0"
"Henry Barnard School","Public","27 Shaker Rd.","Enfield","06082","Capitol","99.1","99.1","99.1","100","99.1","99.1","97.3","0","0","0"
"St. Bernard School-Enfield","Non-public","232 Pearl Street","Enfield","06082","Capitol","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
"Essex Elementary School","Public","108 Main St.","Essex","06409","Lower CT River Valley","97.3","97.3","94.6","94.6","89.2","89.2","81.1","0","2.7","2.7"
"Assumption Catholic School","Non-public","605 Stratfield Road","Fairfield","06825","Greater Bridgeport","97.2","97.2","100","100","100","100","97.2","0","0","0"
"Burr Elementary School","Public","1960 Burr St.","Fairfield","06824","Greater Bridgeport","100","100","100","100","100","100","100","0","0","0"
"Dwight Elementary School","Public","1600 Redding Rd.","Fairfield","06824","Greater Bridgeport","100","100","100","100","100","100","100","0","0","0"
"Fairfield Country Day School","Non-public","2970 Bronson Road","Fairfield","06824","Greater Bridgeport","DS","DS","DS","DS","DS","DS","DS","DS","DS","DS"
