"County","School","Grade","Total Students Enrolled","DTaP Percent","Polio Percent","MMR Percent","Hep B Percent","Varicella Had Disease Percent","Varicella Percent","Tdap Percent","MCV4 1st Dose Percent","MCV4 16+ 1 Dose Percent","MCV4 2nd Dose 16+ Percent","Medical Exemption Percent","Religious Exemption Percent","Philosophical Exemption Percent","Enrolled Provisionally Percent","Denied Admission Percent","Noncompliant and Attending Percent"
"Bucks","St Isidore School","7th Grade","12","","","","","","","","","","","","","","","",""
"Bucks","St Joseph-St Robert School","Kindergarten","40","100.0%","100.0%","95.0%","100.0%","0.0%","95.0%","","","","","2.5%","0.0%","0.0%","0.0%","0.0%","2.5%"
"Bucks","St Joseph-St Robert School","7th Grade","11","","","","","","","","","","","","","","","",""
"Bucks","St Katharine Drexel Regional Catholic School","Kindergarten","27","100.0%","100.0%","100.0%","100.0%","0.0%","100.0%","","","","","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%"
"Bucks","St Katharine Drexel Regional Catholic School","7th Grade","42","100.0%","100.0%","100.0%","100.0%","2.4%","97.6%","100.0%","100.0%","","","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%"
"Bucks","St Mark School","Kindergarten","14","","","","","","","","","","","","","","","",""
"Bucks","St Mark School","7th Grade","18","","","","","","","","","","","","","","","",""
"Bucks","St Michael The Archangel School","Kindergarten","11","","","","","","","","","","","","","","","",""
"Bucks","St Michael The Archangel School","7th Grade","15","","","","","","","","","","","","","","","",""
"Bucks","Strayer MS","7th Grade","348","96.3%","96.3%","96.0%","95.7%","1.4%","94.5%","96.3%","96.3%","","","0.0%","1.1%","6.3%","0.0%","0.0%","1.4%"
"Bucks","Tamanend MS","7th Grade","296","97.6%","97.3%","97.6%","97.6%","3.0%","93.6%","95.3%","94.9%","","","0.3%","2.7%","2.7%","0.3%","0.0%","0.0%"
"Bucks","Tawanka El Sch","Kindergarten","134","88.1%","88.1%","87.3%","88.1%","0.0%","87.3%","","","","","0.7%","0.0%","10.4%","1.5%","0.0%","0.0%"
"Bucks","Tinicum El Sch","Kindergarten","22","100.0%","100.0%","100.0%","100.0%","0.0%","100.0%","","","","","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%"
"Bucks","Titus El Sch","Kindergarten","62","98.4%","96.8%","98.4%","96.8%","0.0%","96.8%","","","","","0.0%","3.2%","0.0%","0.0%","0.0%","1.6%"
"Bucks","Tohickon MS","7th Grade","263","97.7%","98.1%","98.5%","97.3%","1.1%","97.3%","94.7%","94.3%","","","0.8%","2.3%","4.2%","0.0%","0.0%","1.1%"
"Bucks","Truman SHS","12th Grade","415","97.3%","97.3%","99.0%","98.8%","1.4%","97.6%","98.1%","","0.5%","95.9%","1.9%","1.0%","2.4%","0.5%","0.0%","0.0%"
"Bucks","Trumbauersville El Sch","Kindergarten","57","94.7%","94.7%","94.7%","96.5%","0.0%","94.7%","","","","","0.0%","3.5%","1.8%","0.0%","0.0%","0.0%"
"Bucks","Unami MS","7th Grade","274","98.5%","98.9%","97.8%","97.8%","0.7%","97.4%","97.8%","97.4%","","","0.0%","0.7%","2.2%","0.0%","0.0%","1.1%"
"Bucks","Upper Bucks Christian School","Kindergarten","22","81.8%","81.8%","77.3%","86.4%","0.0%","77.3%","","","","","4.5%","0.0%","18.2%","0.0%","0.0%","0.0%"
"Bucks","Upper Bucks Christian School","7th Grade","23","87.0%","82.6%","78.3%","87.0%","0.0%","82.6%","47.8%","43.5%","","","4.3%","0.0%","34.8%","17.4%","0.0%","0.0%"
"Bucks","Upper Bucks Christian School","12th Grade","14","","","","","","","","","","","","","","","",""
"Bucks","Valley El Sch","Kindergarten","89","96.6%","96.6%","96.6%","96.6%","0.0%","96.6%","","","","","0.0%","1.1%","2.2%","0.0%","0.0%","0.0%"
"Bucks","Villa Joseph Marie High School","12th Grade","65","100.0%","98.5%","100.0%","98.5%","0.0%","100.0%","100.0%","","0.0%","96.9%","0.0%","4.6%","0.0%","0.0%","0.0%","0.0%"
"Bucks","Village Park Academy","12th Grade","7","","","","","","","","","","","","","","","",""
"Bucks","Walt Disney El Sch","Kindergarten","58","98.3%","94.8%","98.3%","96.6%","0.0%","100.0%","","","","","0.0%","0.0%","1.7%","3.4%","0.0%","0.0%"
"Bucks","Warren Snyder-John Girotti El Sch","Kindergarten","82","90.2%","92.7%","87.8%","91.5%","0.0%","87.8%","","","","","0.0%","1.2%","0.0%","0.0%","0.0%","14.6%"
"Bucks","Warwick El Sch","Kindergarten","39","100.0%","97.4%","97.4%","100.0%","0.0%","97.4%","","","","","0.0%","2.6%","0.0%","0.0%","0.0%","5.1%"
"Bucks","West Rockhill El Sch","Kindergarten","43","100.0%","97.7%","100.0%","97.7%","0.0%","100.0%","","","","","0.0%","0.0%","2.3%","2.3%","0.0%","0.0%"
"Bucks","William Penn MS","7th Grade","290","97.6%","97.6%","97.6%","97.6%","0.0%","97.2%","97.6%","97.2%","","","0.0%","2.1%","1.0%","0.0%","0.0%","0.0%"
"Bucks","William Tennent HS","12th Grade","418","99.0%","98.3%","98.8%","97.6%","1.0%","98.6%","96.9%","","2.4%","65.3%","2.2%","13.6%","0.0%","0.0%","0.0%","34.2%"
"Bucks","Willow Dale El Sch","Kindergarten","111","94.6%","92.8%","89.2%","96.4%","0.0%","88.3%","","","","","0.0%","5.4%","0.0%","0.9%","0.0%","6.3%"
"Bucks","Windmill Academy","Kindergarten","20","90.0%","90.0%","90.0%","90.0%","0.0%","90.0%","","","","","0.0%","0.0%","10.0%","0.0%","0.0%","0.0%"
"Bucks","Wrightstown El Sch","Kindergarten","39","94.9%","94.9%","94.9%","94.9%","0.0%","94.9%","","","","","2.6%","2.6%","0.0%","0.0%","0.0%","0.0%"
"Butler","Broad Street El Sch","Kindergarten","34","88.2%","88.2%","88.2%","91.2%","0.0%","88.2%","","","","","0.0%","5.9%","5.9%","0.0%","0.0%","0.0%"
"Butler","Butler Area IHS","7th Grade","464","96.1%","96.1%","96.8%","97.0%","0.6%","95.9%","90.1%","89.7%","","","0.0%","4.3%","6.0%","0.2%","0.0%","0.4%"
"Butler","Butler Area SHS","12th Grade","475","95.6%","97.5%","97.7%","96.0%","0.4%","96.6%","95.6%","","0.0%","87.6%","0.6%","3.6%","9.5%","0.0%","0.0%","0.0%"
"Butler","Butler Catholic School","Kindergarten","17","","","","","","","","","","","","","","","",""
"Butler","Butler Catholic School","7th Grade","13","","","","","","","","","","","","","","","",""
"Butler","Butler Montessori School","Kindergarten","2","","","","","","","","","","","","","","","",""
"Butler","Calvary Academy","7th Grade","1","","","","","","","","","","","","","","","",""
"Butler","Center Twp Sch","Kindergarten","86","90.7%","90.7%","89.5%","94.2%","0.0%","89.5%","","","","","0.0%","2.3%","8.1%","0.0%","0.0%","0.0%"
"Butler","Connoquenessing El Sch","Kindergarten","45","88.9%","88.9%","91.1%","91.1%","0.0%","91.1%","","","","","0.0%","4.4%","6.7%","0.0%","0.0%","2.2%"
"Butler","Connoquenessing Valley El Sch","Kindergarten","165","93.3%","92.7%","91.5%","97.0%","0.6%","91.5%","","","","","0.0%","2.4%","4.2%","1.2%","0.0%","0.6%"
"Butler","Dassa McKinney El Sch","Kindergarten","76","94.7%","94.7%","94.7%","96.1%","0.0%","94.7%","","","","","1.3%","0.0%","3.9%","0.0%","0.0%","0.0%"
"Butler","Easter Seals of Western and Central PA","Kindergarten","2","","","","","","","","","","","","","","","",""
"Butler","Ehrman Crest El Sch","Kindergarten","171","95.3%","95.3%","95.3%","97.7%","0.0%","94.7%","","","","","0.0%","2.3%","3.5%","0.0%","0.0%","0.0%"
"Butler","Emily Brittain El Sch","Kindergarten","45","91.1%","91.1%","91.1%","91.1%","0.0%","91.1%","","","","","0.0%","2.2%","6.7%","0.0%","0.0%","0.0%"
"Butler","First Baptist Christian School","Kindergarten","3","","","","","","","","","","","","","","","",""
"Butler","First Baptist Christian School","7th Grade","11","","","","","","","","","","","","","","","",""
"Butler","First Baptist Christian School","12th Grade","5","","","","","","","","","","","","","","","",""
"Butler","Glade Run Academy","7th Grade","12","","","","","","","","","","","","","","","",""
"Butler","Glade Run Academy","12th Grade","22","100.0%","100.0%","100.0%","100.0%","0.0%","100.0%","100.0%","","72.7%","27.3%","0.0%","0.0%","13.6%","13.6%","0.0%","0.0%"
"Butler","Goddard School","Kindergarten","23","95.7%","95.7%","95.7%","95.7%","0.0%","95.7%","","","","","4.3%","0.0%","0.0%","0.0%","0.0%","0.0%"
"Butler","Haine El Sch","Kindergarten","153","97.4%","96.7%","96.7%","97.4%","0.0%","96.1%","","","","","0.0%","0.0%","4.6%","0.7%","0.0%","1.3%"
"Butler","His Kids Christian School","Kindergarten","7","","","","","","","","","","","","","","","",""
"Butler","Holy Sepulcher School","Kindergarten","25","100.0%","100.0%","100.0%","100.0%","0.0%","100.0%","","","","","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%"
"Butler","Holy Sepulcher School","7th Grade","11","","","","","","","","","","","","","","","",""
"Butler","Karns City Area El Sch","Kindergarten","92","93.5%","93.5%","93.5%","93.5%","0.0%","93.5%","","","","","0.0%","0.0%","6.5%","0.0%","0.0%","93.5%"
"Butler","Karns City Jr/Sr HS","7th Grade","98","85.7%","85.7%","85.7%","85.7%","0.0%","85.7%","85.7%","85.7%","","","1.0%","4.1%","3.1%","69.4%","0.0%","0.0%"
"Butler","Karns City Jr/Sr HS","12th Grade","92","100.0%","100.0%","100.0%","100.0%","2.2%","97.8%","100.0%","","0.0%","88.0%","1.1%","5.4%","2.2%","12.0%","0.0%","0.0%"
"Butler","Knoch HS","12th Grade","187","97.9%","96.3%","96.8%","97.3%","0.5%","96.3%","94.7%","","0.0%","89.3%","0.0%","9.1%","1.6%","0.0%","0.0%","0.5%"
"Butler","Knoch MS","7th Grade","180","93.9%","94.4%","92.8%","92.8%","0.0%","92.8%","91.7%","91.1%","","","0.6%","7.2%","2.2%","0.0%","0.0%","0.0%"
"Butler","Knoch Primary Sch","Kindergarten","127","93.7%","94.5%","93.7%","94.5%","0.0%","93.7%","","","","","0.0%","7.1%","0.0%","0.0%","0.0%","0.0%"
"Butler","Longmore Academy","7th Grade","12","","","","","","","","","","","","","","","",""
"Butler","Longmore Academy","12th Grade","11","","","","","","","","","","","","","","","",""
"Butler","Mars Area MS","7th Grade","319","95.6%","95.3%","95.6%","94.4%","0.3%","94.0%","92.8%","92.2%","","","0.6%","2.5%","7.2%","0.0%","0.0%","0.9%"
"Butler","Mars Area Primary Ctr","Kindergarten","207","96.6%","97.6%","94.7%","97.1%","0.0%","94.7%","","","","","0.0%","1.9%","3.9%","0.0%","0.0%","0.0%"
"Butler","Mars Area SHS","12th Grade","275","97.5%","96.7%","97.1%","97.1%","0.0%","97.1%","96.4%","","0.7%","93.8%","0.0%","3.6%","2.5%","0.0%","0.0%","0.0%"
"Butler","Mcquistion El Sch","Kindergarten","83","96.4%","96.4%","96.4%","95.2%","0.0%","95.2%","","","","","0.0%","0.0%","6.0%","0.0%","0.0%","1.2%"
"Butler","Moniteau JSHS","7th Grade","77","100.0%","97.4%","97.4%","100.0%","0.0%","98.7%","94.8%","94.8%","","","0.0%","2.6%","2.6%","0.0%","0.0%","0.0%"
"Butler","Moniteau JSHS","12th Grade","75","100.0%","98.7%","98.7%","100.0%","0.0%","98.7%","96.0%","","4.0%","92.0%","1.3%","2.7%","2.7%","0.0%","0.0%","0.0%"
"Butler","Moraine El Sch","Kindergarten","48","85.4%","85.4%","85.4%","85.4%","0.0%","85.4%","","","","","0.0%","0.0%","14.6%","0.0%","0.0%","0.0%"
"Butler","North Catholic High School","12th Grade","166","97.0%","95.8%","95.2%","95.8%","0.0%","94.6%","91.6%","","1.2%","89.8%","0.6%","3.0%","5.4%","0.0%","0.0%","5.4%"
"Butler","Northwest El Sch","Kindergarten","68","89.7%","89.7%","91.2%","91.2%","0.0%","91.2%","","","","","0.0%","1.5%","7.4%","0.0%","0.0%","4.4%"
"Butler","Penn Christian Academy of Butler County Inc","Kindergarten","15","","","","","","","","","","","","","","","",""
"Butler","Penn Christian Academy of Butler County Inc","7th Grade","3","","","","","","","","","","","","","","","",""
"Butler","Portersville Christian School","Kindergarten","16","","","","","","","","","","","","","","","",""
"Butler","Portersville Christian School","7th Grade","12","","","","","","","","","","","","","","","",""
"Butler","Portersville Christian School","12th Grade","19","","","","","","","","","","","","","","","",""
"Butler","Rowan El Sch","Kindergarten","98","90.8%","90.8%","90.8%","93.9%","0.0%","90.8%","","","","","1.0%","6.1%","2.0%","0.0%","0.0%","0.0%"
"Butler","Ryan Gloyer MS","7th Grade","618","97.6%","97.4%","97.4%","97.2%","1.6%","95.8%","94.7%","94.5%","","","0.2%","1.3%","4.0%","0.2%","0.0%","0.5%"
"Butler","Seneca Valley HS","12th Grade","628","97.1%","96.5%","95.9%","96.7%","1.1%","94.9%","95.5%","","0.0%","91.4%","0.3%","2.1%","6.1%","0.2%","0.0%","1.3%"
"Butler","Slippery Rock Area El Sch","Kindergarten","72","87.5%","87.5%","86.1%","90.3%","0.0%","86.1%","","","","","0.0%","0.0%","13.9%","0.0%","0.0%","0.0%"
"Butler","Slippery Rock Area HS","12th Grade","162","94.4%","95.1%","94.4%","95.7%","0.6%","93.2%","93.2%","","1.9%","87.0%","0.0%","0.0%","13.0%","0.0%","0.0%","0.0%"
"Butler","Slippery Rock Area MS","7th Grade","136","93.4%","91.9%","92.6%","91.9%","0.0%","92.6%","88.2%","88.2%","","","0.0%","0.0%","13.2%","0.0%","0.0%","0.0%"
"Butler","St Gregory School","Kindergarten","24","91.7%","91.7%","91.7%","91.7%","0.0%","91.7%","","","","","0.0%","8.3%","0.0%","0.0%","0.0%","0.0%"
"Butler","St Gregory School","7th Grade","56","98.2%","98.2%","98.2%","98.2%","0.0%","98.2%","96.4%","96.4%","","","0.0%","0.0%","1.8%","0.0%","0.0%","1.8%"
"Butler","St Kilian Catholic School","Kindergarten","71","98.6%","100.0%","100.0%","100.0%","0.0%","100.0%","","","","","0.0%","0.0%","0.0%","0.0%","0.0%","1.4%"
"Butler","St Kilian Catholic School","7th Grade","59","96.6%","96.6%","96.6%","96.6%","0.0%","96.6%","96.6%","96.6%","","","0.0%","1.7%","1.7%","0.0%","0.0%","0.0%"
"Butler","St Luke Lutheran School","Kindergarten","29","89.7%","89.7%","100.0%","86.2%","0.0%","100.0%","","","","","0.0%","13.8%","0.0%","0.0%","0.0%","0.0%"
"Butler","St Luke Lutheran School","7th Grade","7","","","","","","","","","","","","","","","",""
"Butler","St Wendelin School","Kindergarten","8","","","","","","","","","","","","","","","",""
"Butler","St Wendelin School","7th Grade","8","","","","","","","","","","","","","","","",""
"Butler","Summit Academy","12th Grade","17","","","","","","","","","","","","","","","",""
"Butler","Summit El Sch","Kindergarten","36","97.2%","97.2%","97.2%","97.2%","0.0%","97.2%","","","","","0.0%","0.0%","5.6%","0.0%","0.0%","0.0%"
"Cambria","All Saints Catholic School","Kindergarten","7","","","","","","","","","","","","","","","",""
"Cambria","All Saints Catholic School","7th Grade","6","","","","","","","","","","","","","","","",""
"Cambria","Bishop Carroll High School","12th Grade","51","82.4%","82.4%","82.4%","82.4%","0.0%","82.4%","82.4%","","72.5%","9.8%","0.0%","13.7%","0.0%","3.9%","0.0%","0.0%"
"Cambria","Bishop McCort Catholic Elementary East","Kindergarten","18","","","","","","","","","","","","","","","",""
"Cambria","Bishop McCort Catholic Elementary West","Kindergarten","16","","","","","","","","","","","","","","","",""
"Cambria","Bishop McCort High School","7th Grade","47","95.7%","95.7%","95.7%","95.7%","2.1%","93.6%","95.7%","95.7%","","","0.0%","0.0%","4.3%","0.0%","0.0%","0.0%"
"Cambria","Bishop McCort High School","12th Grade","67","88.1%","88.1%","88.1%","88.1%","0.0%","88.1%","88.1%","","0.0%","88.1%","0.0%","1.5%","10.4%","0.0%","0.0%","0.0%"
"Cambria","Blacklick Valley El Ctr","Kindergarten","39","89.7%","94.9%","89.7%","94.9%","2.6%","87.2%","","","","","0.0%","0.0%","5.1%","0.0%","0.0%","5.1%"
"Cambria","Blacklick Valley JSHS","7th Grade","43","97.7%","97.7%","97.7%","95.3%","0.0%","97.7%","93.0%","95.3%","","","0.0%","0.0%","0.0%","7.0%","0.0%","7.0%"
"Cambria","Blacklick Valley JSHS","12th Grade","45","95.6%","93.3%","93.3%","95.6%","2.2%","91.1%","95.6%","","0.0%","88.9%","0.0%","0.0%","2.2%","6.7%","0.0%","13.3%"
"Cambria","Cambria County Christian School","Kindergarten","1","","","","","","","","","","","","","","","",""
"Cambria","Cambria County Christian School","7th Grade","3","","","","","","","","","","","","","","","",""
"Cambria","Cambria County Christian School","12th Grade","2","","","","","","","","","","","","","","","",""
"Cambria","Cambria El Sch","Kindergarten","69","92.8%","92.8%","92.8%","92.8%","0.0%","92.8%","","","","","0.0%","5.8%","1.4%","0.0%","0.0%","0.0%"
"Cambria","Cambria Heights El Sch","Kindergarten","78","88.5%","88.5%","89.7%","92.3%","0.0%","89.7%","","","","","0.0%","0.0%","3.8%","6.4%","0.0%","1.3%"
"Cambria","Cambria Heights MS","7th Grade","85","95.3%","94.1%","95.3%","95.3%","0.0%","95.3%","94.1%","94.1%","","","0.0%","5.9%","1.2%","0.0%","0.0%","0.0%"
"Cambria","Cambria Heights SHS","12th Grade","102","98.0%","97.1%","98.0%","98.0%","2.0%","95.1%","96.1%","","1.0%","94.1%","2.0%","1.0%","4.9%","0.0%","0.0%","1.0%"
"Cambria","Central Cambria HS","12th Grade","120","97.5%","97.5%","97.5%","97.5%","0.0%","97.5%","95.8%","","0.0%","86.7%","0.8%","1.7%","5.8%","0.8%","0.0%","4.2%"
"Cambria","Central Cambria MS","7th Grade","114","97.4%","97.4%","96.5%","97.4%","0.0%","96.5%","93.9%","93.0%","","","0.0%","1.8%","3.5%","0.0%","0.0%","2.6%"
"Cambria","Conemaugh Valley El Sch","Kindergarten","48","97.9%","97.9%","97.9%","97.9%","97.9%","0.0%","","","","","0.0%","0.0%","2.1%","0.0%","0.0%","0.0%"
"Cambria","Conemaugh Valley JSHS","7th Grade","55","96.4%","96.4%","96.4%","96.4%","0.0%","96.4%","96.4%","96.4%","","","0.0%","0.0%","3.6%","0.0%","0.0%","0.0%"
"Cambria","Conemaugh Valley JSHS","12th Grade","46","100.0%","100.0%","100.0%","100.0%","0.0%","100.0%","100.0%","","8.7%","89.1%","0.0%","0.0%","8.7%","0.0%","0.0%","0.0%"
"Cambria","Country Side Amish School","7th Grade","5","","","","","","","","","","","","","","","",""
"Cambria","Ferndale Area JSHS","7th Grade","40","100.0%","100.0%","100.0%","100.0%","0.0%","100.0%","100.0%","100.0%","","","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%"
"Cambria","Ferndale Area JSHS","12th Grade","43","100.0%","100.0%","100.0%","100.0%","0.0%","100.0%","100.0%","","2.3%","97.7%","0.0%","0.0%","2.3%","0.0%","0.0%","0.0%"
"Cambria","Ferndale El Sch","Kindergarten","27","92.6%","92.6%","92.6%","92.6%","0.0%","92.6%","","","","","0.0%","3.7%","3.7%","0.0%","0.0%","0.0%"
"Cambria","Forest Hills El Sch","Kindergarten","111","98.2%","98.2%","98.2%","99.1%","0.0%","98.2%","","","","","0.0%","0.9%","0.9%","0.0%","0.0%","0.0%"
"Cambria","Forest Hills JSHS","7th Grade","129","98.4%","98.4%","98.4%","97.7%","0.0%","98.4%","96.1%","96.1%","","","0.0%","3.1%","0.8%","0.0%","0.0%","0.0%"
"Cambria","Forest Hills JSHS","12th Grade","133","97.7%","95.5%","97.7%","97.0%","0.8%","97.0%","94.7%","","0.0%","94.7%","2.3%","3.8%","2.3%","0.0%","0.0%","0.0%"
"Cambria","Greater Johnstown El Sch","Kindergarten","236","91.5%","92.4%","93.2%","92.4%","0.0%","93.6%","","","","","1.7%","2.1%","2.1%","2.1%","0.8%","0.0%"
"Cambria","Greater Johnstown MS","7th Grade","199","95.0%","95.0%","95.0%","95.0%","0.0%","95.0%","94.5%","94.5%","","","0.0%","2.5%","2.0%","1.0%","0.5%","0.0%"
"Cambria","Greater Johnstown SHS","12th Grade","212","98.1%","96.2%","99.1%","98.6%","0.5%","98.6%","98.6%","","3.8%","89.2%","0.5%","3.3%","1.4%","5.2%","0.0%","0.0%"
"Cambria","Holy Name School","Kindergarten","22","100.0%","100.0%","100.0%","100.0%","0.0%","95.5%","","","","","0.0%","0.0%","0.0%","4.5%","0.0%","0.0%"
"Cambria","Holy Name School","7th Grade","20","100.0%","100.0%","100.0%","100.0%","0.0%","100.0%","95.0%","95.0%","","","0.0%","0.0%","0.0%","5.0%","0.0%","0.0%"
"Cambria","Jackson El Sch","Kindergarten","25","96.0%","96.0%","96.0%","96.0%","0.0%","96.0%","","","","","0.0%","4.0%","0.0%","0.0%","0.0%","0.0%"
"Cambria","Northern Cambria El Sch","Kindergarten","41","97.6%","97.6%","97.6%","97.6%","0.0%","97.6%","","","","","0.0%","2.4%","0.0%","0.0%","0.0%","0.0%"
"Cambria","Northern Cambria HS","7th Grade","63","96.8%","96.8%","96.8%","96.8%","0.0%","96.8%","96.8%","96.8%","","","0.0%","1.6%","1.6%","0.0%","0.0%","0.0%"
"Cambria","Northern Cambria HS","12th Grade","70","97.1%","97.1%","95.7%","97.1%","0.0%","95.7%","97.1%","","0.0%","92.9%","0.0%","1.4%","7.1%","0.0%","0.0%","0.0%"
"Cambria","Penn Cambria HS","7th Grade","108","98.1%","98.1%","98.1%","98.1%","0.0%","98.1%","96.3%","96.3%","","","0.9%","0.9%","1.9%","0.0%","0.0%","2.8%"
"Cambria","Penn Cambria HS","12th Grade","139","97.8%","97.1%","97.8%","97.8%","0.0%","97.8%","97.8%","","0.0%","92.1%","0.0%","1.4%","2.2%","0.0%","0.0%","5.8%"
"Cambria","Penn Cambria Pre-Primary","Kindergarten","96","94.8%","94.8%","94.8%","94.8%","0.0%","93.8%","","","","","1.0%","3.1%","2.1%","0.0%","0.0%","0.0%"
"Cambria","Portage Area El Sch","Kindergarten","48","93.8%","93.8%","93.8%","93.8%","0.0%","93.8%","","","","","0.0%","2.1%","4.2%","0.0%","0.0%","0.0%"
"Cambria","Portage Area JSHS","7th Grade","63","100.0%","100.0%","100.0%","100.0%","0.0%","100.0%","100.0%","100.0%","","","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%"
"Cambria","Portage Area JSHS","12th Grade","60","91.7%","91.7%","91.7%","91.7%","0.0%","91.7%","91.7%","","0.0%","91.7%","0.0%","5.0%","0.0%","3.3%","0.0%","0.0%"
"Cambria","Pressley Ridge Johnstown","7th Grade","6","","","","","","","","","","","","","","","",""
"Cambria","Pressley Ridge Johnstown","12th Grade","10","","","","","","","","","","","","","","","",""
"Cambria","Richland Academy","Kindergarten","5","","","","","","","","","","","","","","","",""
"Cambria","Richland El Sch","Kindergarten","117","98.3%","97.4%","99.1%","98.3%","0.0%","96.6%","","","","","0.0%","0.0%","4.3%","0.0%","0.0%","0.0%"
"Cambria","Richland HS","7th Grade","127","99.2%","99.2%","99.2%","98.4%","0.0%","99.2%","96.1%","94.5%","","","0.8%","0.8%","0.8%","3.9%","0.0%","0.0%"
"Cambria","Richland HS","12th Grade","128","96.9%","96.9%","96.1%","96.9%","0.0%","96.1%","97.7%","","3.1%","93.0%","0.0%","2.3%","2.3%","3.1%","0.0%","0.0%"
"Cambria","Soaring Heights School - Johnstown","7th Grade","3","","","","","","","","","","","","","","","",""
"Cambria","St Benedict Catholic School","Kindergarten","8","","","","","","","","","","","","","","","",""
"Cambria","St Benedict Catholic School","7th Grade","1","","","","","","","","","","","","","","","",""
"Cambria","St Michael Catholic School","Kindergarten","15","","","","","","","","","","","","","","","",""
"Cambria","St Michael Catholic School","7th Grade","11","","","","","","","","","","","","","","","",""
"Cambria","St Nicholas Catholic School","Kindergarten","16","","","","","","","","","","","","","","","",""
"Cambria","St Nicholas Catholic School","7th Grade","7","","","","","","","","","","","","","","","",""
"Cambria","Westmont Hilltop El Sch","Kindergarten","96","97.9%","97.9%","97.9%","97.9%","0.0%","97.9%","","","","","0.0%","2.1%","0.0%","0.0%","0.0%","0.0%"
"Cambria","Westmont Hilltop JSHS","7th Grade","104","90.4%","98.1%","98.1%","98.1%","1.0%","97.1%","91.3%","90.4%","","","0.0%","1.0%","6.7%","0.0%","0.0%","1.9%"
"Cambria","Westmont Hilltop JSHS","12th Grade","106","98.1%","98.1%","98.1%","98.1%","0.9%","97.2%","94.3%","","4.7%","89.6%","0.0%","0.9%","4.7%","0.0%","0.0%","3.8%"
"Cameron","Cameron County JSHS","7th Grade","32","96.9%","93.8%","93.8%","96.9%","0.0%","96.9%","84.4%","84.4%","","","0.0%","0.0%","3.1%","0.0%","0.0%","12.5%"
"Cameron","Cameron County JSHS","12th Grade","42","97.6%","92.9%","97.6%","97.6%","0.0%","92.9%","97.6%","","2.4%","83.3%","0.0%","0.0%","7.1%","0.0%","0.0%","7.1%"
"Cameron","Woodland El Sch","Kindergarten","33","78.8%","78.8%","78.8%","81.8%","0.0%","78.8%","","","","","3.0%","3.0%","12.1%","0.0%","0.0%","3.0%"
"Carbon","Ashfield Academy","Kindergarten","3","","","","","","","","","","","","","","","",""
"Carbon","Ashfield Academy","7th Grade","3","","","","","","","","","","","","","","","",""
"Carbon","Ashfield Academy","12th Grade","4","","","","","","","","","","","","","","","",""
"Carbon","Carbon Career & Technical Institute","12th Grade","107","99.1%","100.0%","100.0%","100.0%","0.9%","99.1%","99.1%","","4.7%","94.4%","0.0%","0.0%","6.5%","0.0%","0.0%","0.0%"
"Carbon","Jim Thorpe Area HS","12th Grade","119","95.8%","95.0%","95.0%","95.0%","0.8%","92.4%","91.6%","","0.0%","89.9%","0.8%","5.9%","3.4%","3.4%","0.0%","0.0%"
"Carbon","L B Morris El Sch","Kindergarten","66","84.8%","84.8%","87.9%","90.9%","0.0%","87.9%","","","","","0.0%","3.0%","10.6%","1.5%","0.0%","0.0%"
"Carbon","L B Morris El Sch","7th Grade","75","97.3%","97.3%","96.0%","97.3%","0.0%","97.3%","90.7%","90.7%","","","0.0%","4.0%","5.3%","0.0%","0.0%","0.0%"
"Carbon","Lehighton Area Elementary Center","Kindergarten","135","97.8%","98.5%","98.5%","98.5%","0.0%","98.5%","","","","","0.0%","0.0%","1.5%","0.7%","0.0%","0.0%"
"Carbon","Lehighton Area HS","12th Grade","159","98.7%","98.7%","98.7%","98.7%","0.0%","98.7%","98.1%","","2.5%","95.6%","0.6%","0.0%","3.8%","0.0%","0.0%","0.0%"
"Carbon","Lehighton Area MS","7th Grade","155","98.7%","98.7%","98.7%","98.7%","0.0%","98.7%","98.1%","98.1%","","","0.0%","1.3%","0.6%","0.0%","0.0%","0.0%"
"Carbon","Mahoning Valley Academy","Kindergarten","4","","","","","","","","","","","","","","","",""
"Carbon","Mahoning Valley Academy","7th Grade","6","","","","","","","","","","","","","","","",""
"Carbon","Mahoning Valley Academy","12th Grade","5","","","","","","","","","","","","","","","",""
"Carbon","Packer Ridge Academy","7th Grade","9","","","","","","","","","","","","","","","",""
"Carbon","Packer Ridge Academy","12th Grade","6","","","","","","","","","","","","","","","",""
"Carbon","Palmerton Area HS","12th Grade","120","100.0%","100.0%","100.0%","100.0%","1.7%","97.5%","99.2%","","0.0%","98.3%","0.8%","0.8%","0.8%","0.0%","0.0%","0.0%"
"Carbon","Palmerton Area JHS","7th Grade","148","94.6%","93.2%","93.9%","94.6%","0.0%","94.6%","93.2%","93.9%","","","0.7%","2.0%","4.1%","0.0%","0.0%","0.0%"
"Carbon","Panther Valley El Sch","Kindergarten","138","100.0%","100.0%","99.3%","100.0%","0.0%","100.0%","","","","","0.0%","0.0%","0.7%","0.7%","0.0%","0.0%"
