"County","School","Grade","Total Students Enrolled","DTaP Percent","Polio Percent","MMR Percent","Hep B Percent","Varicella Had Disease Percent","Varicella Percent","Tdap Percent","MCV4 1st Dose Percent","MCV4 16+ 1 Dose Percent","MCV4 2nd Dose 16+ Percent","Medical Exemption Percent","Religious Exemption Percent","Philosophical Exemption Percent","Enrolled Provisionally Percent","Denied Admission Percent","Noncompliant and Attending Percent"
"Philadelphia","St Francis De Sales School","Kindergarten","48","100.0%","95.8%","95.8%","100.0%","0.0%","95.8%","","","","","0.0%","0.0%","0.0%","0.0%","0.0%","4.2%"
"Philadelphia","St Francis De Sales School","7th Grade","42","100.0%","100.0%","100.0%","100.0%","0.0%","100.0%","100.0%","100.0%","","","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%"
"Philadelphia","St Francis Xavier School","Kindergarten","22","95.5%","95.5%","100.0%","100.0%","0.0%","100.0%","","","","","0.0%","0.0%","0.0%","0.0%","0.0%","4.5%"
"Philadelphia","St Francis Xavier School","7th Grade","11","","","","","","","","","","","","","","","",""
"Philadelphia","St George School","Kindergarten","17","","","","","","","","","","","","","","","",""
"Philadelphia","St George School","7th Grade","12","","","","","","","","","","","","","","","",""
"Philadelphia","St Helena Incarnation Regional Catholic School","Kindergarten","62","100.0%","100.0%","96.8%","100.0%","0.0%","96.8%","","","","","0.0%","0.0%","0.0%","3.2%","0.0%","0.0%"
"Philadelphia","St Helena Incarnation Regional Catholic School","7th Grade","50","100.0%","100.0%","96.0%","100.0%","0.0%","98.0%","94.0%","94.0%","","","0.0%","0.0%","0.0%","6.0%","0.0%","0.0%"
"Philadelphia","St Huberts Catholic High Sch","12th Grade","103","100.0%","100.0%","100.0%","100.0%","0.0%","100.0%","100.0%","","0.0%","99.0%","0.0%","1.0%","0.0%","0.0%","0.0%","0.0%"
"Philadelphia","St James School","7th Grade","17","","","","","","","","","","","","","","","",""
"Philadelphia","St Jerome School","Kindergarten","47","89.4%","89.4%","91.5%","100.0%","2.1%","91.5%","","","","","0.0%","0.0%","0.0%","0.0%","0.0%","12.8%"
"Philadelphia","St Jerome School","7th Grade","30","100.0%","100.0%","100.0%","100.0%","0.0%","100.0%","100.0%","100.0%","","","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%"
"Philadelphia","St Katherine of Siena School","Kindergarten","56","98.2%","98.2%","96.4%","100.0%","0.0%","96.4%","","","","","1.8%","0.0%","1.8%","1.8%","0.0%","0.0%"
"Philadelphia","St Katherine of Siena School","7th Grade","69","98.6%","98.6%","97.1%","98.6%","0.0%","97.1%","91.3%","92.8%","","","0.0%","0.0%","1.4%","0.0%","0.0%","8.7%"
"Philadelphia","St Laurentius School","Kindergarten","13","","","","","","","","","","","","","","","",""
"Philadelphia","St Laurentius School","7th Grade","16","","","","","","","","","","","","","","","",""
"Philadelphia","St Lucy Day School For Children With Visual Impairments","Kindergarten","1","","","","","","","","","","","","","","","",""
"Philadelphia","St Lucy Day School For Children With Visual Impairments","7th Grade","2","","","","","","","","","","","","","","","",""
"Philadelphia","St Malachy School","Kindergarten","17","","","","","","","","","","","","","","","",""
"Philadelphia","St Malachy School","7th Grade","21","100.0%","100.0%","100.0%","100.0%","0.0%","100.0%","100.0%","100.0%","","","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%"
"Philadelphia","St Martha School","Kindergarten","16","","","","","","","","","","","","","","","",""
"Philadelphia","St Martha School","7th Grade","14","","","","","","","","","","","","","","","",""
"Philadelphia","St Martin De Porres","Kindergarten","46","93.5%","93.5%","93.5%","97.8%","0.0%","93.5%","","","","","0.0%","4.3%","0.0%","0.0%","0.0%","4.3%"
"Philadelphia","St Martin De Porres","7th Grade","26","100.0%","100.0%","100.0%","100.0%","0.0%","100.0%","76.9%","76.9%","","","0.0%","3.8%","0.0%","0.0%","0.0%","23.1%"
"Philadelphia","St Martin of Tours School","Kindergarten","36","97.2%","100.0%","100.0%","100.0%","0.0%","100.0%","","","","","0.0%","0.0%","0.0%","2.8%","0.0%","0.0%"
"Philadelphia","St Martin of Tours School","7th Grade","53","100.0%","100.0%","100.0%","100.0%","0.0%","100.0%","86.8%","86.8%","","","0.0%","0.0%","0.0%","0.0%","0.0%","13.2%"
"Philadelphia","St Marys Interparochial School","Kindergarten","28","92.9%","92.9%","92.9%","96.4%","0.0%","92.9%","","","","","3.6%","0.0%","0.0%","0.0%","0.0%","7.1%"
"Philadelphia","St Marys Interparochial School","7th Grade","27","100.0%","100.0%","100.0%","100.0%","0.0%","100.0%","92.6%","92.6%","","","0.0%","0.0%","0.0%","0.0%","0.0%","7.4%"
"Philadelphia","St Matthew School","Kindergarten","43","100.0%","100.0%","100.0%","100.0%","0.0%","100.0%","","","","","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%"
"Philadelphia","St Matthew School","7th Grade","35","100.0%","100.0%","100.0%","100.0%","0.0%","100.0%","100.0%","100.0%","","","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%"
