State,School District or Name,County,Age Group,Old Rate,New Rate,Difference
AZ,DESTINY SCHOOL,GILA,KINDERGARTEN,86.36,95.1,8.74
AZ,DR. CHARLES A. BEJARANO ELEMENTARY SCHOOL,GILA,KINDERGARTEN,91.67,70.4,-21.27
AZ,HIGH DESERT MIDDLE SCHOOL,GILA,6TH GRADE,95.21,95.0,-0.21
AZ,LEE KORNEGAY INTERMEDIATE SCHOOL,GILA,6TH GRADE,89.04,93.3,4.26
AZ,LEONOR HAMBLY K-8,GILA,6TH GRADE,100.0,100.0,0.0
AZ,PAYSON ELEMENTARY SCHOOL,GILA,KINDERGARTEN,83.1,73.7,-9.4
AZ,RICE SCHOOL,GILA,KINDERGARTEN,97.8,97.6,-0.2
AZ,RIM COUNTRY MIDDLE SCHOOL,GILA,6TH GRADE,91.82,89.2,-2.62
AZ,SAN CARLOS JUNIOR HIGH SCHOOL,GILA,6TH GRADE,99.04,99.1,0.06
AZ,DOROTHY STINSON SCHOOL,GRAHAM,6TH GRADE,100.0,96.2,-3.8
AZ,DOROTHY STINSON SCHOOL,GRAHAM,KINDERGARTEN,94.2,92.2,-2.0
AZ,FORT THOMAS ELEMENTARY SCHOOL,GRAHAM,6TH GRADE,100.0,100.0,0.0
AZ,FORT THOMAS ELEMENTARY SCHOOL,GRAHAM,KINDERGARTEN,95.45,95.7,0.25
AZ,JACK DALEY PRIMARY SCHOOL,GRAHAM,KINDERGARTEN,91.06,81.5,-9.56
AZ,LAFE NELSON SCHOOL,GRAHAM,6TH GRADE,98.0,100.0,2.0
AZ,LAFE NELSON SCHOOL,GRAHAM,KINDERGARTEN,87.34,91.7,4.36
AZ,PIMA ELEMENTARY SCHOOL - GRAHAM,GRAHAM,6TH GRADE,100.0,96.8,-3.2
AZ,PIMA ELEMENTARY SCHOOL - GRAHAM,GRAHAM,KINDERGARTEN,86.76,94.2,7.44
AZ,RUTH POWELL ELEMENTARY SCHOOL,GRAHAM,6TH GRADE,96.36,94.7,-1.66
AZ,RUTH POWELL ELEMENTARY SCHOOL,GRAHAM,KINDERGARTEN,86.57,87.5,0.93
AZ,THATCHER ELEMENTARY SCHOOL,GRAHAM,6TH GRADE,96.77,94.9,-1.87
AZ,FAIRBANKS MIDDLE SCHOOL,GREENLEE,6TH GRADE,99.0,98.4,-0.6
AZ,METCALF ELEMENTARY SCHOOL,GREENLEE,KINDERGARTEN,81.48,80.0,-1.48
AZ,BLAKE PRIMARY SCHOOL,LA PAZ,KINDERGARTEN,90.29,83.8,-6.49
AZ,LE PERA ELEMENTARY SCHOOL,LA PAZ,6TH GRADE,100.0,100.0,0.0
AZ,WALLACE JR HIGH SCHOOL,LA PAZ,6TH GRADE,96.94,99.1,2.16
AZ,ABRAHAM LINCOLN TRADITIONAL SCHOOL,MARICOPA,6TH GRADE,95.0,92.2,-2.8
AZ,ABRAHAM LINCOLN TRADITIONAL SCHOOL,MARICOPA,KINDERGARTEN,94.55,94.0,-0.55
AZ,ACACIA ELEMENTARY SCHOOL - PHOENIX,MARICOPA,6TH GRADE,97.5,94.7,-2.8
AZ,ACACIA ELEMENTARY SCHOOL - PHOENIX,MARICOPA,KINDERGARTEN,90.24,96.4,6.16
AZ,ACADEMY OF MATH AND SCIENCE - DESERT SKY,MARICOPA,6TH GRADE,95.49,96.4,0.91
AZ,ACADEMY OF MATH AND SCIENCE - DESERT SKY,MARICOPA,KINDERGARTEN,87.7,90.3,2.6
AZ,ACADEMY OF MATH AND SCIENCE AVONDALE,MARICOPA,6TH GRADE,97.09,100.0,2.91
AZ,ACADEMY OF MATH AND SCIENCE AVONDALE,MARICOPA,KINDERGARTEN,88.71,100.0,11.29
AZ,ACADEMY OF MATH AND SCIENCE CAMELBACK,MARICOPA,6TH GRADE,95.24,55.8,-39.44
AZ,ACADEMY OF MATH AND SCIENCE CAMELBACK,MARICOPA,KINDERGARTEN,86.58,69.4,-17.18
AZ,ACADEMY OF MATH AND SCIENCE GLENDALE,MARICOPA,6TH GRADE,95.69,91.8,-3.89
AZ,ACADEMY OF MATH AND SCIENCE GLENDALE,MARICOPA,KINDERGARTEN,91.1,91.6,0.5
AZ,ACADEMY OF MATH AND SCIENCE PEORIA ADVANCED,MARICOPA,6TH GRADE,97.1,94.3,-2.8
AZ,ACADEMY OF MATH AND SCIENCE PEORIA ADVANCED,MARICOPA,KINDERGARTEN,92.56,85.8,-6.76
AZ,ACADEMY OF MATH AND SCIENCE SOUTH MOUNTAIN,MARICOPA,6TH GRADE,92.23,93.8,1.57
