State,Dataset,Bin,Count,Proportion
OR,New,60-70,25,0.015
OR,New,70-80,59,0.0354
OR,New,80-85,85,0.051
OR,New,85-86,19,0.0114
OR,New,86-87,30,0.018
OR,New,87-88,34,0.0204
OR,New,88-89,34,0.0204
OR,New,89-90,44,0.0264
OR,New,90-91,61,0.0366
OR,New,91-92,73,0.0438
OR,New,92-93,90,0.054
OR,New,93-94,108,0.0648
OR,New,94-95,165,0.099
OR,New,95-96,183,0.1098
OR,New,96-97,182,0.1092
OR,New,97-98,199,0.1194
OR,New,98-99,124,0.0744
OR,New,99-100,111,0.0666
OR,Old,<50,15,0.0089
OR,Old,50-60,16,0.0095
OR,Old,60-70,25,0.0148
OR,Old,70-80,54,0.032
OR,Old,80-85,64,0.0379
OR,Old,85-86,16,0.0095
OR,Old,86-87,14,0.0083
OR,Old,87-88,23,0.0136
OR,Old,88-89,27,0.016
OR,Old,89-90,38,0.0225
OR,Old,90-91,64,0.0379
OR,Old,91-92,68,0.0403
OR,Old,92-93,86,0.051
OR,Old,93-94,87,0.0516
OR,Old,94-95,144,0.0854
OR,Old,95-96,195,0.1156
OR,Old,96-97,235,0.1393
OR,Old,97-98,253,0.15
OR,Old,98-99,138,0.0818
OR,Old,99-100,125,0.0741
PA,New,<50,15,0.004
PA,New,50-60,9,0.0024
PA,New,60-70,32,0.0086
PA,New,70-80,81,0.0218
PA,New,80-85,86,0.0232
PA,New,85-86,39,0.0105
PA,New,86-87,34,0.0092
PA,New,87-88,52,0.014
PA,New,88-89,56,0.0151
PA,New,89-90,56,0.0151
PA,New,90-91,94,0.0253
PA,New,91-92,149,0.0401
PA,New,92-93,160,0.0431
PA,New,93-94,201,0.0541
PA,New,94-95,232,0.0625
PA,New,95-96,336,0.0905
PA,New,96-97,387,0.1042
PA,New,97-98,436,0.1174
PA,New,98-99,430,0.1158
PA,New,99-100,829,0.2232
PA,Old,<50,23,0.0061
PA,Old,50-60,19,0.005
PA,Old,60-70,25,0.0066
PA,Old,70-80,60,0.0158
PA,Old,80-85,66,0.0174
PA,Old,85-86,23,0.0061
PA,Old,86-87,26,0.0069
PA,Old,87-88,31,0.0082
PA,Old,88-89,39,0.0103
PA,Old,89-90,32,0.0084
PA,Old,90-91,92,0.0243
PA,Old,91-92,87,0.0229
PA,Old,92-93,128,0.0338
PA,Old,93-94,132,0.0348
PA,Old,94-95,162,0.0427
PA,Old,95-96,281,0.0741
PA,Old,96-97,352,0.0928
PA,Old,97-98,472,0.1245
PA,Old,98-99,608,0.1603
PA,Old,99-100,1134,0.2991
TX,New,<50,30,0.009
TX,New,50-60,46,0.0138
TX,New,60-70,74,0.0223
TX,New,70-80,170,0.0512
TX,New,80-85,199,0.0599
TX,New,85-86,73,0.022
TX,New,86-87,42,0.0126
TX,New,87-88,55,0.0166
TX,New,88-89,73,0.022
TX,New,89-90,56,0.0169
TX,New,90-91,111,0.0334
TX,New,91-92,88,0.0265
TX,New,92-93,124,0.0373
TX,New,93-94,151,0.0455
TX,New,94-95,183,0.0551
TX,New,95-96,216,0.065
TX,New,96-97,187,0.0563
TX,New,97-98,234,0.0704
TX,New,98-99,238,0.0716
TX,New,99-100,972,0.2926
TX,Old,<50,22,0.0066
TX,Old,50-60,32,0.0096
TX,Old,60-70,66,0.0197
TX,Old,70-80,130,0.0389
TX,Old,80-85,144,0.0431
TX,Old,85-86,44,0.0132
TX,Old,86-87,38,0.0114
TX,Old,87-88,57,0.0171
TX,Old,88-89,78,0.0233
TX,Old,89-90,48,0.0144
TX,Old,90-91,120,0.0359
TX,Old,91-92,82,0.0245
TX,Old,92-93,134,0.0401
TX,Old,93-94,158,0.0473
TX,Old,94-95,169,0.0506
TX,Old,95-96,188,0.0562
TX,Old,96-97,213,0.0637
TX,Old,97-98,272,0.0814
TX,Old,98-99,260,0.0778
TX,Old,99-100,1088,0.3255
WA,New,<50,25,0.0094
WA,New,50-60,14,0.0053
WA,New,60-70,39,0.0147
WA,New,70-80,67,0.0252
WA,New,80-85,88,0.0331
WA,New,85-86,39,0.0147
WA,New,86-87,39,0.0147
WA,New,87-88,37,0.0139
WA,New,88-89,54,0.0203
WA,New,89-90,78,0.0293
WA,New,90-91,84,0.0316
WA,New,91-92,93,0.035
WA,New,92-93,134,0.0504
WA,New,93-94,156,0.0587
WA,New,94-95,214,0.0805
WA,New,95-96,266,0.1001
WA,New,96-97,314,0.1181
WA,New,97-98,298,0.1121
WA,New,98-99,332,0.1249
WA,New,99-100,287,0.108
WA,Old,<50,15,0.0055
WA,Old,50-60,11,0.004
WA,Old,60-70,29,0.0106
WA,Old,70-80,72,0.0264
WA,Old,80-85,88,0.0323
WA,Old,85-86,29,0.0106
WA,Old,86-87,33,0.0121
WA,Old,87-88,45,0.0165
WA,Old,88-89,40,0.0147
WA,Old,89-90,63,0.0231
WA,Old,90-91,76,0.0279
WA,Old,91-92,98,0.0359
WA,Old,92-93,117,0.0429
WA,Old,93-94,172,0.063
WA,Old,94-95,208,0.0762
WA,Old,95-96,231,0.0847
WA,Old,96-97,344,0.1261
WA,Old,97-98,348,0.1276
WA,Old,98-99,385,0.1411
WA,Old,99-100,324,0.1188
WI,New,<50,128,0.0316
WI,New,50-60,73,0.018
WI,New,60-70,115,0.0284
WI,New,70-80,295,0.0729
WI,New,80-85,314,0.0776
WI,New,85-86,98,0.0242
WI,New,86-87,114,0.0282
WI,New,87-88,102,0.0252
WI,New,88-89,150,0.0371
WI,New,89-90,163,0.0403
WI,New,90-91,182,0.045
WI,New,91-92,233,0.0576
WI,New,92-93,216,0.0534
WI,New,93-94,237,0.0586
WI,New,94-95,286,0.0707
WI,New,95-96,1341,0.3314
WI,New,96-97,0,0.0
WI,New,97-98,0,0.0
WI,New,98-99,0,0.0
WI,New,99-100,0,0.0
WI,Old,<50,160,0.0404
WI,Old,50-60,55,0.0139
WI,Old,60-70,100,0.0252
WI,Old,70-80,271,0.0684
WI,Old,80-85,286,0.0722
WI,Old,85-86,77,0.0194
WI,Old,86-87,109,0.0275
WI,Old,87-88,101,0.0255
WI,Old,88-89,120,0.0303
WI,Old,89-90,150,0.0379
WI,Old,90-91,161,0.0406
WI,Old,91-92,172,0.0434
WI,Old,92-93,219,0.0553
WI,Old,93-94,247,0.0623
WI,Old,94-95,320,0.0807
WI,Old,95-96,1415,0.3571
WI,Old,96-97,0,0.0
WI,Old,97-98,0,0.0
WI,Old,98-99,0,0.0
WI,Old,99-100,0,0.0
