State,Bin,Count (New),Count (Old),Proportion (New),Proportion (Old)
ME,80-85,7.0,5.0,0.01,0.0072
ME,85-86,3.0,5.0,0.0043,0.0072
ME,86-87,2.0,2.0,0.0029,0.0029
ME,87-88,4.0,2.0,0.0057,0.0029
ME,88-89,3.0,2.0,0.0043,0.0029
ME,89-90,2.0,2.0,0.0029,0.0029
ME,90-91,6.0,10.0,0.0086,0.0144
ME,91-92,5.0,10.0,0.0072,0.0144
ME,92-93,6.0,9.0,0.0086,0.013
ME,93-94,10.0,14.0,0.0143,0.0202
ME,94-95,20.0,16.0,0.0286,0.0231
ME,95-96,22.0,18.0,0.0315,0.026
ME,96-97,19.0,15.0,0.0272,0.0216
ME,97-98,42.0,38.0,0.0601,0.0548
ME,98-99,60.0,52.0,0.0858,0.075
ME,99-100,482.0,480.0,0.6896,0.6926
MN,<50,52.0,52.0,0.0298,0.0268
MN,50-60,43.0,48.0,0.0247,0.0248
MN,60-70,77.0,112.0,0.0442,0.0578
MN,70-80,174.0,151.0,0.0998,0.0779
MN,80-85,186.0,183.0,0.1067,0.0944
MN,85-86,41.0,51.0,0.0235,0.0263
MN,86-87,53.0,48.0,0.0304,0.0248
MN,87-88,42.0,48.0,0.0241,0.0248
MN,88-89,62.0,89.0,0.0356,0.0459
MN,89-90,58.0,56.0,0.0333,0.0289
MN,90-91,86.0,74.0,0.0493,0.0382
MN,91-92,65.0,65.0,0.0373,0.0335
MN,92-93,83.0,72.0,0.0476,0.0371
MN,93-94,94.0,93.0,0.0539,0.048
MN,94-95,81.0,118.0,0.0464,0.0609
MN,95-96,237.0,113.0,0.1359,0.0583
MN,96-97,98.0,118.0,0.0562,0.0609
MN,97-98,94.0,121.0,0.0539,0.0624
MN,98-99,118.0,71.0,0.0677,0.0366
MN,99-100,0.0,256.0,0.0,0.132
NC,<50,14.0,16.0,0.0088,0.0088
NC,50-60,15.0,19.0,0.0094,0.0105
NC,60-70,31.0,34.0,0.0194,0.0187
NC,70-80,65.0,66.0,0.0406,0.0364
NC,80-85,90.0,80.0,0.0562,0.0441
NC,85-86,29.0,36.0,0.0181,0.0198
NC,86-87,31.0,33.0,0.0194,0.0182
NC,87-88,32.0,46.0,0.02,0.0254
NC,88-89,52.0,46.0,0.0325,0.0254
NC,89-90,45.0,48.0,0.0281,0.0265
NC,90-91,61.0,76.0,0.0381,0.0419
NC,91-92,79.0,87.0,0.0494,0.048
NC,92-93,118.0,103.0,0.0738,0.0568
NC,93-94,110.0,128.0,0.0688,0.0706
NC,94-95,122.0,160.0,0.0762,0.0882
NC,95-96,156.0,168.0,0.0975,0.0926
NC,96-97,143.0,183.0,0.0894,0.1009
NC,97-98,138.0,154.0,0.0862,0.0849
NC,98-99,96.0,121.0,0.06,0.0667
NC,99-100,173.0,210.0,0.1081,0.1158
NY,<50,41.0,35.0,0.0085,0.0068
NY,50-60,9.0,15.0,0.0019,0.0029
NY,60-70,20.0,12.0,0.0041,0.0023
NY,70-80,25.0,22.0,0.0052,0.0042
NY,80-85,18.0,11.0,0.0037,0.0021
NY,85-86,9.0,2.0,0.0019,0.0004
NY,86-87,3.0,4.0,0.0006,0.0008
NY,87-88,9.0,6.0,0.0019,0.0012
NY,88-89,7.0,5.0,0.0014,0.001
NY,89-90,8.0,6.0,0.0017,0.0012
NY,90-91,11.0,6.0,0.0023,0.0012
NY,91-92,13.0,12.0,0.0027,0.0023
NY,92-93,22.0,14.0,0.0045,0.0027
NY,93-94,27.0,21.0,0.0056,0.0041
NY,94-95,11.0,27.0,0.0023,0.0052
NY,95-96,38.0,41.0,0.0078,0.0079
NY,96-97,63.0,55.0,0.013,0.0106
NY,97-98,97.0,71.0,0.02,0.0137
NY,98-99,239.0,195.0,0.0493,0.0376
NY,99-100,4177.0,4621.0,0.8618,0.8919
OR,<50,22.0,15.0,0.0132,0.0089
OR,50-60,18.0,16.0,0.0108,0.0095
OR,60-70,25.0,25.0,0.015,0.0148
OR,70-80,59.0,54.0,0.0354,0.032
OR,80-85,85.0,64.0,0.051,0.0379
OR,85-86,19.0,16.0,0.0114,0.0095
OR,86-87,30.0,14.0,0.018,0.0083
OR,87-88,34.0,23.0,0.0204,0.0136
OR,88-89,34.0,27.0,0.0204,0.016
OR,89-90,44.0,38.0,0.0264,0.0225
OR,90-91,61.0,64.0,0.0366,0.0379
OR,91-92,73.0,68.0,0.0438,0.0403
OR,92-93,90.0,86.0,0.054,0.051
OR,93-94,108.0,87.0,0.0648,0.0516
OR,94-95,165.0,144.0,0.099,0.0854
