Facility Number,School Type,School District or Name,Facility Address,County,MMR Vaccination Rate,Age Group
580405977995.0,"Schools, OCFS - 100",BRENTWOOD RESIDENTIAL CENTER,,Suffolk,90.48,All Grades
621801060004.0,Public School,PLATTEKILL ELEM SCHOOL,,Ulster,98.77,All Grades
331500226123.0,Private School,MESILAS BAIS YAAKOV,,Kings,100.0,All Grades
140203806578.0,Private School,CHRISTIAN CENTRAL ACADEMY,,Erie,98.65,All Grades
101300010004.0,Public School,HUDSON JUNIOR HIGH SCHOOL (no lead reporting),,Columbia,100.0,All Grades
353100996532.0,Private School,EDEN II - LITTLE MIRACLES,,Richmond,100.0,All Grades
580404999502.0,Private School,OUR LADY OF GUADALUPE SCHOOL OF LONG ISLAND WEST CAMPUS,,Suffolk,100.0,All Grades
421902040002.0,Public School,TULLY ELEM SCHOOL,,Onondaga,99.4,All Grades
131101996465.0,Private School,MILLBROOK SCHOOL,,Dutchess,99.7,All Grades
680601060002.0,Public School,PENN YAN MIDDLE SCHOOL,,Yates,100.0,All Grades
510401040002.0,Public School,CLIFTON-FINE ELEMENTARY,,St.Lawrence,100.0,All Grades
22401040003.0,Public School,SCIO CENTRAL SCHOOL,,Allegany,100.0,All Grades
662300010044.0,Public School,YONKERS MONTESSORI ACADEMY,,Westchester,100.0,All Grades
580512030021.0,Public School,SOUTH MIDDLE SCHOOL,,Suffolk,99.59,All Grades
480503040001.0,Public School,PUTNAM VALLEY HIGH SCHOOL,,Putnam,100.0,All Grades
610801040002.0,Public School,LANSING HIGH SCHOOL,,Tompkins,100.0,All Grades
140600010310.0,Public School,PS 208 RIVERSIDE ACADEMY (formerly 205),,Erie,99.64,All Grades
500402226280.0,Private School,UNITED TALMUDICAL ACADEMY - 214,,Rockland,100.0,All Grades
580801060016.0,Public School,NESAQUAKE MIDDLE SCHOOL,,Suffolk,100.0,All Grades
331300229955.0,Private School,TALMUD TORAH DNITRA,,Kings,96.97,All Grades
61101040001.0,Public School,HARVEY C FENNER ES,,Chautauqua,91.4,All Grades
430501040004.0,Public School,BLOOMFIELD ELEM SCHOOL,,Ontario,100.0,All Grades
580509030007.0,Public School,PAUL J BELLEW ELEM SCHOOL,,Suffolk,100.0,All Grades
500402996676.0,Private School,GREEN MEADOW WALDORF SCHOOL,,Rockland,99.6,All Grades
280405177211.0,Private School,NOTRE DAME SCHOOL,,Nassau,100.0,All Grades
411800010001.0,Public School,GANSEVOORT SCHOOL,,Oneida,100.0,All Grades
331400227203.0,Private School,BETH RACHEL SCHOOL FOR GIRLS - 82,,Kings,97.65,All Grades
342500998065.0,Private School,PHYLLIS L SUSSER SCHOOL FOR EXCEPTIONAL CHILDREN,,Queens,100.0,All Grades
280201030003.0,Public School,JACKSON MAIN SCHOOL,,Nassau,100.0,All Grades
662200145185.0,Private School,ARCHBISHOP STEPINAC H S,,Westchester,100.0,All Grades
580233175585.0,Private School,OUR LADY QUEEN OF APOSTLES,,Suffolk,100.0,All Grades
280405020001.0,Public School,GARDEN CITY PARK SCHOOL,,Nassau,100.0,All Grades
342400125875.0,Private School,CATHEDRAL PREPARATORY SEMINARY,,Queens,100.0,All Grades
421001060002.0,Public School,FAYETTEVILLE MANLIUS S H S,,Onondaga,99.93,All Grades
120701040000.0,School District,FRANKLIN CENTRAL SCHOOL DISTRICT,,Delaware,98.99,All Grades
250301040002.0,Public School,DERUYTER CENTRAL SCHOOL,,Madison,100.0,All Grades
190701040000.0,School District,GREENVILLE CENTRAL SCHOOL,,Greene,100.0,All Grades
140203060003.0,Public School,MAPLE ES,,Erie,99.83,All Grades
280215226230.0,Private School,SHULAMITH SCHOOL FOR GIRLS,,Nassau,100.0,All Grades
580103030001.0,Public School,BELMONT ELEMENTARY SCHOOL,,Suffolk,100.0,All Grades
610801040001.0,Public School,RAYMOND C BUCKLEY ELEMENTARY SCHOOL,,Tompkins,100.0,All Grades
60401040006.0,Public School,CASSADAGA VALLEY MIDDLE/HS,,Chautauqua,100.0,All Grades
421800010015.0,Public School,HUNTINGTON SCHOOL,,Onondaga,98.92,All Grades
332000226250.0,Private School,CONGREGATION DARKEI AVOS SANZ OF BP,,Kings,97.62,All Grades
400301060000.0,School District,LEWISTON PORTER CENTRAL SCHOOL,,Niagara,99.74,All Grades
140203060005.0,Public School,HEIM ES,,Erie,100.0,All Grades
211701040001.0,Public School,OWEN D YOUNG CENTRAL SCHOOL,,Herkimer,98.73,All Grades
280212030005.0,Public School,MALVERNE S H S,,Nassau,100.0,All Grades
31701060003.0,Public School,C R WEEKS ES,,Broome,100.0,All Grades
