,Facility Number,School Type,School District or Name,County,MMR Vaccination Rate,Age Group,Facility Address
439,52,Private,Cornerstone Christian Academy,Cumberland County,100.0,Kindergarten,
440,370001103553,Public,Cumberland Academy K-5 Virtual School,Cumberland County,73.3,Kindergarten,"800 North Street, Fayetteville, NC 28301"
441,370001100410,Public,Cumberland Mills Elementary,Cumberland County,91.5,Kindergarten,"2576 Hope Mills Road, Fayetteville, NC 28306"
442,370001100411,Public,Cumberland Road Elementary,Cumberland County,88.7,Kindergarten,"2700 Cumberland Road, Fayetteville, NC 28306"
443,370001100412,Public,District No 7 Elementary,Cumberland County,97.5,Kindergarten,"5721 Smithfield Road, Wade, NC 28395"
444,370001102283,Public,E E Miller Elementary,Cumberland County,89.6,Kindergarten,"1361 Rim Road, Fayetteville, NC 28314"
445,370001101391,Public,E Melvin Honeycutt Elementary,Cumberland County,87.6,Kindergarten,"4665 Lakewood Drive, Fayetteville, NC 28306"
446,370001100405,Public,Eastover-Central Elementary,Cumberland County,92.3,Kindergarten,"5174 Dunn Road, Eastover, NC 28312"
447,370001100416,Public,Ed V Baldwin Elementary,Cumberland County,95.8,Kindergarten,"4441 Legion Road, Hope Mills, NC 28348"
448,370001100403,Public,Elizabeth M Cashwell Elementary,Cumberland County,96.0,Kindergarten,"2970 Legion Road, Fayetteville, NC 28306"
449,53,Private,Fayetteville Academy,Cumberland County,94.3,Kindergarten,
450,54,Private,Fayetteville Christian School,Cumberland County,85.7,Kindergarten,
451,370001102125,Public,Ferguson-Easley Elementary,Cumberland County,36.2,Kindergarten,"1857 Seabrook Road, Fayetteville, NC 28301"
452,55,Private,Freedom Christian Academy,Cumberland County,87.2,Kindergarten,
453,370001102513,Public,Gallberry Farm Elementary,Cumberland County,87.3,Kindergarten,"8019 Byerly Drive, Hope Mills, NC 28348"
454,370001102126,Public,Glendale Acres Elementary,Cumberland County,89.8,Kindergarten,"2915 Skycrest Drive, Fayetteville, NC 28304"
455,370001103082,Public,Gray's Creek Elementary,Cumberland County,96.9,Kindergarten,"2964 School Rd, Hope Mills, NC 28348"
456,370001102128,Public,Howard L Hall Elementary,Cumberland County,85.9,Kindergarten,"526 Andrews Road, Fayetteville, NC 28311"
457,370001100409,Public,J W Coon Elementary,Cumberland County,78.1,Kindergarten,"905 Hope Mills Road, Fayetteville, NC 28304"
458,370001100431,Public,J W Seabrook Elementary,Cumberland County,94.0,Kindergarten,"4619 NC Hwy 210 South, Fayetteville, NC 28301"
459,370001102514,Public,Lake Rim Elementary,Cumberland County,88.9,Kindergarten,"1455 Hoke Loop Road, Fayetteville, NC 28314"
460,56,Private,Liberty Christian Academy,Cumberland County,87.5,Kindergarten,
461,370001102120,Public,Loyd E Auman Elementary,Cumberland County,81.5,Kindergarten,"6882 Raeford Road, Fayetteville, NC 28304"
462,370001102129,Public,Lucile Souders Elementary,Cumberland County,91.0,Kindergarten,"128 Hillview Avenue, Fayetteville, NC 28301"
463,370001100424,Public,Manchester Elementary,Cumberland County,87.8,Kindergarten,"611 Spring Avenue, Spring Lake, NC 28390"
464,370001102130,Public,Margaret Willis Elementary,Cumberland County,50.9,Kindergarten,"1412 Belvedere Avenue, Fayetteville, NC 28305"
465,370001100421,Public,Mary McArthur Elementary,Cumberland County,93.8,Kindergarten,"3809 Village Drive, Fayetteville, NC 28304"
466,370001100423,Public,Morganton Road Elementary,Cumberland County,91.4,Kindergarten,"102 Bonanza Drive, Fayetteville, NC 28303"
467,370001103160,Public,New Century International Elementary,Cumberland County,96.2,Kindergarten,"7465 Century Circle, Fayetteville, NC 28306"
468,57,Private,Northwood Temple Academy,Cumberland County,82.9,Kindergarten,
469,370001100427,Public,Ponderosa Elementary,Cumberland County,64.2,Kindergarten,"311 Bonanza Drive, Fayetteville, NC 28303"
470,370001100428,Public,Raleigh Road Elementary,Cumberland County,96.7,Kindergarten,"8330 Ramsey Street, Linden, NC 28356"
471,370001100430,Public,Rockfish Elementary,Cumberland County,94.1,Kindergarten,"5763 Rockfish Road, Hope Mills, NC 28348"
472,370001100434,Public,Sherwood Park Elementary,Cumberland County,93.0,Kindergarten,"2115 Hope Mills Road, Fayetteville, NC 28304"
473,58,Private,St. Ann Catholic School,Cumberland County,94.1,Kindergarten,
474,59,Private,St. Patrick Catholic School,Cumberland County,100.0,Kindergarten,
475,370001100438,Public,Stedman Primary,Cumberland County,92.2,Kindergarten,"155 E First Street, Stedman, NC 28391"
476,370001102575,Public,Stoney Point Elementary,Cumberland County,91.4,Kindergarten,"7411 Rockfish Road, Fayetteville, NC 28306"
477,370001100440,Public,Sunnyside Elementary,Cumberland County,78.8,Kindergarten,"3876 Sunnyside School Road, Fayetteville, NC 28312"
478,60,Private,Village Christian Academy,Cumberland County,97.8,Kindergarten,
479,370001102131,Public,Walker-Spivey Elementary,Cumberland County,80.0,Kindergarten,"500 Fisher Street, Fayetteville, NC 28301"
480,370001100442,Public,Warrenwood Elementary,Cumberland County,75.7,Kindergarten,"4618 Rosehill Road, Fayetteville, NC 28311"
481,370001100443,Public,Westarea Elementary,Cumberland County,89.2,Kindergarten,"941 Country Club Drive, Fayetteville, NC 28301"
482,370001100447,Public,William H Owen Elementary,Cumberland County,85.7,Kindergarten,"4533 Raeford Road, Fayetteville, NC 28304"
483,370001101097,Public,William T Brown Elementary,Cumberland County,91.2,Kindergarten,"2522 Andrews Church Road, Spring Lake, NC 28390"
484,370108000448,Public,Central Elementary,Currituck County,96.8,Kindergarten,"504 Shortcut Road, Barco, NC 27917"
485,370108003039,Public,Jarvisburg Elementary,Currituck County,96.7,Kindergarten,"110 Jarvisburg Rd, Jarvisburg, NC 27947"
486,370108000453,Public,Moyock Elementary,Currituck County,93.4,Kindergarten,"255 Tulls Creek Road, Moyock, NC 27958"
487,370108002374,Public,Shawboro Elementary School,Currituck County,93.9,Kindergarten,"370 Shawboro Road, Shawboro, NC 27973"
488,370108000450,Public,W T Griggs Elementary,Currituck County,100.0,Kindergarten,"261 Poplar Branch Road, Poplar Branch, NC 27965"
489,370111002088,Public,Cape Hatteras Elementary School,Dare County,95.6,Kindergarten,"47500 Middle Ridge, Buxton, NC 27920"
490,370111002290,Public,First Flight Elementary School,Dare County,94.6,Kindergarten,"107 Veterans Drive, Kill Devil Hills, NC 27948"
491,370111000455,Public,Kitty Hawk Elementary School,Dare County,98.2,Kindergarten,"16 Dogwood Trail, Kitty Hawk, NC 27949"
492,370111000456,Public,Manteo Elementary School,Dare County,96.7,Kindergarten,"701 N Hwy 64/264, Manteo, NC 27954"
493,370111002758,Public,Nags Head Elementary School,Dare County,98.6,Kindergarten,"3100 S Wrightsville Avenue, Nags Head, NC 27959"
494,370114002664,Public,Brier Creek Elementary,Davidson County,100.0,Kindergarten,"175 Watford Road, Thomasville, NC 27360"
495,61,Private,Carolina Christian Academy,Davidson County,81.8,Kindergarten,
496,370114000461,Public,Churchland Elementary,Davidson County,100.0,Kindergarten,"7571 S NC Hwy 150, Lexington, NC 27295"
497,370042203448,Charter/Lab,Davidson Charter Academy,Davidson County,97.7,Kindergarten,"500 Biesecker Rd, Lexington, NC 27295"
498,370114000463,Public,Davis-Townsend Elementary,Davidson County,96.6,Kindergarten,"975 Heath Church Road, Lexington, NC 27292"
499,370114000464,Public,Denton Elementary,Davidson County,95.2,Kindergarten,"305 W Salisbury Street, Denton, NC 27239"
500,370114000468,Public,Fair Grove Elementary,Davidson County,98.7,Kindergarten,"217 Cedar Lodge Road, Thomasville, NC 27360"
501,370114002576,Public,Friedberg Elementary,Davidson County,98.8,Kindergarten,"1131 Friedberg Church Road, Winston-Salem, NC 27127"
502,370114002760,Public,Friendship Elementary,Davidson County,97.2,Kindergarten,"1490 Friendship-Ledford Road, Winston-Salem, NC 27107"
503,370114000469,Public,Hasty Elementary,Davidson County,98.4,Kindergarten,"325 Hasty School Road, Thomasville, NC 27360"
504,370114000473,Public,Midway Elementary,Davidson County,96.9,Kindergarten,"318 Midway School Road, Lexington, NC 27295"
505,370114000476,Public,Northwest Elementary,Davidson County,96.0,Kindergarten,"400 Northwest Elementary Road, Lexington, NC 27295"
506,370264001103,Public,Pickett Elementary School,Davidson County,93.3,Kindergarten,"200 Biesecker Road, Lexington, NC 27295"
507,370114000477,Public,Pilot Elementary,Davidson County,98.0,Kindergarten,"145 Pilot School Road, Thomasville, NC 27360"
508,370114000478,Public,Reeds Elementary,Davidson County,100.0,Kindergarten,"791 South NC Hwy 150, Lexington, NC 27295"
509,62,Private,Sheets Memorial Christian School,Davidson County,93.8,Kindergarten,
510,370114000479,Public,Silver Valley Elementary,Davidson County,97.4,Kindergarten,"11161 East Old Hwy 64, Lexington, NC 27292"
511,370264001105,Public,South Lexington School,Davidson County,90.4,Kindergarten,"1000 Cotton Grove Road, Lexington, NC 27292"
512,370114003119,Public,Southmont Elementary,Davidson County,95.5,Kindergarten,"398 Owen Rd, Lexington, NC 27292"
513,370114002036,Public,Southwood Elementary,Davidson County,95.9,Kindergarten,"5850 NC Hwy 8, Lexington, NC 27292"
514,370450000792,Public,Thomasville Primary,Davidson County,94.4,Kindergarten,"915 E Sunrise Avenue, Thomasville, NC 27360"
515,370114003015,Public,Tyro Elementary,Davidson County,93.9,Kindergarten,"450 Cow Palace Rd, Lexington, NC 27295"
516,63,Private,Union Grove Christian School,Davidson County,82.5,Kindergarten,
517,370114000482,Public,Wallburg Elementary,Davidson County,93.3,Kindergarten,"205 Motsinger Road, Winston-Salem, NC 27107"
518,370114000483,Public,Welcome Elementary,Davidson County,94.4,Kindergarten,"5701 Old Hwy 52, Lexington, NC 27295"
519,64,Private,Westchester Country Day School,Davidson County,94.4,Kindergarten,
520,370117000485,Public,Cooleemee Elementary,Davie County,89.5,Kindergarten,"136 Marginal St, Cooleemee, NC 27014"
521,370117002516,Public,Cornatzer Elementary,Davie County,100.0,Kindergarten,"552 Cornatzer Road, Mocksville, NC 27028"
522,370117000487,Public,Mocksville Elementary,Davie County,95.1,Kindergarten,"295 Cemetery St, Mocksville, NC 27028"
523,370117000489,Public,Pinebrook Elementary,Davie County,91.5,Kindergarten,"477 Pinebrook School Rd, Mocksville, NC 27028"
524,370117000490,Public,Shady Grove Elementary,Davie County,97.3,Kindergarten,"3179 Cornatzer Rd, Advance, NC 27006"
525,370117000491,Public,William R Davie Elementary,Davie County,98.2,Kindergarten,"3437 US Hwy 601 N, Mocksville, NC 27028"
526,370120000492,Public,B F Grady Elementary,Duplin County,96.7,Kindergarten,"2627 N NC 11 & 903, Albertson, NC 28508"
527,370120000493,Public,Beulaville Elementary,Duplin County,97.9,Kindergarten,"138 Lyman Road, Beulaville, NC 28518"
528,370120001393,Public,Chinquapin Elementary,Duplin County,100.0,Kindergarten,"3894 NC 50 South, Chinquapin, NC 28521"
529,370120000499,Public,Kenansville Elementary,Duplin County,98.4,Kindergarten,"328 Limestone Rd, Kenansville, NC 28349"
530,370120000501,Public,North Duplin Elementary,Duplin County,99.1,Kindergarten,"157 North Duplin School Road, Mt. Olive, NC 28365"
531,370120000503,Public,Rose Hill-Magnolia Elementary,Duplin County,95.7,Kindergarten,"1329 Brooks Quinn Road, Rose Hill, NC 28458"
532,65,Private,Wallace Christian Academy,Duplin County,100.0,Kindergarten,
533,370120000504,Public,Wallace Elementary,Duplin County,89.7,Kindergarten,"4266 NC 11 S, Wallace, NC 28466"
534,370120000506,Public,Warsaw Elementary,Duplin County,93.8,Kindergarten,"158 Lanefield Road, Warsaw, NC 28398"
535,66,Private,Bethesda Christian Academy,Durham County,84.2,Kindergarten,
536,67,Private,Camelot Academy,Durham County,100.0,Kindergarten,
537,370013002665,Charter/Lab,Central Park School For Children,Durham County,95.5,Kindergarten,"724 Foster Street, Durham, NC 27701"
538,370005402375,Charter/Lab,Community School of Digital & Visual Art,Durham County,73.9,Kindergarten,"1955 West Cornwallis Road, Durham, NC 27705"
539,68,Private,Duke School,Durham County,98.0,Kindergarten,
540,69,Private,Durham Academy,Durham County,100.0,Kindergarten,
541,370002302090,Charter/Lab,Durham Charter School,Durham County,98.8,Kindergarten,"807 West Chapel Hill Street, Durham, NC 27701"
542,370038403355,Charter/Lab,Excelsior Classical Academy,Durham County,90.4,Kindergarten,"4100 N Roxboro Street, Durham, NC 27704"
543,370126000480,Public,Fayetteville Street Elementary,Durham County,52.6,Kindergarten,"2905 Fayetteville Street, Durham, NC 27707"
544,70,Private,Fellowship Baptist Academy,Durham County,66.7,Kindergarten,
545,370031603198,Charter/Lab,Global Scholars Academy,Durham County,87.5,Kindergarten,"311 Dowd St, Durham, NC 27701"
546,71,Private,Gorman Christian Academy,Durham County,94.4,Kindergarten,
547,72,Private,Heritage Leadership Academy - Durham,Durham County,69.2,Kindergarten,
548,73,Private,Immaculata Catholic School,Durham County,100.0,Kindergarten,
549,74,Private,International Montessori School Durham County,Durham County,100.0,Kindergarten,
550,370005502376,Charter/Lab,Kestrel Heights School,Durham County,90.2,Kindergarten,"4700 South Alston Ave., Durham, NC 27713"
551,370038503372,Charter/Lab,KIPP Durham College Preparatory,Durham County,98.4,Kindergarten,"1107 Holloway Street, Durham, NC 27701"
552,75,Private,Liberty Christian School,Durham County,40.9,Kindergarten,
553,370002202089,Charter/Lab,Maureen Joy Charter School,Durham County,97.0,Kindergarten,"107 South Driver Street, Durham, NC 27703"
554,76,Private,Montessori Community School,Durham County,96.2,Kindergarten,
555,77,Private,Montessori School of Durham,Durham County,94.1,Kindergarten,
556,370039803362,Charter/Lab,NC Virtual Academy,Durham County,83.6,Kindergarten,"4220 NC Highway 55, Durham, NC 27713"
557,370008102444,Charter/Lab,Research Triangle Charter,Durham County,100.0,Kindergarten,"2418 Ellis Road, Durham, NC 27703"
558,78,Private,Triangle Day School,Durham County,100.0,Kindergarten,
559,79,Private,Trinity School of Durham & CH,Durham County,94.6,Kindergarten,
560,370013902921,Charter/Lab,Voyager Academy,Durham County,98.1,Kindergarten,"101 Hock Parc Drive, Durham, NC 27704"
561,370132000553,Public,Coker-Wimberly Elementary,Edgecombe County,90.0,Kindergarten,"1619 NC 97 West, Battleboro, NC 27809"
562,370132000551,Public,G W Bulluck Elementary,Edgecombe County,89.7,Kindergarten,"3090 Bulluck School Road, Rocky Mount, NC 27801"
563,370132000552,Public,G W Carver Elementary,Edgecombe County,90.1,Kindergarten,"700 East Hamlet Street, Pinetops, NC 27864"
564,370132003350,Public,Martin Millennium Academy,Edgecombe County,93.1,Kindergarten,"400 E Johnston St, Tarboro, NC 27886"
565,370032303256,Charter/Lab,North East Carolina Prep,Edgecombe County,96.8,Kindergarten,"274 Husky Trail, Tarboro, NC 27886"
566,370132001769,Public,Princeville Elementary,Edgecombe County,89.7,Kindergarten,"306 Walston Street, Tarboro, NC 27886"
567,370132001767,Public,Stocks Elementary,Edgecombe County,80.0,Kindergarten,"400 Hope Lodge Street, Tarboro, NC 27886"
568,370042703457,Charter/Lab,Appalachian Academy at Middle Fork,Forsyth County,100.0,Kindergarten,"3125 Williston Rd, Walkertown, NC 27051"
569,370150002446,Public,Ashley Academy,Forsyth County,87.2,Kindergarten,"1647 Ashley School Circle, Winston-Salem, NC 27105"
570,370150000588,Public,Bolton Elementary,Forsyth County,96.7,Kindergarten,"1250 Bolton Street, Winston Salem, NC 27103"
571,370150000590,Public,Brunson Elementary,Forsyth County,92.7,Kindergarten,"155 N Hawthorne Road, Winston Salem, NC 27104"
572,370150003122,Public,Caleb's Creek Elementary,Forsyth County,95.8,Kindergarten,"1109 Salem Crossing Rd, Kernersville, NC 27284"
573,80,Private,Calvary Day School,Forsyth County,89.5,Kindergarten,
574,370002702112,Charter/Lab,Carter G. Woodson School,Forsyth County,26.7,Kindergarten,"437 Goldfloss Street, Winston-Salem, NC 27127"
575,370150000593,Public,Cash Elementary,Forsyth County,94.8,Kindergarten,"4700 Old Hollow Road, Kernersville, NC 27284"
576,81,Private,Cathedral Oak Academy,Forsyth County,46.7,Kindergarten,
577,370150000595,Public,Clemmons Elementary,Forsyth County,96.7,Kindergarten,"6200 Bingham Avenue, Clemmons, NC 27012"
578,370150002448,Public,Cook Literacy Model School,Forsyth County,78.1,Kindergarten,"920 11th Street NW, Winston-Salem, NC 27105"
579,370150000617,Public,Diggs-Latham Elementary,Forsyth County,94.8,Kindergarten,"986 Hutton Street, Winston Salem, NC 27101"
580,370150000601,Public,Easton Elementary School,Forsyth County,88.6,Kindergarten,"734 E Clemmonsville Road, Winston Salem, NC 27107"
581,370150000603,Public,Forest Park Elementary,Forsyth County,83.1,Kindergarten,"2019 Milford Street, Winston Salem, NC 27107"
582,370008302452,Charter/Lab,Forsyth Academy,Forsyth County,98.9,Kindergarten,"5426 Shattalon Drive, Winston-Salem, NC 27106"
583,82,Private,Forsyth Country Day School,Forsyth County,90.2,Kindergarten,
584,370150003196,Public,Frank Morgan Elementary,Forsyth County,93.7,Kindergarten,"3210 Village Point Drive, Clemmons, NC 27012"
585,370150002578,Public,Gibson Elementary,Forsyth County,88.0,Kindergarten,"2020 Walker Road, Winston-Salem, NC 27106"
586,83,Private,Gospel Light Christian School,Forsyth County,79.4,Kindergarten,
587,370150000605,Public,Griffith Elementary,Forsyth County,95.1,Kindergarten,"1385 W Clemmonsville Road, Winston Salem, NC 27127"
588,370150000607,Public,Hall-Woodward Elementary,Forsyth County,87.8,Kindergarten,"125 Nicholson Road, Winston Salem, NC 27107"
589,370150000610,Public,Ibraham Elementary,Forsyth County,100.0,Kindergarten,"5036 Old Walkertown, Winston Salem, NC 27105"
590,370150000611,Public,Jefferson Elementary,Forsyth County,96.3,Kindergarten,"4000 Jefferson School Lane, Winston-Salem, NC 27106"
591,370150000613,Public,Kernersville Elementary,Forsyth County,88.6,Kindergarten,"512 W Mountain Street, Kernersville, NC 27284"
592,370150000615,Public,Kimberley Park Elementary,Forsyth County,94.4,Kindergarten,"1700 Old Cherry Street, Winston Salem, NC 27105"
593,370150003144,Public,Kimmel Farm Elementary,Forsyth County,97.6,Kindergarten,"4672 Ebert Rd, Winston-Salem, NC 27284"
594,370150000616,Public,Konnoak Elementary,Forsyth County,96.1,Kindergarten,"3200 Renon Road, Winston Salem, NC 27127"
595,370150000618,Public,Lewisville Elementary,Forsyth County,99.0,Kindergarten,"150 Lucy Lane, Lewisville, NC 27023"
596,370150002379,Public,Meadowlark Elementary,Forsyth County,96.6,Kindergarten,"401 Meadowlark Drive, Winston-Salem, NC 27106"
597,370150000620,Public,Mineral Springs Elementary,Forsyth County,92.6,Kindergarten,"4527 Ogburn Avenue, Winston Salem, NC 27105"
598,84,Private,Montessori School of Winston-Salem,Forsyth County,94.7,Kindergarten,
599,370150000622,Public,Moore Magnet Elementary,Forsyth County,100.0,Kindergarten,"451 Knollwood Street, Winston Salem, NC 27103"
600,370034303289,Charter/Lab,NC Leadership Charter Academy,Forsyth County,96.6,Kindergarten,"4353 High Point Rd, Kernersville, NC 27284"
601,370150002091,Public,North Hills Elementary,Forsyth County,95.0,Kindergarten,"340 Alspaugh Drive, Winston-Salem, NC 27105"
602,370150000627,Public,Old Richmond Elementary,Forsyth County,87.9,Kindergarten,"6315 Tobaccoville Road, Tobaccoville, NC 27050"
603,370150000628,Public,Old Town Elementary,Forsyth County,95.3,Kindergarten,"3930 Reynolda Road, Winston Salem, NC 27106"
604,85,Private,Our Lady of Mercy Catholic Sch,Forsyth County,100.0,Kindergarten,
605,370150002451,Public,Petree Elementary,Forsyth County,89.5,Kindergarten,"3815 Old Greensboro Road, Winston-Salem, NC 27101"
606,370150002262,Public,Piney Grove Elementary,Forsyth County,98.1,Kindergarten,"1500 Piney Grove Road, Kernersville, NC 27284"
607,370002502096,Charter/Lab,Quality Education Academy,Forsyth County,77.2,Kindergarten,"5012-D Lansing Drive, Winston-Salem, NC 27105"
608,86,Private,Redeemer School,Forsyth County,92.0,Kindergarten,
609,370150000635,Public,Rural Hall Elementary,Forsyth County,98.7,Kindergarten,"275 College Street, Rural Hall, NC 27045"
610,87,Private,Salem Baptist Christian School,Forsyth County,96.6,Kindergarten,
611,88,Private,Salem Montessori School,Forsyth County,94.4,Kindergarten,
612,370150000636,Public,Sedge Garden Elementary,Forsyth County,92.7,Kindergarten,"475 Sedge Garden Road, Kernersville, NC 27284"
613,370150000637,Public,Sherwood Forest Elementary,Forsyth County,97.1,Kindergarten,"1055 Yorkshire Road, Winston Salem, NC 27106"
614,370150003274,Public,Smith Farm Elementary,Forsyth County,88.1,Kindergarten,"4250 Johnny Knoll Lane, Winston-Salem, NC 27107"
615,370150000639,Public,South Fork Elementary,Forsyth County,52.6,Kindergarten,"4332 Country Club Road, Winston Salem, NC 27104"
616,370150000641,Public,Southwest Elementary,Forsyth County,93.2,Kindergarten,"1631 Southwest School Drive, Clemmons, NC 27012"
617,370150000642,Public,Speas Elementary,Forsyth County,90.8,Kindergarten,"2000 W Polo Road, Winston Salem, NC 27106"
618,89,Private,St. John's Lutheran Day Sch.,Forsyth County,85.7,Kindergarten,
619,90,Private,Summit School,Forsyth County,94.7,Kindergarten,
620,370012602611,Charter/Lab,The Arts Based School,Forsyth County,96.6,Kindergarten,"1380 Martin Luther King Jr Dr, Winston-Salem, NC 27101"
621,370150002293,Public,The Downtown School,Forsyth County,100.0,Kindergarten,"601 N Cherry Street, Winston Salem, NC 27101"
622,91,Private,Triad Baptist Christian Academy,Forsyth County,95.6,Kindergarten,
623,370150000643,Public,Union Cross Traditional Acad,Forsyth County,97.4,Kindergarten,"4300 High Point Road, Kernersville, NC 27284"
624,370150000644,Public,Vienna Elementary,Forsyth County,96.3,Kindergarten,"1975 Chickasha Road, Pfafftown, NC 27040"
625,370150000645,Public,Walkertown Elementary,Forsyth County,99.0,Kindergarten,"2971 Main Street, Walkertown, NC 27051"
626,370150002519,Public,Ward Elementary,Forsyth County,96.6,Kindergarten,"3775 Fraternity Church Road, Winston-Salem, NC 27127"
627,370150000648,Public,Whitaker Elementary,Forsyth County,96.5,Kindergarten,"2600 Buena Vista Road, Winston Salem, NC 27104"
628,92,Private,Winston Salem Christian School,Forsyth County,78.9,Kindergarten,
629,93,Private,Woodland Baptist Chr. Sch.,Forsyth County,95.5,Kindergarten,
630,370153000650,Public,Bunn Elementary,Franklin County,95.1,Kindergarten,"686 Bunn Elem School Road, Bunn, NC 27508"
631,94,Private,Commission Leadership Academy,Franklin County,44.8,Kindergarten,
632,370153000653,Public,Edward Best Elementary,Franklin County,94.9,Kindergarten,"4011 NC 56 Hwy East, Louisburg, NC 27549"
633,370153000660,Public,Franklinton Elementary,Franklin County,90.8,Kindergarten,"431 S Hillsborough St., Franklinton, NC 27525"
634,370153000574,Public,Laurel Mill Elementary,Franklin County,90.6,Kindergarten,"730 Laurel Mill Road, Louisburg, NC 27549"
635,370153003013,Public,Long Mill Elementary,Franklin County,90.2,Kindergarten,"1753 Long Mill Rd, Youngsville, NC 27596"
636,370153000657,Public,Louisburg Elementary,Franklin County,95.9,Kindergarten,"50 Stone Southerland Road, Louisburg, NC 27549"
637,370153002628,Public,Royal Elementary,Franklin County,92.5,Kindergarten,"308 Flat Rock Church Road, Louisburg, NC 27549"
638,370048403629,Charter/Lab,Wake Preparatory Academy,Franklin County,96.8,Kindergarten,"14111 Capital Blvd, Wake Forest, NC 27587"
639,370038703371,Charter/Lab,Youngsville Academy,Franklin County,91.7,Kindergarten,"2045 Hicks Rd, Youngsville, NC 27596"
640,370153000659,Public,Youngsville Elementary,Franklin County,90.1,Kindergarten,"125 US I-A, Youngsville, NC 27596"
641,370162000669,Public,Bessemer City Primary,Gaston County,97.7,Kindergarten,"1320 North 12th Street, Bessemer City, NC 28016"
642,370162001107,Public,Brookside Elementary,Gaston County,96.6,Kindergarten,"1925 Auten Rd., Gastonia, NC 28054"
643,370162000670,Public,Carr Elementary,Gaston County,83.3,Kindergarten,"307 S Pine St, Dallas, NC 28034"
644,370162000671,Public,Catawba Heights Elementary,Gaston County,94.9,Kindergarten,"101 Ivey Street, Belmont, NC 28012"
645,370162000672,Public,Chapel Grove Elementary,Gaston County,95.9,Kindergarten,"5201 Lewis Road, Gastonia, NC 28052"
646,370162000673,Public,Cherryville Elementary,Gaston County,97.9,Kindergarten,"700 East Academy Street, Cherryville, NC 28021"
647,370045203499,Charter/Lab,Community Public Charter,Gaston County,95.7,Kindergarten,"185 Mariposa Road, Stanley, NC 28164"
648,370162000678,Public,Costner Elementary,Gaston County,96.3,Kindergarten,"353 Old 277 Loop Hwy, Dallas, NC 28034"
649,95,Private,Cramerton Christian Academy,Gaston County,90.3,Kindergarten,
650,370162002731,Public,Edward D Sadler Jr  Elementary School,Gaston County,63.8,Kindergarten,"3950 West Franklin Boulevard, Gastonia, NC 28052"
651,96,Private,First Wesleyan Christian School,Gaston County,96.9,Kindergarten,
652,370162000683,Public,Gardner Park Elementary,Gaston County,98.8,Kindergarten,"738 Armstrong Park Road, Gastonia, NC 28054"
653,97,Private,Gaston Christian School,Gaston County,83.5,Kindergarten,
654,98,Private,Gaston Day School,Gaston County,96.6,Kindergarten,
655,370162000710,Public,H H Beam Elementary,Gaston County,86.6,Kindergarten,"200 Davis Park Road, Gastonia, NC 28052"
656,370162003409,Public,Hawks Nest STEAM Academy,Gaston County,96.6,Kindergarten,"3430 Robinwood Rd, Gastonia, NC 28054"
657,370162000706,Public,Ida Rankin Elementary School,Gaston County,94.9,Kindergarten,"301 W Central Avenue, Mount Holly, NC 28120"
658,370162000692,Public,J B Page Primary School,Gaston County,96.0,Kindergarten,"215 Ewing Drive, Belmont, NC 28012"
659,370162000695,Public,Lingerfeldt Elementary,Gaston County,76.2,Kindergarten,"1601 Madison Street, Gastonia, NC 28052"
660,370162000696,Public,Lowell Elementary,Gaston County,98.1,Kindergarten,"1500 Power Drive, Lowell, NC 28098"
661,370162000697,Public,McAdenville Elementary,Gaston County,100.0,Kindergarten,"275 E Wesleyan Drive, McAdenville, NC 28101"
662,370031703184,Charter/Lab,Mountain Island Charter School,Gaston County,91.3,Kindergarten,"13440 Lucia Riverbend Highway, Mt. Holly, NC 28120"
663,370162000700,Public,New Hope Elementary,Gaston County,97.6,Kindergarten,"137 Stowe Road, Gastonia, NC 28056"
664,370162000701,Public,North Belmont Elementary,Gaston County,86.4,Kindergarten,"210 School Street, Belmont, NC 28012"
665,370010402520,Charter/Lab,Piedmont Community Charter School,Gaston County,97.7,Kindergarten,"2596 Robinwood Road, Gastonia, NC 28054"
666,370162000704,Public,Pinewood Elementary,Gaston County,98.5,Kindergarten,"1925 N Main Street, Mount Holly, NC 28120"
667,370162000705,Public,Pleasant Ridge Elementary,Gaston County,84.1,Kindergarten,"1260 Floyd Lane, Gastonia, NC 28052"
668,370045103507,Charter/Lab,Ridgeview Charter School,Gaston County,100.0,Kindergarten,"207 W. Bradley St., Gastonia, NC 28052"
669,370162000708,Public,Robinson Elementary,Gaston County,97.3,Kindergarten,"3122 S Union Road, Gastonia, NC 28056"
670,370162000709,Public,Sherwood Elementary,Gaston County,96.1,Kindergarten,"1744 Dixon Road, Gastonia, NC 28054"
671,370162000685,Public,Springfield Primary,Gaston County,96.3,Kindergarten,"900 S Main Street, Stanley, NC 28164"
672,370162000714,Public,Tryon Elementary,Gaston County,96.7,Kindergarten,"2620 Tryon Courthouse Road, Bessemer City, NC 28016"
673,370162002156,Public,W A Bess Elementary School,Gaston County,95.2,Kindergarten,"4340 Beaty Road, Gastonia, NC 28056"
674,370162000717,Public,Woodhill Elementary,Gaston County,93.9,Kindergarten,"1027 Woodhill Drive, Gastonia, NC 28052"
675,370168000718,Public,Buckland Elementary,Gates County,92.1,Kindergarten,"448 NC 37 North, Gates, NC 27937"
676,370168000721,Public,Gatesville Elementary,Gates County,100.0,Kindergarten,"709 North Main Street, Gatesville, NC 27938"
677,370168000723,Public,T S Cooper Elementary,Gates County,95.7,Kindergarten,"237 NC 32 South, Sunbury, NC 27979"
