Facility Number,School Type,School District or Name,County,Facility Address,MMR Vaccination Rate,Age Group
,Private,A Childs Choice Montessori School,Ada,1657 S. Woodsage Ave.,58.82,Kindergarten
,Public,A.B. MCDONALD ELEMENTARY SCHOOL,Latah,2323 East D Street,92.5,Kindergarten
,Public,A.H. BUSH ELEMENTARY SCHOOL,Bonneville,380 West Anderson,97.56,Kindergarten
,Public,A.J. WINTERS ELEMENTARY SCHOOL,Bear Lake,535 CLAY ST,95.92,Kindergarten
,Public,A.W. JOHNSON ELEMENTARY SCHOOL,Bingham,735 North 600 East,74.47,Kindergarten
,Public,ABERDEEN ELEMENTARY SCHOOL,Bingham,"382 W. Washington, PO Box 610",82.35,Kindergarten
,Public,ACEQUIA ELEMENTARY SCHOOL,Minidoka,360 N 350 E,93.18,Kindergarten
,Private,ACORN LEARNING CENTER,Twin Falls,493 Eastland Dr.,77.78,Kindergarten
,Public,ADAMS ELEMENTARY SCHOOL - BOISE,Ada,1725 E. Warm Springs Ave.,86.96,Kindergarten
,Public,ADAMS ELEMENTARY SCHOOL - REXBURG,Madison,110 N 2nd E,79.59,Kindergarten
,Private,ALL SAINTS CATHOLIC SCHOOL,Nez Perce,3326 14th St.,95.65,Kindergarten
,Public,ALTURAS ELEMENTARY SCHOOL,Blaine,1111 ALTURAS LANE,75.76,Kindergarten
,Charter,ALTURAS INTERNATIONAL ACADEMY,Bonneville,151 N. Ridge Ave.,92.71,Kindergarten
,Charter,AMERICAN HERITAGE CHARTER SCHOOL,Bonneville,1736 S 35TH W,82,Kindergarten
,Public,AMITY ELEMENTARY SCHOOL,Ada,10000 W Amity Road,88.1,Kindergarten
,Public,AMMON ELEMENTARY SCHOOL,Bonneville,2900 Central Ave,94.29,Kindergarten
,Charter,ANSER CHARTER SCHOOL,Ada,202 E 42nd St,87.72,Kindergarten
,Public,ARCO ELEMENTARY SCHOOL,Butte,250 South Water Street,70.83,Kindergarten
,Public,ASHTON ELEMENTARY SCHOOL,Fremont,168 S 1st Street,83.33,Kindergarten
,Public,ATHOL ELEMENTARY SCHOOL,Kootenai,6333 E. Menser Ave,91.3,Kindergarten
,Public,ATLAS ELEMENTARY SCHOOL,Kootenai,3000 W. Honeysuckle Ave,71.88,Kindergarten
,Public,BARBARA MORGAN STEM ACADEMY,Ada,1825 Chateau Drive,87.88,Kindergarten
,Public,BARBARA R. MORGAN ELEMENTARY SCHOOL,Valley,125 N Samson Trail,93.1,Kindergarten
,Public,BASIN ELEMENTARY SCHOOL,Boise,101 Elk Creek Road,62.5,Kindergarten
,Private,BEACON CHRISTIAN SCHOOL,Nez Perce,615 Stewart Avenue,66.67,Kindergarten
,Public,BELLEVUE ELEMENTARY SCHOOL,Blaine,305 N 5th St.,85.19,Kindergarten
,Public,BETTY KIEFER ELEMENTARY SCHOOL,Kootenai,13898 schooner street,88,Kindergarten
,Public,BICKEL ELEMENTARY SCHOOL,Twin Falls,607 2nd Ave E,91.18,Kindergarten
,Public,BIRCH ELEMENTARY SCHOOL,Canyon,6900 Birch Lane,80,Kindergarten
,Public,BLACK CANYON ELEMENTARY,Caribou,605 S. 4th W PO Box 347,84.62,Kindergarten
,Charter,BLACKFOOT CHARTER COMMUNITY LEARNING CENTER,Bingham,92 North 415 West,86,Kindergarten
,Public,BLISS SCHOOL,Gooding,PO Box 115,88.89,Kindergarten
,Private,BOISE VALLEY ADVENTIST SCHOOL,Ada,925 N. Cloverdale Rd.,66.67,Kindergarten
,Online,BONNEVILLE ONLINE ELEMENTARY SCHOOL,Online,2017 E 49th N,55.56,Kindergarten
,Public,BORAH ELEMENTARY SCHOOL,Kootenai,632 E Borah Ave,71.43,Kindergarten
,Public,BOVILL ELEMENTARY SCHOOL,Latah,410 3rd Avenue,63.64,Kindergarten
,Public,BRIDGEWATER ELEMENTARY SCHOOL,Bonneville,1499 Indian Hollow Drive,87.72,Kindergarten
,Public,BRYAN ELEMENTARY SCHOOL,Kootenai,802 Harrison Avenue,90.63,Kindergarten
,Public,BURTON ELEMENTARY SCHOOL,Madison,2211 W 1000 S,86.49,Kindergarten
,Public,BUTTE COUNTY SECONDARY SCHOOL,Butte,120 South Water Street,70.83,Kindergarten
,Public,BUTTE VIEW ELEMENTARY,Gem,400 S. Pine St.,87.76,Kindergarten
,Private,CALVARY CHRISTIAN ACADEMY,Gem,498 W. Idaho Blvd.,50,Kindergarten
,Private,CALVARY CHRISTIAN SCHOOL - BOISE,Ada,111 Auto Drive,58.33,Kindergarten
,Private,CALVARY CHRISTIAN SCHOOL - NAMPA,Canyon,1210 N. Middleton Rd.,7.14,Kindergarten
,Public,Camas County School,Camas,610 Soldier Road,100,Kindergarten
,Public,CAMBRIDGE ELEMENTARY SCHOOL,Washington,455 Hopper Ave.,45.45,Kindergarten
,Public,CAMELOT ELEMENTARY SCHOOL,Nez Perce,1903 Grelle Ave,87.5,Kindergarten
,Public,CANYON ELEMENTARY SCIENCE MAGNET SCHOOL,Kootenai,East 27491 School House Loop,68,Kindergarten
,Private,CANYONSIDE CHRISTIAN SCHOOL,Jerome,820 East Nez Perce,87.5,Kindergarten
,Public,CAREY PUBLIC SCHOOL,Blaine,22 PANTHER LANE,92.86,Kindergarten
,Public,CASCADE DISTRICT SCHOOL,Valley,P. O. Box 291,63.16,Kindergarten
,Public,CASTLEFORD SCHOOL,Twin Falls,500 Main Street,76.47,Kindergarten
,Public,CAVENDISH-TEAKEAN ELEMENTARY SCHOOL,Nez Perce,455 Middle Road,66.67,Kindergarten
,Public,CECIL D ANDRUS ELEMENTARY SCHOOL,Ada,6100 N. Meadow Park Way,87.5,Kindergarten
,Private,CENTENNIAL BAPTIST SCHOOL,Canyon,3610 E. Ustick Rd,44,Kindergarten
,Public,CENTENNIAL ELEMENTARY SCHOOL-LEWISTON,Nez Perce,815 Burrell Ave.,96.23,Kindergarten
,Public,CENTENNIAL ELEMENTARY SCHOOL-NAMPA,Canyon,522 Mason Lane,75.47,Kindergarten
,Public,CENTRAL CANYON ELEMENTARY SCHOOL,Canyon,16437 S. Florida Ave,85.85,Kindergarten
,Public,CENTRAL ELEMENTARY SCHOOL-NAMPA,Canyon,1415 5th St. S.,78.95,Kindergarten
,Public,CENTRAL ELEMENTARY SCHOOL-SUGAR CITY,Madison,102 N Park Ave  PO Box 239,81.4,Kindergarten
,Private,CHALLENGER SCHOOL - BLOOM ST,Ada,5551 W. Bloom St.,77.78,Kindergarten
,Private,CHALLENGER SCHOOL - EVEREST,Ada,2020 West Everest Lane,71.88,Kindergarten
,Public,CHALLIS ELEMENTARY SCHOOL,Custer,1000 BLUFF AVE,90,Kindergarten
,Public,CHAPARRAL ELEMENTARY SCHOOL,Ada,1155 Deer Creek,91.76,Kindergarten
,Public,CHIEF JOSEPH ELEMENTARY SCHOOL,Ada,1100 East Chateau Dr,83.72,Kindergarten
,Charter,CHIEF TAHGEE ELEMENTARY ACADEMY,Bannock,34 S Hiline ,80,Kindergarten
,Private,CHRISTIAN CENTER SCHOOL,Kootenai,3639 W Prairie Ave,50,Kindergarten
,Public,CHRISTINE DONNELL SCHOOL OF THE ARTS,Ada,7075 S. Five Mile,83.95,Kindergarten
,Public,CHUBBUCK ELEMENTARY SCHOOL,Bannock,600 W Chastain Dr,95.59,Kindergarten
,Private,CITYHOPE SCHOOLS,Ada,8650 W. Fairview Ave,42.86,Kindergarten
,Private,CLASSICAL CHRISTIAN ACADEMY,Kootenai,6068 W. Hayden Ave.,33.33,Kindergarten
,Public,CLAUDE A. WILCOX ELEMENTARY SCHOOL,Bannock,427 Lark Lane,85.88,Kindergarten
,Public,CLEARWATER VALLEY ELEMENTARY SCHOOL,Idaho,306 East Pine Street,72.22,Kindergarten
,Private,CLOVER TRINITY LUTHERAN,Twin Falls, 3552 N. 1825 E.,50,Kindergarten
,Public,CLOVERDALE ELEMENTARY SCHOOL,Bonneville,3999 Greenwillow Lane,94.92,Kindergarten
,Private,COLE VALLEY CHRISTIAN - ELEMENTARY,Ada,8775 Ustick Road,61.54,Kindergarten
,Public,COLLISTER ELEMENTARY SCHOOL,Ada,300 W Fort St,100,Kindergarten
,Private,COMMUNITY SCHOOL,Blaine,"One Community School Drive, PO Box 2118",78.57,Kindergarten
,Charter,COMPASS CHARTER SCHOOL,Ada,4667 W. Aviator St.,73.4,Kindergarten
,Charter,CONNOR ACADEMY,Bannock,1295 Alpine Ave,83.33,Kindergarten
,Private,CORNERSTONE CHRISTIAN ACADEMY,Kootenai,810 N Chase Road,50,Kindergarten
,Private,CORNERSTONE CHRISTIAN SCHOOL - LEWISTON,Nez Perce,1700 8th St.,69.23,Kindergarten
,Public,Cottonwood Elementary,Jefferson,3955 E 200 N,90.1,Kindergarten
,Public,COUNCIL ELEMENTARY SCHOOL,Adams,202 Michigan Ave.,50,Kindergarten
,Public,CRIMSON POINT ELEMENTARY SCHOOL,Ada,1941 N. Shayla Ave,85.51,Kindergarten
,Public,CULDESAC SCHOOL,Nez Perce,600 Culdesac Ave,91.67,Kindergarten
,Public,CYNTHIA MANN ELEMENTARY,Ada,5401 w Castle,96.55,Kindergarten
,Public,Dallas Harris Elementary,Ada,3302 S Barnside Way,90.63,Kindergarten
,Public,DALTON GARDENS ELEMENTARY SCHOOL,Kootenai,6335 N Mt. Carroll Street,84.44,Kindergarten
,Public,Dean Goodsell Elementary,Bingham,185 W Center St,91.12,Kindergarten
,Public,DECLO ELEMENTARY SCHOOL,Cassia,120 E Main St,82.93,Kindergarten
,Public,DESERT SAGE ELEMENTARY SCHOOL,Ada,9325 W Mossywood Dr.,83.78,Kindergarten
,Public,DESERT SPRINGS ELEMENTARY SCHOOL,Canyon,18178 Santa Ana Ave,89,Kindergarten
,Public,DIETRICH SCHOOL,Lincoln,406 N. Park,81.82,Kindergarten
,Private,DISCOVERY CHRISTIAN DAY SCHOOL,Kootenai,108 E Indiana Ave,83.33,Kindergarten
,Public,DISCOVERY ELEMENTARY SCHOOL - IDAHO FALLS,Bonneville,2935 N Golden Rod Dr,90.72,Kindergarten
,Public,DISCOVERY ELEMENTARY SCHOOL - MERIDIAN,Ada,2100 E. Leighfield Dr.,79.17,Kindergarten
,Public,DONALD D STALKER ELEMENTARY SCHOOL,Bingham,991 West Center,93.94,Kindergarten
,Public,DONNELLY ELEMENTARY SCHOOL,Valley,327 E Roseberry,75,Kindergarten
,Public,DORA ERICKSON ELEMENTARY SCHOOL,Bonneville,940 Garfield Street,92.45,Kindergarten
,Public,DOWNEY ELEMENTARY SCHOOL,Bannock,88 S. 4th E.,81.25,Kindergarten
,Public,DRIGGS ELEMENTARY SCHOOL,Teton,265 LeGrand Pierre ,56.06,Kindergarten
,Public,DWORSHAK ELEMENTARY SCHOOL,Cassia,102 E 19th Street,89.47,Kindergarten
,Private,EAGLE ADVENTIST CHRISTIAN SCHOOL,Ada,538 W. State St.,85.71,Kindergarten
,Public,EAGLE ELEMENTARY SCHOOL OF THE ARTS,Ada,475 North Eagle Road,85.71,Kindergarten
,Public,EAGLE HILLS ELEMENTARY SCHOOL,Ada,650 E. Ranch Drive,77.78,Kindergarten
,Public,EAST CANYON ELEMENTARY SCHOOL,Canyon,18408 Northside Blvd,80.23,Kindergarten
,Public,EAST ELEMENTARY SCHOOL,Elmore,775 N 10th E,86.76,Kindergarten
,Public,EDAHOW ELEMENTARY SCHOOL,Bannock,2020 Pocatello Creek Road,88.89,Kindergarten
,Public,EDGEMONT GARDENS ELEMENTARY SCHOOL,Bonneville,1240 Azalea Drive,94.59,Kindergarten
,Public,ENDEAVOR ELEMENTARY SCHOOL,Canyon,2824 E Victory Rd,74.67,Kindergarten
,Public,ERNEST HEMINGWAY STEAM SCHOOL,Blaine,111 8th St W,84.09,Kindergarten
,Public,ETHEL BOYES ELEMENTARY SCHOOL,Bonneville,1875 BRENTWOOD DR,87.3,Kindergarten
,Public,FAIRVIEW ELEMENTARY SCHOOL,Bonneville,979 E 97th North,91.89,Kindergarten
,Charter,FALCON RIDGE PUBLIC CHARTER SCHOOL,Ada,278 S. Ten Mile Rd,75,Kindergarten
,Public,FALLS VALLEY ELEMENTARY SCHOOL,Bonneville,2455 Virlow Drive,88.89,Kindergarten
,Public,FARMIN-STIDWELL ELEMENTARY SCHOOL,Bonner,1626 Spruce St,73.44,Kindergarten
,Public,FERNAN ELEMENTARY SCHOOL,Kootenai,520 North 21st Street,82.98,Kindergarten
,Public,FILER ELEMENTARY SCHOOL,Twin Falls,700 Stevens Ave.,71.08,Kindergarten
,Private,FOOTHILLS SCHOOL OF ARTS AND SCIENCES,Ada,601 S. 9th St,81.25,Kindergarten
,Charter,Forge International School,Canyon,208 S. Hartley Lane,78.95,Kindergarten
,Public,FORT HALL ELEMENTARY SCHOOL,Bannock,1415 B Avenue,100,Kindergarten
,Public,FOXHOLLOW ELEMENTARY SCHOOL,Bonneville,2365 Genevieve,93.75,Kindergarten
,Public,FRONTIER ELEMENTARY SCHOOL,Ada,11851 Musket Dr,97.3,Kindergarten
,Public,FRUITLAND ELEMENTARY SCHOOL,Payette,1100 N Pennsylvania,88.79,Kindergarten
,Charter,Future Public Charter School,Ada,511 E 43rd Street,81.82,Kindergarten
,Public,GALILEO STEM ACADEMY,Ada,4735 W. Saguaro Drive,85.71,Kindergarten
,Public,Garden Valley School,Boise,1053 Banks Lowman Rd,50,Kindergarten
,Public,GARFIELD ELEMENTARY SCHOOL,Ada,1914 S. Broadway Ave,92.11,Kindergarten
,Public,GARWOOD ELEMENTARY SCHOOL,Kootenai,"17506 Ramsey Rd., P.O. box 990",68.52,Kindergarten
,Public,GATE CITY ELEMENTARY SCHOOL,Bannock,2288 Hiskey Dr.,84.21,Kindergarten
,Charter,GEM PREP MERIDIAN,Ada,2750 E Gala St,77.36,Kindergarten
,Charter,Gem Prep Meridian North,Ada,5390 N McDermott Road,76.92,Kindergarten
,Charter,Gem Prep Meridian South,Ada,1925 E Lake Hazel,80.77,Kindergarten
,Charter,GEM PREP NAMPA,Canyon,310 W. Iowa Ave.,83.93,Kindergarten
,Online,Gem Prep Online,Online,2750 E Gala St,50,Kindergarten
,Charter,GEM PREP POCATELLO SCHOOL,Bannock,4145 Yellowstone Ave,92.31,Kindergarten
,Charter,Gem Prep Twin Falls,Twin Falls,151 federation rd,89.58,Kindergarten
,Public,GENESEE SCHOOLS,Latah,330 W Ash Street,81.82,Kindergarten
,Private,GENESIS PREPARATORY ACADEMY,Kootenai,1866 N Cecil Rd Bldg RLM2,45,Kindergarten
,Public,GEORGETOWN ELEMENTARY SCHOOL,Bear Lake,142 Stringtown Rd.,100,Kindergarten
,Public,GLENNS FERRY ELEMENTARY SCHOOL,Elmore,639 North Bannock,53.85,Kindergarten
,Public,GOODING ELEMENTARY SCHOOL,Gooding,1045 7th Ave. W,77.14,Kindergarten
,Public,GOODING MIDDLE SCHOOL,Gooding,1047 7th Ave. W,77.14,Kindergarten
,Public,GRACE JORDAN ELEMENTARY SCHOOL,Ada,6411 Fairfield Ave,93.33,Kindergarten
,Private,GRACE LUTHERAN SCHOOL,Bannock,1350 BALDY AVE,94.34,Kindergarten
,Public,GRAND VIEW ELEMENTARY,Owyhee,205 1st street,88.24,Kindergarten
,Public,GRANGEVILLE ELEMENTARY & MIDDLE SCHOOL,Idaho,400 South Idaho Avenue,70.37,Kindergarten
,Public,GREENACRES ELEMENTARY SCHOOL,Bannock,1250 East Oak Street,86.36,Kindergarten
,Public,GREENHURST ELEMENTARY SCHOOL,Canyon,1701 Discovery Place,90,Kindergarten
,Private,GREENLEAF FRIENDS ACADEMY,Canyon,20565 Academy Rd.,54.55,Kindergarten
,Public,GREENSFERRY ELEMENTARY SCHOOL,Kootenai,1520 N. Bunting Ln,72.06,Kindergarten
,Public,GROVELAND ELEMENTARY SCHOOL,Bingham,375 W 170 N,81.48,Kindergarten
,Public,HAGERMAN ELEMENTARY SCHOOL,Gooding,324 North 2nd Ave,80.95,Kindergarten
,Public,HAILEY ELEMENTARY SCHOOL,Blaine,520 S. 1ST AVE,70.73,Kindergarten
,Public,HAMER ELEMENTARY SCHOOL,Jefferson,2450 E. 2100 N.,100,Kindergarten
,Public,HANSEN ELEMENTARY SCHOOL,Twin Falls,350 Walnut Ave.,92,Kindergarten
,Public,HAROLD B. LEE ELEMENTARY SCHOOL,Franklin,4726 W Hwy 36,69.57,Kindergarten
,Public,HARRISON ELEMENTARY SCHOOL - TWIN FALLS,Twin Falls,600 Harrison St,81.67,Kindergarten
,Public,HARRISON ELEMENTARY SCHOOL- HARRISON,Kootenai,13030E O'Gara,42.86,Kindergarten
,Public,HARWOOD ELEMENTARY SCHOOL,Jefferson,200 W 3 N,81.33,Kindergarten
,Public,HAWTHORNE ELEMENTARY SCHOOL - BOISE,Ada,2401 W. Targee St. ,88,Kindergarten
,Public,HAWTHORNE ELEMENTARY SCHOOL - IDAHO FALLS,Bonneville,1520 S. Blvd,88.24,Kindergarten
,Charter,HAYDEN CANYON CHARTER,Kootenai,13590 N Government Way,52.7,Kindergarten
,Public,HAYDEN MEADOWS ELEMENTARY SCHOOL,Kootenai,900 E. Hayden Ave,70.49,Kindergarten
,Public,HENRY'S FORK ELEMENTARY SCHOOL,Fremont,425 N 3 W,83.75,Kindergarten
,Charter,HERITAGE ACADEMY,Jerome,500 S Lincoln Ave,94.44,Kindergarten
,Charter,HERITAGE COMMUNITY CHARTER SCHOOL,Canyon,1803 East Ustick Road,91.53,Kindergarten
,Public,HEYBURN ELEMENTARY SCHOOL - MINIDOKA,Minidoka,1151 7th Street,86.02,Kindergarten
,Public,HEYBURN ELEMENTARY SCHOOL - ST MARIES,Benewah,1405 Main St.,73.47,Kindergarten
,Public,HIBBARD ELEMENTARY SCHOOL,Madison,2413 N 3000 W,66.67,Kindergarten
,Public,HIDDEN SPRINGS ELEMENTARY SCHOOL,Ada,5480 W Hidden Springs Dr,68.18,Kindergarten
,Public,HIGHLAND SCHOOLS,Lewis,PO Box 130; 112 Blvd St,85.71,Kindergarten
,Public,HIGHLANDS ELEMENTARY SCHOOL,Ada,3434 N Bogus Basin Rd,91.3,Kindergarten
,Public,HILLCREST ELEMENTARY SCHOOL - AMERICAN FALLS,Power,1045 Bennett Ave,92.22,Kindergarten
,Public,HILLCREST ELEMENTARY SCHOOL - BOISE,Ada,2045  S Pond St.,87.18,Kindergarten
,Public,HILLSDALE ELEMENTARY,Ada,5225 S. Stockenham Way,91.45,Kindergarten
,Private,HILLSIDE ACADEMY,Ada,3900 HILL RD,100,Kindergarten
,Public,HILLVIEW ELEMENTARY SCHOOL,Bonneville,3075 Teton,87.27,Kindergarten
,Public,HOLLISTER ELEMENTARY SCHOOL,Twin Falls,2463 Contact Ave.,72.73,Kindergarten
,Private,HOLY FAMILY CATHOLIC SCHOOL,Kootenai,3005 W. Kathleen,70.83,Kindergarten
,Private,HOLY ROSARY BI-PARISH SCHOOL,Bonneville,161 9th St,100,Kindergarten
,Private,HOLY SPIRIT CATHOLIC SCHOOL,Bannock,540 N 7th Ave,75,Kindergarten
,Public,HOMEDALE ELEMENTARY SCHOOL,Owyhee,420 W Washington Ave,70.41,Kindergarten
,Public,HOPE ELEMENTARY SCHOOL,Bonner,255 Hope School Road,66.67,Kindergarten
,Private,HOPE LUTHERAN SCHOOL,Bonneville,2071 12th Street,55.56,Kindergarten
,Public,HORIZON ELEMENTARY SCHOOL - BOISE,Ada,730 N. Mitchell St,87.23,Kindergarten
,Public,HORIZON ELEMENTARY SCHOOL - JEROME,Jerome,934 10th Avenue East,89.55,Kindergarten
,Public,HORSESHOE BEND ELEMENTARY,Boise,398 School Drive,41.67,Kindergarten
,Private,HOUSE OF THE LORD CHRISTIAN ACADEMY,Bonner,754 Silver Birch Lane,27.27,Kindergarten
,Public,HOWARD THIRKILL ELEMENTARY SCHOOL,Caribou,60 E 4th S,92.41,Kindergarten
,Public,HUBBARD ELEMENTARY SCHOOL,Ada,311 Porter Rd,83.02,Kindergarten
,Public,HUNTER ELEMENTARY SCHOOL,Ada,2051 West McMillan Rd,85.25,Kindergarten
,Public,I.B. PERRINE ELEMENTARY SCHOOL,Twin Falls,452 Caswell Ave W,75,Kindergarten
,Public,I.T. STODDARD ELEMENTARY SCHOOL,Bingham,460 York Dr.,86.27,Kindergarten
,Charter,IDAHO ARTS CHARTER SCHOOL,Canyon,1220 5th Street North,85,Kindergarten
,Public,IDAHO HILL ELEMENTARY SCHOOL,Bonner,402 E 3RD STREET S,80.95,Kindergarten
,Charter,IDAHO SCIENCE & TECHNOLOGY CHARTER SCHOOL,Bingham,21 N 550 W,81.25,Kindergarten
,Public,IDAHO VIRTUAL ACADEMY,Ada,"1965 S. Eagle Road, Suite 190",87.69,Kindergarten
,Public,IHLA (Idaho Home Learning Academy),Online,195 S 300 E,27.99,Kindergarten
,Private,IMMACULATE CONCEPTION ACADEMY,Kootenai,614 East 5th Ave.,17.65,Kindergarten
,Private,IMMANUEL LUTHERAN SCHOOL,Twin Falls,2055 Filer Ave E,89.19,Kindergarten
,Public,INDIAN CREEK ELEMENTARY,Ada,911 W 4th St,74.36,Kindergarten
,Public,INDIAN HILLS ELEMENTARY SCHOOL,Bannock,666 Cheyenne Ave,93.22,Kindergarten
,Public,INKOM ELEMENTARY SCHOOL,Bannock,300 Hostein Street,57.69,Kindergarten
,Private,INNOVATE ACADEMY AND PREPARATORY SCHOOL,Ada,3467 W. Flint Drive,33.33,Kindergarten
,Charter,INSPIRE CONNECTIONS ACADEMY,Ada,9550 Bethel Court,64.1,Kindergarten
,Public,IONA ELEMENTARY SCHOOL,Bonneville,5338 Owens Ave,95.31,Kindergarten
,Public,IOWA ELEMENTARY SCHOOL,Canyon,626 West Iowa Avenue,72.34,Kindergarten
,Public,JEFFERSON ELEMENTARY SCHOOL - BOISE,Ada,200 S. Latah St,95.65,Kindergarten
,Public,JEFFERSON ELEMENTARY SCHOOL - JEROME,Jerome,600 North Fillmore Street,86,Kindergarten
,Public,JEFFERSON ELEMENTARY SCHOOL - POCATELLO,Bannock,1455 Gwen Dr,88.68,Kindergarten
,Public,JEFFERSON ELEMENTARY SCHOOL - RIGBY,Jefferson,306 N 3700 E,80,Kindergarten
,Public,JOHN BROWN ELEMENTARY SCHOOL,Kootenai,15574 Washington Ave.,80,Kindergarten
,Public,JOHN V EVANS ELEMENTARY SCHOOL,Cassia,3000 Parke Ave,91.18,Kindergarten
,Public,JOPLIN ELEMENTARY SCHOOL,Ada,12081 W. DeMeyer St.,86.67,Kindergarten
,Public,JULIAETTA ELEMENTARY SCHOOL,Latah,305 4th Street,75,Kindergarten
,Public,KAMIAH ELEMENTARY SCHOOL,Lewis,805 9th street,69.7,Kindergarten
,Public,KENNEDY ELEMENTARY SCHOOL,Madison,60 South 5th West,88.51,Kindergarten
,Public,KENNETH J. CARBERRY ELEMENTARY SCHOOL,Gem,1950 E. 12th Street,74.47,Kindergarten
,Public,KIMBERLY ELEMENTARY SCHOOL,Twin Falls,141 Center St E,90.32,Kindergarten
,Public,KOELSCH ELEMENTARY SCHOOL,Ada,2015 N Curtis Rd,79.17,Kindergarten
,Charter,Kootenai Classical Academy,Kootenai,4318 N Fennecus,38.89,Kindergarten
,Public,KOOTENAI ELEMENTARY SCHOOL,Bonner,301 Sprague Street,75.61,Kindergarten
,Private,LAKE CITY JR ACADEMY,Kootenai,125 E Locust Ave,100,Kindergarten
,Public,LAKE HAZEL ELEMENTARY SCHOOL,Ada,11711 W Lake Hazel Elementary,93.33,Kindergarten
,Public,LAKE RIDGE ELEMENTARY SCHOOL,Canyon,615 Burke Lane,82.81,Kindergarten
,Public,LAKESIDE ELEMENTARY SCHOOL,Benewah,1345 E St.,81.82,Kindergarten
,Public,LAKEVUE ELEMENTARY SCHOOL,Canyon,12843 Cirrus Drive,83.9,Kindergarten
,Private,LAKEWOOD MONTESSORI,Ada,133 e. Linden St.,100,Kindergarten
,Public,LAPWAI ELEMENTARY SCHOOL,Nez Perce,170 Agency Road,65,Kindergarten
,Public,LAVA ELEMENTARY SCHOOL,Bannock,249 West Fife,100,Kindergarten
,Public,LEADORE SCHOOL,Lemhi,111 S. 3rd Street,42.86,Kindergarten
,Charter,LEGACY CHARTER SCHOOL,Canyon,4015 S. Legacy Way,70.83,Kindergarten
,Public,LENA WHITMORE ELEMENTARY SCHOOL,Latah,110 S. Blaine St,95.45,Kindergarten
,Public,LEWIS AND CLARK ELEMENTARY SCHOOL - CALDWELL,Canyon,1102 Laster St.,87.88,Kindergarten
,Public,LEWIS AND CLARK ELEMENTARY SCHOOL - POCATELLO,Bannock,800 Grace Dr,89.04,Kindergarten
,Charter,LIBERTY CHARTER SCHOOL,Canyon,9955 KRIS JENSEN LN,70.83,Kindergarten
,Public,LIBERTY ELEMENTARY SCHOOL,Ada,1740 E Bergeson,89.09,Kindergarten
,Private,LIGHTHOUSE CHRISTIAN SCHOOL,Twin Falls,960 Eastland Drive,71.43,Kindergarten
,Public,LINCOLN ELEMENTARY SCHOOL - CALDWELL,Canyon,1200 grant st,80,Kindergarten
,Public,LINCOLN ELEMENTARY SCHOOL - REXBURG,Madison,358 E 2nd S,91.03,Kindergarten
,Public,LINCOLN ELEMENTARY SCHOOL - TWIN FALLS,Twin Falls,238 Buhl St N,57.75,Kindergarten
,Public,LINDEN PARK ELEMENTARY SCHOOL,Bonneville,1305 9th Street,82.43,Kindergarten
,Public,LINDY ROSS ELEMENTARY SCHOOL,Clark,526 South Oakley,83.33,Kindergarten
,Private,LITTLE PEOPLES ACADEMY,Bonneville,543 N Ridge Ave,95.83,Kindergarten
,Private,LOGOS SCHOOL,Latah,110 Baker Street,44,Kindergarten
,Public,LONGFELLOW ELEMENTARY SCHOOL - BOISE,Ada,1511 N 9th Street,97.14,Kindergarten
,Public,LONGFELLOW ELEMENTARY SCHOOL - IDAHO FALLS,Bonneville,2500 S Higbee Ave,89.47,Kindergarten
,Public,LOWELL ELEMENTARY SCHOOL,ADA,1507 N. 28th,92,Kindergarten
,Public,MACKAY ELEMENTARY SCHOOL,Custer,400 E. Spruce Street,71.43,Kindergarten
,Public,MALAD ELEMENTARY SCHOOL,Oneida,250 W 400 N,92.65,Kindergarten
,Public,MAPLE GROVE ELEMENTARY SCHOOL,Ada,2800 S. Maple Grove Road,94.59,Kindergarten
,Public,MARSING ELEMENTARY SCHOOL,Owyhee,207 8th Ave W,73.91,Kindergarten
,Public,MARY MCPHERSON ELEMENTARY SCHOOL,Ada,1050 E Amity Rd,81.97,Kindergarten
,Public,MAXINE JOHNSON ELEMENTARY SCHOOL,Canyon,607 E. McConnell St.,87.88,Kindergarten
,Public,MCGHEE ELEMENTARY SCHOOL,Nez Perce,636 Warner Ave,92.68,Kindergarten
,Public,MCMILLAN ELEMENTARY SCHOOL,Ada,10901 McMillan Road,85.71,Kindergarten
,Public,MCSORLEY ELEMENTARY SCHOOL,Nez Perce,2020 15th Street,87.8,Kindergarten
,Public,MEADOWS VALLEY SCHOOL,Adams,500 N. Miller Ave.,70,Kindergarten
,Public,MELBA SCHOOL,Canyon,5870 Stokes Lane,68.89,Kindergarten
,Public,MERIDIAN ELEMENTARY SCHOOL,Ada,1035 NW 1st ST,90.77,Kindergarten
,Public,MIDDLETON HEIGHTS ELEMENTARY,Canyon,611 Cemetery Rd,78.79,Kindergarten
,Public,MIDVALE SCHOOL,Washington,56 School Road,57.14,Kindergarten
,Public,MIDWAY ELEMENTARY SCHOOL,Jefferson,623 N 3500 E,91.67,Kindergarten
,Public,MILL CREEK ELEMENTARY SCHOOL,Canyon,500 N. Middleton RD ,59.57,Kindergarten
,Public,MONROE ELEMENTARY SCHOOL,Ada,3615 W Cassia St.,92,Kindergarten
,Private,MONTESSORI ACADEMY,Ada,1400 Park Ln,71.43,Kindergarten
