Facility Number,School Type,School District or Name,Facility Address,County,MMR Vaccination Rate,Age Group
,,NORTHWINDS ELEMENTARY SCHOOL,,Wright,78.69,Kindergarten
,,PARKSIDE EL.,,Wright,82.05,Kindergarten
,,SALEM LUTHERAN,,Hennepin,70.0,Kindergarten
,,ST FRANCIS XAVIER,,Wright,77.5,Kindergarten
,,TATANKA EL.,,Wright,86.21,Kindergarten
,,BUFFALO LAKE-HECTOR EL.,,Renville,68.75,Kindergarten
,,BULTUM ACADEMY,,Anoka,42.11,Kindergarten
,,EDWARD NEILL EL.,,Dakota,91.84,Kindergarten
,,GIDEON POND EL.,,Dakota,84.38,Kindergarten
,,HARRIET BISHOP EL.,,Scott,87.1,Kindergarten
,,HIDDEN VALLEY EL.,,Scott,76.27,Kindergarten
,,RAHN EL.,,Dakota,79.03,Kindergarten
,,SKY OAKS EL.,,Dakota,84.09,Kindergarten
,,ST JOHN THE BAPTIST-SAVAGE,,Scott,95.0,Kindergarten
,,VISTA VIEW EL.,,Dakota,95.35,Kindergarten
,,WILLIAM BYRNE EL.,,Dakota,84.62,Kindergarten
,,BUTTERFIELD EL.,,Watonwan,80.95,Kindergarten
,,BRYON PRIMARY,,Olmsted,89.93,Kindergarten
,,CALEDONIA ELEM,,Houston,88.0,Kindergarten
,,ST MARYS ELEMENTARY,,Houston,93.33,Kindergarten
,,CAMBRIDGE CHRISTIAN SCHOOL,,Isanti,47.37,Kindergarten
,,CAMBRIDGE PRIMARY SCHOOL,,Isanti,88.75,Kindergarten
,,CAMBRIDGE-ISANTI STEAM SCHOOL,,Isanti,80.0,Kindergarten
,,ISANTI PRIMARY SCHOOL,,Isanti,90.07,Kindergarten
,,CANBY EL.,,Yellow Medicine,92.0,Kindergarten
,,CANNON FALLS EL.,,Goodhue,89.04,Kindergarten
,,SOUTH TERRACE EL.,,Carlton,87.5,Kindergarten
,,CASS LAKE-BENA EL.,,Cass,96.2,Kindergarten
,,CEDAR MOUNTAIN EL.,,Renville,66.67,Kindergarten
,,AS-SUFFAH ACADEMY,,Anoka,40.0,Kindergarten
,,BLUE HERON ELEMENTARY,,Anoka,95.74,Kindergarten
,,CENTENNIAL EL.,,Anoka,90.0,Kindergarten
,,CENTERVILLE EL.,,Anoka,94.87,Kindergarten
,,GOLDEN LAKE EL.,,Anoka,90.77,Kindergarten
,,PIONEERS ACADEMY,,Anoka,61.54,Kindergarten
,,RICE LAKE EL.,,Anoka,89.77,Kindergarten
,,BLUFF CREEK ELEMENTARY,,Carver,95.92,Kindergarten
,,BREAKAWAY ACADEMY PRIMARY,,Carver,50.0,Kindergarten
,,CARVER ELEMENTARY,,Carver,87.9,Kindergarten
,,CHANHASSEN ELEMENTARY,,Carver,85.94,Kindergarten
,,CHAPEL HILL ACADEMY,,Carver,61.7,Kindergarten
,,CLOVER RIDGE ELEMENTARY,,Carver,96.81,Kindergarten
,,JONATHAN ELEMENTARY,,Carver,95.18,Kindergarten
,,KINDERACADEMY,,Carver,98.0,Kindergarten
,,LA ACADEMIA ELEMENTARY,,Carver,88.73,Kindergarten
,,ST HUBERT CATHOLIC SCHOOL,,Carver,83.78,Kindergarten
,,ST JOHNS LUTHERAN-CHASKA,,Carver,91.3,Kindergarten
,,VICTORIA ELEMENTARY SCHOOL,,Carver,92.79,Kindergarten
,,CHATFIELD ELEMENTARY SCHOOL,,Fillmore,88.89,Kindergarten
,,CHISAGO LAKES EL.,,Chisago,97.53,Kindergarten
,,TAYLORS FALLS EL.,,Chisago,98.0,Kindergarten
,,VAUGHAN EL.,,St. Louis,97.78,Kindergarten
,,CHOKIO-ALBERTA PUBLIC SCHOOLS,,Stevens,90.91,Kindergarten
,,CLEARBROOK-GONVICK SCHOOL,,Clearwater,52.0,Kindergarten
,,CLEVELAND PUBLIC SCHOOL,,Le Sueur,9.76,Kindergarten
,,CLINTON-GRACEVILLE-BEARDSLEY EL.,,Big Stone,95.0,Kindergarten
,,CHURCHILL EL.,,Carlton,93.59,Kindergarten
,,QUEEN OF PEACE,,Carlton,81.82,Kindergarten
,,WASHINGTON EL.,,Carlton,93.98,Kindergarten
,,COLOGNE ACADEMY,,Carver,88.16,Kindergarten
