Facility Number,School District or Name,Facility Address,County,School Type,MMR Vaccination Rate,Age Group
,PINNACLE PEAK ELEMENTARY,7690 E WILLIAMS DR,MARICOPA,PUBLIC,85.11,Kindergarten
,PINON ELEMENTARY SCHOOL,NAVAJO HWY 41,NAVAJO,PUBLIC,100.00,Kindergarten
,PIONEER ELEMENTARY SCHOOL-85234,1535 N GREENFIELD RD,MARICOPA,PUBLIC,96.88,Kindergarten
,PIONEER ELEMENTARY SCHOOL-85306,6315 W PORT AU PRINCE LN,MARICOPA,PUBLIC,82.61,Kindergarten
,PIONEER PREPARATORY - A CHALLENGE FOUNDATION,6510 W CLARENDON AVE,MARICOPA,CHARTER,96.23,Kindergarten
,PLAYA DEL REY ELEMENTARY SCHOOL,550 N HORNE,MARICOPA,PUBLIC,92.65,Kindergarten
,POMERENE ELEMENTARY SCHOOL,1396 N OLD POMERENE RD,COCHISE,PUBLIC,70.00,Kindergarten
,POMEROY ELEMENTARY SCHOOL,1507 W SHAWNEE DR,MARICOPA,PUBLIC,92.19,Kindergarten
,PORFIRIO H. GONZALES ELEMENTARY SCHOOL,9401 W GARFIELD ST,MARICOPA,PUBLIC,97.33,Kindergarten
,PORTER ELEMENTARY SCHOOL,1350 S LINDSAY,MARICOPA,PUBLIC,91.07,Kindergarten
,POWER RANCH ELEMENTARY,4351 S RANCH HOUSE PARKWAY,MARICOPA,PUBLIC,94.29,Kindergarten
,PRESCOTT VALLEY SCHOOL,9500 E. LORNA LN,YAVAPAI,CHARTER,71.83,Kindergarten
,PRESIDIO SCHOOL,1695 E FORT LOWELL RD,PIMA,CHARTER,95.24,Kindergarten
,PRIMAVERA SCHOOL,1446 MOYER RD,YAVAPAI,PRIVATE,81.25,Kindergarten
,PRINCE ELEMENTARY SCHOOL,125 E PRINCE RD,PIMA,PUBLIC,97.18,Kindergarten
,PUEBLO DEL SOL ELEMENTARY SCHOOL,5130 PASEO LAS PALMAS,COCHISE,PUBLIC,97.14,Kindergarten
,PUEBLO DEL SOL MIDDLE SCHOOL,3449 N 39TH AVE,MARICOPA,PUBLIC,94.59,Kindergarten
,PUEBLO ELEMENTARY SCHOOL - SCOTTSDALE,6320 N 82ND ST,MARICOPA,CHARTER,100.00,Kindergarten
,PUEBLO ELEMENTARY SCHOOL - YUMA,2803 W 20TH ST,YUMA,PUBLIC,98.25,Kindergarten
,PUEBLO GARDENS ELEMENTARY SCHOOL,2210 E 33RD,PIMA,PUBLIC,96.88,Kindergarten
,PUSCH RIDGE CHRISTIAN ACADEMY SOUTH,5951 SOUTH 12TH AVENUE,PIMA,PRIVATE,96.67,Kindergarten
,PUSCH RIDGE CHRISTIAN ACADEMY UPPER SCHOOL,9500 N ORACLE RD,PIMA,PRIVATE,75.00,Kindergarten
,QUAIL RUN ELEMENTARY SCHOOL - PHOENIX,3303 E UTOPIA RD,MARICOPA,PUBLIC,90.91,Kindergarten
,QUAIL RUN ELEMENTARY SCHOOL - TUCSON,4600 W CORTARO FARMS RD,PIMA,PUBLIC,89.77,Kindergarten
,QUARTZ HILL ELEMENTARY,3680 S QUARTZ ST,MARICOPA,PUBLIC,90.20,Kindergarten
,QUEEN CREEK ELEMENTARY SCHOOL,23636 S 204TH ST,MARICOPA,PUBLIC,90.54,Kindergarten
,QUEEN OF PEACE CATHOLIC SCHOOL,109 N MACDONALD ST,MARICOPA,PRIVATE,95.00,Kindergarten
,QUENTIN ELEMENTARY,11050 W WHYMAN AVE,MARICOPA,PUBLIC,97.01,Kindergarten
,RAINBOW VALLEY ELEMENTARY SCHOOL,19716 W NARRAMORE RD,MARICOPA,PUBLIC,70.21,Kindergarten
,RALPH WALDO EMERSON ELEMENTARY SCHOOL,915 E PALM LN,MARICOPA,PUBLIC,88.89,Kindergarten
,RANCH ELEMENTARY SCHOOL,43521 N KENWORTHY RD,PINAL,PUBLIC,96.88,Kindergarten
,RANCHO GABRIELA ELEMENTARY,15272 W GABRIELA DR,MARICOPA,PUBLIC,90.36,Kindergarten
,RANCHO SANTA FE ELEMENTARY SCHOOL,2150 RANCHO SANTA FE BLVD,MARICOPA,PUBLIC,87.67,Kindergarten
,RATTLESNAKE RIDGE ELEMENTARY,8500 N CONTINENTAL LOOP DR,PIMA,PUBLIC,90.48,Kindergarten
,RAUL GRIJALVA ELEMENTARY SCHOOL,1795 W DREXEL RD,PIMA,PUBLIC,93.94,Kindergarten
,RAY ELEMENTARY SCHOOL,675 SENATOR CHASTAIN DR,PINAL,PUBLIC,96.00,Kindergarten
,RED MESA ELEMENTARY SCHOOL,MP448 HWY 160 13 M E OF 264,APACHE,PUBLIC,92.86,Kindergarten
,RED MOUNTAIN RANCH ELEMENTARY,6650 E RAFTRIVER RD,MARICOPA,PUBLIC,92.65,Kindergarten
,RED ROCK ELEMENTARY SCHOOL,20854 E HOMESTEAD DR,PINAL,PUBLIC,89.74,Kindergarten
,REDBIRD ELEMENTARY SCHOOL,1020 S EXTENSION,MARICOPA,PUBLIC,91.43,Kindergarten
,REDEEMER LUTHERAN SCHOOL,8845 N SILVERBELL RD,PIMA,PRIVATE,91.67,Kindergarten
,REDFIELD ELEMENTARY SCHOOL,9181 E REDFIELD RD,MARICOPA,PUBLIC,96.55,Kindergarten
,REID TRADITIONAL SCHOOL PAINTED ROCK ACADEMY,14800 N 25TH DRIVE,MARICOPA,CHARTER,80.43,Kindergarten
,REID TRADITIONAL SCHOOLS - VALLEY ACADEMY,1520 W ROSE GARDEN LN,MARICOPA,CHARTER,91.89,Kindergarten
,RESURRECTION LUTHERAN CHILD DEVELOPMENT CENTER,11575 N 1ST AVE,PIMA,PRIVATE,100.00,Kindergarten
,REYES MARIA RUIZ LEADERSHIP ACADEMY,4848 S 2ND ST,MARICOPA,CHARTER,80.95,Kindergarten
,RICE SCHOOL,SAN CARLOS AVE,GILA,PUBLIC,97.80,Kindergarten
,RICHARD B WILSON JR SCHOOL - TUCSON,2330 W GLOVER RD,PIMA,PUBLIC,97.14,Kindergarten
,RICHARD E MILLER SCHOOL,2021 W ALICE AVE,MARICOPA,PUBLIC,100.00,Kindergarten
,RIDGELINE ACADEMY,33625 N NORTH VALLEY PKWY,MARICOPA,CHARTER,72.15,Kindergarten
,RIGGS ELEMENTARY,6930 SOUTH SEVILLE BOULEVARD WEST,MARICOPA,PUBLIC,91.86,Kindergarten
,RIO COLORADO ELEMENTARY SCHOOL,1055 N MAIN ST,YUMA,PUBLIC,98.51,Kindergarten
,RIO VISTA ELEMENTARY,10237 W ENCANTO BLVD,MARICOPA,PUBLIC,86.25,Kindergarten
,RIO VISTA ELEMENTARY SCHOOL,1351 E LIMBERLOST RD,PIMA,PUBLIC,88.57,Kindergarten
,RIVERA ELEMENTARY,5102 S CHERRY AVE,PIMA,PUBLIC,97.10,Kindergarten
,RIVERSIDE TRADITIONAL SCHOOL,1414 S 51ST AVE,MARICOPA,PUBLIC,91.53,Kindergarten
,RIVERVIEW SCHOOL,12701 N MAIN ST,MARICOPA,PUBLIC,96.30,Kindergarten
,ROADRUNNER ELEMENTARY SCHOOL-85051,7702 N 39TH AVE,MARICOPA,PUBLIC,91.21,Kindergarten
,ROADRUNNER ELEMENTARY SCHOOL-85653,16651 W CALLE CARMELA,PIMA,PUBLIC,87.88,Kindergarten
,ROBERT AND DANELL TARWATER ELEMENTARY,2300 SOUTH GARDNER DRIVE,MARICOPA,PUBLIC,92.50,Kindergarten
,ROBERT BRACKER ELEMENTARY,121 CAMINO DIEZ MANDAMIENTOS,SANTA CRUZ,PUBLIC,100.00,Kindergarten
,ROBERT RICE ELEMENTARY,1290 E. OCOTILLO ROAD,MARICOPA,PUBLIC,90.48,Kindergarten
,ROBERT RICHARDSON ELEMENTARY SCHOOL,6901 N CAMINO DE LA TIERRA,PIMA,PUBLIC,95.83,Kindergarten
,ROBINS ELEMENTARY SCHOOL,3939 N MAGNETITE LN,PIMA,PUBLIC,95.74,Kindergarten
,ROBISON ELEMENTARY SCHOOL,2745 E 18TH ST,PIMA,PUBLIC,97.83,Kindergarten
,ROBLES ELEMENTARY SCHOOL,10451 S SASABE RD,PIMA,PUBLIC,94.12,Kindergarten
,ROBSON ELEMENTARY SCHOOL,2122 E PUEBLO AVE,MARICOPA,PUBLIC,97.18,Kindergarten
,ROGERS RANCH SCHOOL,6735 S 47TH AVE,MARICOPA,PUBLIC,97.09,Kindergarten
,RONALD REAGAN FUNDAMENTAL SCHOOL,3200 W 16TH ST,YUMA,PUBLIC,100.00,Kindergarten
,ROOSEVELT ELEMENTARY SCHOOL,828 S VALENCIA,MARICOPA,PUBLIC,95.00,Kindergarten
,ROOSEVELT SCHOOL,550 W 5TH ST,YUMA,PUBLIC,97.37,Kindergarten
,ROSKRUGE BILINGUAL K-8 SCHOOL,501 E 6TH ST,PIMA,PUBLIC,95.83,Kindergarten
,ROUND ROCK K-8,HWY 191 & ROUTE 12,APACHE,PUBLIC,75.00,Kindergarten
,ROUND VALLEY INTERMEDIATE SCHOOL,165 S BROWN ST,APACHE,PUBLIC,78.31,Kindergarten
,ROVER ELEMENTARY SCHOOL,1300 E WATSON DR,MARICOPA,PUBLIC,90.57,Kindergarten
,RUDY G BOLOGNA ELEMENTARY,1625 E FRY RD,MARICOPA,PUBLIC,87.50,Kindergarten
,RUTH POWELL ELEMENTARY SCHOOL,1041 S 14TH AVE,GRAHAM,PUBLIC,86.57,Kindergarten
,SACATON ELEMENTARY,SKILL CENTER RD,PINAL,PUBLIC,93.65,Kindergarten
,SACRED HEART CATHOLIC SCHOOL,207 W OAK ST,SANTA CRUZ,PRIVATE,95.83,Kindergarten
,SACRED HEART ELEMENTARY SCHOOL,131 N SUMMIT AVE,YAVAPAI,PRIVATE,61.54,Kindergarten
,SADDLEBACK ELEMENTARY SCHOOL,18600 N PORTER RD,PINAL,PUBLIC,92.98,Kindergarten
,SAFFORD ENGINEERING/TECHNOLOGY MAGNET MIDDLE SCHOOL,200 E 13TH ST,PIMA,PUBLIC,100.00,Kindergarten
,SAGE ACADEMY,10220 N 25TH AVENUE,MARICOPA,CHARTER,86.67,Kindergarten
,SAGUARO ELEMENTARY SCHOOL,260 W MCMURRAY BLVD,PINAL,PUBLIC,97.14,Kindergarten
,SAHUARITA PRIMARY SCHOOL,350 W SAHUARITA RD,PIMA,PUBLIC,95.10,Kindergarten
,SAHUARO RANCH ELEMENTARY SCHOOL,10401 N 63RD AVE,MARICOPA,PUBLIC,87.30,Kindergarten
,SAHUARO SCHOOL,12835 N 33RD AVE,MARICOPA,PUBLIC,93.33,Kindergarten
,SAINT AGNES CATHOLIC SCHOOL,2311 E PALM LN,MARICOPA,PRIVATE,100.00,Kindergarten
,SAINT AMBROSE SCHOOL,300 S TUCSON BLVD,PIMA,PRIVATE,100.00,Kindergarten
,SAINT ANTHONY CATHOLIC SCHOOL,1400 E OWENS,NAVAJO,PRIVATE,94.12,Kindergarten
,SAINT ANTHONY OF PADUA ELMENTARY SCHOOL,501 E 2ND ST,PINAL,PRIVATE,100.00,Kindergarten
,SAINT CATHERINE OF SIENA SCHOOL,6413 S CENTRAL AVE,MARICOPA,PRIVATE,85.71,Kindergarten
