Facility Number,School District or Name,Facility Address,County,School Type,MMR Vaccination Rate,Age Group
,LEGACY TRADITIONAL SCHOOL-QUEEN CREEK,41800 N. BARNES PKWY,PINAL,CHARTER,95.79,6th Grade
,LEGEND SPRINGS ELEMENTARY,21150 N ARROWHEAD LOOP,MARICOPA,PUBLIC,94.44,6th Grade
,LEHI ELEMENTARY SCHOOL,2555 N STAPLEY DR,MARICOPA,PUBLIC,100.00,6th Grade
,LEMAN ACADEMY OF EXCELLENCE - EAST CAMPUS,10100 E GOLF LINKS RD,PIMA,CHARTER,100.00,6th Grade
,LEMAN ACADEMY OF EXCELLENCE - EAST MESA,3761 S POWER RD,MARICOPA,CHARTER,63.64,6th Grade
,LEMAN ACADEMY OF EXCELLENCE - MARANA,"7720 N SILVERBELL RD, BLDG 1 & 2",PIMA,CHARTER,98.35,6th Grade
,LEMAN ACADEMY OF EXCELLENCE - ORO VALLEY,12255 N LA CAÑADA DRIVE,PIMA,CHARTER,95.24,6th Grade
,LEMAN ACADEMY OF EXCELLENCE - SIERRA VISTA,1000 E. WILCOX DR,COCHISE,CHARTER,100.00,6th Grade
,LEMAN ACADEMY OF EXCELLENCE CENTRAL TUCSON,6188 E PIMA STREET,PIMA,CHARTER,92.75,6th Grade
,LEMAN VIRTUAL ACADEMY,7720 N SILVERBELL RD,PIMA,CHARTER,76.19,6th Grade
,LEONOR HAMBLY K-8,824 THORNE AVE,GILA,PUBLIC,100.00,6th Grade
,LIBERTY ARTS ACADEMY,3015 S POWER RD,MARICOPA,CHARTER,88.24,6th Grade
,LIBERTY ELEMENTARY SCHOOL - TUCSON,5495 S LIBERTY AVE,PIMA,PUBLIC,100.00,6th Grade
,LIBERTY ELEMENTARY SCHOOL-85254,5125 E MARILYN RD,MARICOPA,PUBLIC,94.64,6th Grade
,LIBERTY ELEMENTARY SCHOOL-85326,19818 W HWY 85,MARICOPA,PUBLIC,100.00,6th Grade
,LIBERTY TRADITIONAL CHARTER SCHOOL - N 45TH AVE,4901 W INDIAN SCHOOL RD,MARICOPA,CHARTER,95.24,6th Grade
,LIBERTY TRADITIONAL CHARTER SCHOOL - SADDLEBACK,3715 N WASHINGTON AVE,COCHISE,CHARTER,100.00,6th Grade
,LINCOLN ELEMENTARY SCHOOL,930 S SIRRINE,MARICOPA,PUBLIC,100.00,6th Grade
,LINDBERGH ELEMENTARY SCHOOL,930 S LAZONA DR,MARICOPA,PUBLIC,95.45,6th Grade
,LITTLE RED SCHOOLHOUSE,HWY 82 & DUQUESNE RD,SANTA CRUZ,PUBLIC,100.00,6th Grade
,LITTLETON ELEMENTARY SCHOOL,1252 S 115TH AVE,MARICOPA,PUBLIC,98.55,6th Grade
,LOMA LINDA ELEMENTARY SCHOOL,2002 E CLARENDON AVE,MARICOPA,PUBLIC,100.00,6th Grade
,LONE MOUNTAIN ELEMENTARY SCHOOL,5250 E MONTGOMERY RD,MARICOPA,PUBLIC,90.67,6th Grade
,LONGFELLOW ELEMENTARY SCHOOL,345 S HALL ST,MARICOPA,PUBLIC,98.36,6th Grade
,LONGVIEW ELEMENTARY SCHOOL,1209 E INDIAN SCHOOL RD,MARICOPA,PUBLIC,92.31,6th Grade
,LOOKOUT MOUNTAIN SCHOOL,15 W CORAL GABLES DR,MARICOPA,PUBLIC,94.40,6th Grade
,LORETTO CATHOLIC SCHOOL,1200 14TH ST,COCHISE,PRIVATE,100.00,6th Grade
,LOS AMIGOS ELEMENTARY SCHOOL,2200 E DREXEL RD,PIMA,PUBLIC,100.00,6th Grade
,LOS NINOS ELEMENTARY SCHOOL,5445 S ALVERNON WAY,PIMA,PUBLIC,95.31,6th Grade
,LOURDES CATHOLIC ELEMENTARY SCHOOL,555 E PATAGONIA HWY,SANTA CRUZ,PRIVATE,97.06,6th Grade
,LOWELL ELEMENTARY SCHOOL,920 E BROADWAY RD,MARICOPA,PUBLIC,100.00,6th Grade
,LOWELL SCHOOL,1121 S 3RD AVE,MARICOPA,PUBLIC,100.00,6th Grade
,LUKE ELEMENTARY SCHOOL,7300 N DYSART RD,MARICOPA,PUBLIC,98.39,6th Grade
,MACARTHUR ELEMENTARY SCHOOL,1435 E MCLELLAN RD,MARICOPA,PUBLIC,97.56,6th Grade
,MADISON #1 ELEMENTARY SCHOOL,5525 N 16TH ST,MARICOPA,PUBLIC,95.89,6th Grade
,MADISON ELEMENTARY SCHOOL,849 S SUNNYVALE,MARICOPA,PUBLIC,92.16,6th Grade
,MADISON MEADOWS SCHOOL,225 W OCOTILLO RD,MARICOPA,PUBLIC,95.91,6th Grade
,MADISON PARK SCHOOL,1431 E CAMPBELL AVE,MARICOPA,PUBLIC,98.98,6th Grade
,MADISON TRADITIONAL ACADEMY,925 E MARYLAND AVE,MARICOPA,PUBLIC,99.06,6th Grade
,MADRID NEIGHBORHOOD SCHOOL,3736 W OSBORN RD,MARICOPA,PUBLIC,100.00,6th Grade
,MAGEE MIDDLE SCHOOL,8300 E SPEEDWAY BLVD,PIMA,PUBLIC,95.56,6th Grade
,MAGMA RANCH K-8 SCHOOL,10980 E DESERT MOUNTAIN BLVD,PINAL,PUBLIC,98.55,6th Grade
,MAGNET TRADITIONAL SCHOOL,2602 N 23RD AVE,MARICOPA,PUBLIC,97.67,6th Grade
,MAIE BARTLETT HEARD SCHOOL,2301 W THOMAS RD,MARICOPA,PUBLIC,97.96,6th Grade
,MAMMOTH SAN MANUEL PK-12-  JR/SR HIGH (6-12),711 MCNAB PARKWAY,PINAL,PUBLIC,100.00,6th Grade
,MANSFELD MIDDLE SCHOOL,1300 E 6TH ST,PIMA,PUBLIC,98.11,6th Grade
,MANUEL PENA JR. ELEMENTARY SCHOOL,2550 N 79TH AVE,MARICOPA,PUBLIC,98.36,6th Grade
,"MANY FARMS COMMUNITY SCHOOL, INC - 86538",HWY 191,APACHE,PUBLIC,100.00,6th Grade
,MANY FARMS PUBLIC SCHOOL - 86503,HWY 191,APACHE,PUBLIC,100.00,6th Grade
,MANZANITA ELEMENTARY SCHOOL - PHOENIX,8430 N 39TH AVE,MARICOPA,PUBLIC,100.00,6th Grade
,MARICOPA WELLS MIDDLE SCHOOL,45012 W HONEYCUTT AVE,PINAL,PUBLIC,95.86,6th Grade
,MARILYN THIELE WILSON SCHOOL - MESA,5619 E GLADE AVE,MARICOPA,PUBLIC,98.28,6th Grade
,MARIONNEAUX ELEMENTARY SCHOOL,21455 W ROESER RD,MARICOPA,PUBLIC,97.06,6th Grade
,MARJORIE W ESTES ELEMENTARY SCHOOL,11280 W GRIER RD,PIMA,PUBLIC,98.77,6th Grade
,MARLEY PARK ELEMENTARY,15042 W SWEETWATER AVE,MARICOPA,PUBLIC,96.48,6th Grade
,MARSHALL HUMPHREY II ELEMENTARY SCHOOL,125 S 132ND ST,MARICOPA,PUBLIC,96.97,6th Grade
,MARSHALL RANCH ELEMENTARY SCHOOL,12995 N MARSHALL RANCH DR,MARICOPA,PUBLIC,98.55,6th Grade
,MARY BELLE MCCORKLE,4455 S MISSION RD,PIMA,PUBLIC,100.00,6th Grade
,MARY C O'BRIEN ELEMENTARY SCHOOL,1400 N ELEVEN MILE CORNER RD,PINAL,PUBLIC,93.33,6th Grade
,MARYLAND ELEMENTARY SCHOOL,6503 N 21ST AVE,MARICOPA,PUBLIC,93.65,6th Grade
,MARYVALE PREPARATORY ACADEMY,4825 W CAMELBACK RD,MARICOPA,CHARTER,97.78,6th Grade
,MASADA CHARTER SCHOOL,365 W CANNON AVE,MOHAVE,CHARTER,61.22,6th Grade
,MATH AND SCIENCE SUCCESS ACADEMY,434 W LERDO RD,PIMA,CHARTER,100.00,6th Grade
,MAURICE C CASH SCHOOL,3851 W ROESER RD,MARICOPA,PUBLIC,97.98,6th Grade
,MAXINE O BUSH ELEMENTARY SCHOOL,602 E SIESTA WAY,MARICOPA,PUBLIC,87.10,6th Grade
,MCKEMY ACADEMY OF INTERNATIONAL STUDIES,2250 S COLLEGE AVE,MARICOPA,PUBLIC,95.61,6th Grade
,MENDOZA ELEMENTARY SCHOOL,5831 E MCLELLAN RD,MARICOPA,PUBLIC,96.72,6th Grade
,MERCURY MINE ELEMENTARY SCHOOL,9640 N 28TH ST,MARICOPA,PUBLIC,98.48,6th Grade
,MERIDIAN ELEMENTARY,3900 S MOUNTAIN RD,MARICOPA,PUBLIC,96.49,6th Grade
,MESA ACADEMY FOR ADVANCED STUDIES,6919 E BROWN RD,MARICOPA,PUBLIC,97.70,6th Grade
,MESA ARTS ACADEMY,221 W SIXTH AVE,MARICOPA,CHARTER,93.33,6th Grade
,MESA VIEW ELEMENTARY,HWY 191 & NAVAJO ROUTE 7,APACHE,PUBLIC,100.00,6th Grade
,MESQUITE ELEMENTARY - YUMA,4451 W 28TH ST,YUMA,PUBLIC,98.20,6th Grade
,MESQUITE ELEMENTARY SCHOOL - GILBERT,1101 E MESQUITE ST,MARICOPA,PUBLIC,95.24,6th Grade
,MEXICAYOTL CHARTER SCHOOL,2059 N GRAND AVE,SANTA CRUZ,CHARTER,100.00,6th Grade
,MICHAEL ANDERSON SCHOOL,45 S 3RD AVE,MARICOPA,PUBLIC,97.67,6th Grade
,MICHAEL T. HUGHES ELEMENTARY SCHOOL,630 N HUNT DR,MARICOPA,PUBLIC,96.49,6th Grade
,MILES-EXPLORATORY LEARNING CENTER,1400 E BROADWAY BLVD,PIMA,PUBLIC,100.00,6th Grade
,MILESTONES CHARTER SCHOOL,4707 E ROBERT E LEE ST,MARICOPA,CHARTER,73.33,6th Grade
,MINGUS SPRINGS CHARTER SCHOOL,3600 N SUNSET DR,YAVAPAI,CHARTER,71.43,6th Grade
,MIRAGE ELEMENTARY SCHOOL,3910 W GROVERS AVE,MARICOPA,PUBLIC,96.55,6th Grade
,MISSION MANOR ELEMENTARY SCHOOL,600 W SANTA ROSA ST,PIMA,PUBLIC,98.63,6th Grade
,MISSION MONTESSORI ACADEMY,12990 E SHEA BLVD,MARICOPA,CHARTER,66.67,6th Grade
,MOHAVE ACCELERATED ELEMENTARY SCHOOL,625 MARINA BLVD,MOHAVE,CHARTER,98.81,6th Grade
,MOHAVE MIDDLE SCHOOL,8490 E JACKRABBIT ROAD,MARICOPA,PUBLIC,93.98,6th Grade
,MOHAVE VALLEY JUNIOR HIGH SCHOOL,6565 GIRARD AVE,MOHAVE,PUBLIC,94.44,6th Grade
,MOHAWK VALLEY SCHOOL,5151 S AVENUE 39 E,YUMA,PUBLIC,100.00,6th Grade
,MONTE VISTA ELEMENTARY SCHOOL,3501 E OSBORN RD,MARICOPA,PUBLIC,98.94,6th Grade
,MONTESSORI DAY PUBLIC SCHOOLS  - MOUNTAINSIDE,9215 N 14TH ST,MARICOPA,CHARTER,83.33,6th Grade
,MONTESSORI EDUCATION CENTRE CHARTER SCHOOL-85203,815 N GILBERT RD,MARICOPA,CHARTER,100.00,6th Grade
,MONTESSORI EDUCATION CENTRE CHARTER SCHOOL-85204,2834 E SOUTHERN AVE,MARICOPA,CHARTER,73.33,6th Grade
,MONTESSORI SCHOOLHOUSE-85719,1301 E FT LOWELL RD,PIMA,CHARTER,92.31,6th Grade
,MOON MOUNTAIN SCHOOL,13425 N 19TH AVE,MARICOPA,PUBLIC,95.38,6th Grade
,MORGAN MAXWELL SCHOOL,2802 W ANKLAM RD,PIMA,PUBLIC,100.00,6th Grade
,MORRIS K. UDALL ESCUELA DE BELLAS ARTES,3715 W ROOSEVELT ST,MARICOPA,PUBLIC,98.47,6th Grade
,MORRISTOWN ELEMENTARY SCHOOL,25950 W ROCKAWAY HILLS DR,MARICOPA,PUBLIC,95.45,6th Grade
,MOST HOLY TRINITY CATHOLIC SCHOOL,535 E ALICE AVE,MARICOPA,PRIVATE,100.00,6th Grade
,MOUNT ELDEN MIDDLE SCHOOL,3323 N 4TH ST,COCONINO,PUBLIC,97.61,6th Grade
,MOUNT TIPTON SCHOOL,16500 N PIERCE FERRY RD,MOHAVE,PUBLIC,93.10,6th Grade
,MOUNT TURNBULL ELEMENTARY SCHOOL,10 EDUCATION LANE,GRAHAM,PUBLIC,100.00,6th Grade
,MOUNTAIN CHRISTIAN SCHOOL,3171 SHOW LOW LAKE RD,NAVAJO,PRIVATE,100.00,6th Grade
,MOUNTAIN SHADOWS ELEMENTARY SCHOOL,19602 N 45TH AVE,MARICOPA,PUBLIC,92.73,6th Grade
,MOUNTAIN VIEW ELEMENTARY SCHOOL - PHOENIX,801 W PEORIA AVE,MARICOPA,PUBLIC,99.15,6th Grade
,MOUNTAIN VIEW ELEMENTARY SCHOOL - PRESCOTT VALLEY,8601 E LOOS DR,YAVAPAI,PUBLIC,89.58,6th Grade
,MOUNTAIN VIEW PREPARATORY,2939 E DEL RIO DRIVE,YAVAPAI,PUBLIC,91.49,6th Grade
,MOUNTAIN VIEW SCHOOL,18302 W BURTON AVE,MARICOPA,PUBLIC,94.87,6th Grade
,MOUNTAIN VISTA SCHOOL,2618 EL PASEO,PINAL,PRIVATE,100.00,6th Grade
,MOUNTAINSIDE MIDDLE SCHOOL,11256 N 128TH ST,MARICOPA,PUBLIC,93.14,6th Grade
,NACO ELEMENTARY SCHOOL,1911 W VALENZUELA ST,COCHISE,PUBLIC,100.00,6th Grade
,NADABURG ELEMENTARY SCHOOL,21419 W DOVE VALLEY RD,MARICOPA,PUBLIC,98.33,6th Grade
,NAUTILUS ELEMENTARY SCHOOL,1425 PATRICIAN DR,MOHAVE,PUBLIC,93.33,6th Grade
,NAVARRETE ELEMENTARY,6490 SOUTH SUN GROVES BOULEVARD,MARICOPA,PUBLIC,96.00,6th Grade
,NAYLOR MIDDLE SCHOOL,1701 S COLUMBUS BLVD,PIMA,PUBLIC,98.81,6th Grade
,NEELY TRADITIONAL ACADEMY,500 E HOUSTON AVENUE,MARICOPA,PUBLIC,99.17,6th Grade
,NEW HORIZON SCHOOL FOR THE PERFORMING ART,446 E BROADWAY RD,MARICOPA,CHARTER,95.83,6th Grade
,NEW RIVER ELEMENTARY SCHOOL,48827 N BLACK CANYON HWY,MARICOPA,PUBLIC,89.47,6th Grade
,NEW SCHOOL FOR THE ARTS & ACADEMICS,1216 E APACHE BLVD,MARICOPA,CHARTER,86.67,6th Grade
,NEW VISTAS ACADEMY,"670 N ARIZONA AVE, STE 35",MARICOPA,PRIVATE,100.00,6th Grade
,NEW WORLD EDUCATIONAL CENTER,5818 N 7TH ST,MARICOPA,CHARTER,95.24,6th Grade
,NOAH WEBSTER BASIC SCHOOL - PIMA,7301 E BASELINE RD,MARICOPA,CHARTER,100.00,6th Grade
,NOAH WEBSTER SCHOOLS - MESA,7301 E BASELINE RD ,MARICOPA,PRIVATE,93.42,6th Grade
,NORTERRA CANYON K-8,2200 W MAYA WAY,MARICOPA,PUBLIC,96.30,6th Grade
,NORTH RANCH ELEMENTARY SCHOOL,16406 N 61ST PL,MARICOPA,PUBLIC,97.01,6th Grade
,NORTH VALLEY CHRISTIAN ACADEMY,33655 N 27TH DR,MARICOPA,PRIVATE,75.51,6th Grade
,NORTHLAND PREPARATORY ACADEMY,3300 E SPARROW AVE,COCONINO,CHARTER,94.17,6th Grade
,NORTHWEST CHRISTIAN SCHOOL - MAIN CAMPUS,16615 N 43RD AVE,MARICOPA,PRIVATE,87.69,6th Grade
,NOSOTROS ACADEMY,440 N GRANDE AVE,PIMA,CHARTER,94.12,6th Grade
,OAK CREEK SCHOOL,11490 PURPLE SAGE DR,YAVAPAI,PUBLIC,84.00,6th Grade
,OAK TREE ELEMENTARY,505 W HOUSTON,MARICOPA,PUBLIC,93.85,6th Grade
,OAKWOOD ELEMENTARY SCHOOL,12900 N 71ST AVE,MARICOPA,PUBLIC,88.68,6th Grade
,OASIS ELEMENTARY SCHOOL,7841 W SWEETWATER AVE,MARICOPA,PUBLIC,92.59,6th Grade
,OCOTILLO SCHOOL,3225 W OCOTILLO RD,MARICOPA,PUBLIC,100.00,6th Grade
,ODYSSEY INSTITUTE FOR ADVANDED STUDIES,1495 S AIRPORT RD,MARICOPA,CHARTER,93.92,6th Grade
,OLD VAIL MIDDLE SCHOOL,13299 E COLOSSAL CAVE RD,PIMA,PUBLIC,97.96,6th Grade
,OMEGA ALPHA ACADEMY SCHOOL,1402 SAN ANTONIO AVE,COCHISE,CHARTER,100.00,6th Grade
,ORANGE GROVE ELEMENTARY SCHOOL,3525 W COUNTY 16 1/2 ST,YUMA,PUBLIC,100.00,6th Grade
,ORANGE GROVE MIDDLE SCHOOL,1911 E ORANGE GROVE RD,PIMA,PUBLIC,99.09,6th Grade
,ORANGEWOOD ELEMENTARY SCHOOL,7337 N 19TH AVE,MARICOPA,PUBLIC,98.78,6th Grade
,ORO GRANDE ELEMENTARY SCHOOL,1250 PAWNEE DR,MOHAVE,PUBLIC,97.83,6th Grade
,OUR LADY OF MOUNT CARMEL SCHOOL,2117 S RURAL RD,MARICOPA,PRIVATE,100.00,6th Grade
,OUR LADY OF PERPETUAL HELP SCHOOL-85251,3801 N MILLER RD,MARICOPA,PRIVATE,97.30,6th Grade
,OUR LADY OF PERPETUAL HELP SCHOOL-85301,5614 W ORANGEWOOD AVE,MARICOPA,PRIVATE,100.00,6th Grade
,OUR LADY OF SORROWS ACADEMY,750 E BASELINE RD,MARICOPA,PRIVATE,72.73,6th Grade
,OUR MOTHER OF SORROWS SCHOOL,1800 S KOLB RD,PIMA,PRIVATE,100.00,6th Grade
,PAGE MIDDLE SCHOOL,101 EL MIRAGE,COCONINO,PUBLIC,97.63,6th Grade
,PALM LANE ELEMENTARY SCHOOL,2043 N 64TH DR,MARICOPA,PUBLIC,100.00,6th Grade
,PALO VERDE ELEMENTARY SCHOOL,10700 S PALO VERDE RD,MARICOPA,PUBLIC,98.25,6th Grade
,PALOMINO INTERMEDIATE SCHOOL,15815 N 29TH ST,MARICOPA,PUBLIC,96.92,6th Grade
,PAN-AMERICAN ELEMENTARY CHARTER SCHOOL,8305 W THOMAS ROAD,MARICOPA,CHARTER,95.10,6th Grade
,PAPAGO SCHOOL,2013 N 36TH ST,MARICOPA,PUBLIC,96.36,6th Grade
,PARADISE VALLEY CHRISTIAN PREPARATORY,11875 N 24TH ST,MARICOPA,PRIVATE,77.27,6th Grade
,PARAGON SCIENCE ACADEMY,2975 W LINDA LN,MARICOPA,CHARTER,96.15,6th Grade
,PARDES JEWISH DAY SCHOOL,12753 N SCOTTSDALE RD,MARICOPA,PRIVATE,93.10,6th Grade
,PARK MEADOWS ELEMENTARY SCHOOL,20012 N 35TH AVE,MARICOPA,PUBLIC,95.71,6th Grade
,PARKRIDGE ELEMENTARY,9970 W BEARDSLEY RD,MARICOPA,PUBLIC,100.00,6th Grade
,PASEO HILLS ELEMENTARY,3302 W LOUISE DR,MARICOPA,PUBLIC,96.91,6th Grade
,PASEO POINTE SCHOOL,8800 S 55TH AVE,MARICOPA,PUBLIC,98.91,6th Grade
,PASEO VERDE ELEMENTARY SCHOOL,7880 W GREENWAY RD,MARICOPA,PUBLIC,95.40,6th Grade
,PAT TILLMAN MIDDLE SCHOOL,4309 E BELLEVIEW ST,MARICOPA,PUBLIC,89.95,6th Grade
,PATAGONIA ELEMENTARY SCHOOL,100 SCHOOL ST,SANTA CRUZ,PUBLIC,100.00,6th Grade
,PATHFINDER ACADEMY - N BOULDER CANYON,2906 N BOULDER CANYON,MARICOPA,CHARTER,70.83,6th Grade
,PATHFINDER ACADEMY AT EASTMARK,4816 S EASTMARK PKWY,MARICOPA,CHARTER,90.00,6th Grade
,PATTERSON ELEMENTARY SCHOOL,1211 E GUADALUPE RD,MARICOPA,PUBLIC,96.47,6th Grade
,PAUL H HUBER JR HIGH SCHOOL,1650 WASHINGTON AVE,COCHISE,PUBLIC,99.12,6th Grade
,PAULDEN COMMUNITY SCHOOL,24850 N NAPLES DR,YAVAPAI,CHARTER,63.64,6th Grade
,PAULO FREIRE FREEDOM SCHOOL - DOWNTOWN,47 E PENNINGTON ST,PIMA,CHARTER,100.00,6th Grade
,PAULO FREIRE FREEDOM SCHOOL - E UNIVERSITY BLVD,300 E UNIVERSITY BLVD,PIMA,CHARTER,93.75,6th Grade
,PEDRO GUERRERO ELEMENTARY,463 S ALMA SCHOOL RD,MARICOPA,PUBLIC,100.00,6th Grade
,PENDERGAST ELEMENTARY SCHOOL,3802 N 91ST AVE,MARICOPA,PUBLIC,95.65,6th Grade
,PENSAR ACADEMY,6135 N BLACK CANYON HIGHWAY,MARICOPA,CHARTER,97.78,6th Grade
,PEORIA ELEMENTARY SCHOOL,11501 N 79TH AVE,MARICOPA,PUBLIC,94.34,6th Grade
,PEORIA TRADITIONAL SCHOOL,21180 N 87TH AVE,MARICOPA,PUBLIC,100.00,6th Grade
,PERALTA ELEMENTARY SCHOOL,7125 W ENCANTO BLVD,MARICOPA,PUBLIC,99.11,6th Grade
,PERCY L JULIAN SCHOOL,2149 E CARVER DR,MARICOPA,PUBLIC,100.00,6th Grade
,PERIDOT LUTHERAN ELEMENTARY SCHOOL,1 MILE N OF HWY 70 ON HWY 17,GILA,PRIVATE,93.75,6th Grade
,PHOENIX CHRISTIAN JR/SR HIGH SCHOOL,1751 W INDIAN SCHOOL RD,MARICOPA,PRIVATE,89.74,6th Grade
,PHOENIX CHRISTIAN K-8 SCHOOL,2425 N 26TH ST,MARICOPA,PRIVATE,84.62,6th Grade
,PHOENIX COUNTRY DAY SCHOOL,3901 E STANFORD DR,MARICOPA,PRIVATE,96.67,6th Grade
,PHOENIX DAY SCHOOL FOR THE DEAF,7654 N 19TH AVE,MARICOPA,PUBLIC,100.00,6th Grade
,PHOENIX HEBREW ACADEMY,515 E BETHANY HOME RD,MARICOPA,PRIVATE,80.00,6th Grade
,PICACHO SCHOOL,17865 S VAIL RD,PINAL,PUBLIC,94.12,6th Grade
,PICTURE ROCKS ELEMENTARY SCHOOL,5875 N SANDERS RD,PIMA,PUBLIC,97.70,6th Grade
,PIMA ELEMENTARY SCHOOL - GRAHAM,101 S MAIN ST,GRAHAM,PUBLIC,100.00,6th Grade
,PINE FOREST SCHOOL,2257 E CEDAR AVENUE,COCONINO,CHARTER,66.67,6th Grade
,PINE STRAWBERRY ELEMENTARY SCHOOL,3868 N PINE CREEK DR,GILA,PUBLIC,91.67,6th Grade
,PINNACLE PEAK ELEMENTARY,7690 E WILLIAMS DR,MARICOPA,PUBLIC,94.03,6th Grade
,PINON MIDDLE SCHOOL,NAVAJO HWY 41,NAVAJO,PUBLIC,100.00,6th Grade
,PIONEER ELEMENTARY SCHOOL-85234,1535 N GREENFIELD RD,MARICOPA,PUBLIC,96.23,6th Grade
,PIONEER ELEMENTARY SCHOOL-85306,6315 W PORT AU PRINCE LN,MARICOPA,PUBLIC,91.49,6th Grade
,PIONEER PREPARATORY - A CHALLENGE FOUNDATION,6510 W CLARENDON AVE,MARICOPA,CHARTER,100.00,6th Grade
,PISTOR MIDDLE SCHOOL,5455 S CARDINAL AVE,PIMA,PUBLIC,99.12,6th Grade
,PLAYA DEL REY ELEMENTARY SCHOOL,550 N HORNE,MARICOPA,PUBLIC,94.83,6th Grade
,POMEROY ELEMENTARY SCHOOL,1507 W SHAWNEE DR,MARICOPA,PUBLIC,96.70,6th Grade
,PORTER ELEMENTARY SCHOOL,1350 S LINDSAY,MARICOPA,PUBLIC,93.75,6th Grade
,POWER RANCH ELEMENTARY,4351 S RANCH HOUSE PARKWAY,MARICOPA,PUBLIC,90.74,6th Grade
,PRESCOTT VALLEY SCHOOL,9500 E. LORNA LN,YAVAPAI,CHARTER,92.86,6th Grade
,PRESIDIO SCHOOL,1695 E FORT LOWELL RD,PIMA,CHARTER,93.75,6th Grade
,PUEBLO DEL SOL ELEMENTARY SCHOOL,5130 PASEO LAS PALMAS,COCHISE,PUBLIC,100.00,6th Grade
,PUEBLO DEL SOL MIDDLE SCHOOL,3449 N 39TH AVE,MARICOPA,PUBLIC,99.19,6th Grade
,PUEBLO ELEMENTARY SCHOOL - YUMA,2803 W 20TH ST,YUMA,PUBLIC,98.99,6th Grade
,PUEBLO GARDENS ELEMENTARY SCHOOL,2210 E 33RD,PIMA,PUBLIC,100.00,6th Grade
,PUSCH RIDGE CHRISTIAN ACADEMY UPPER SCHOOL,9500 N ORACLE RD,PIMA,PRIVATE,86.11,6th Grade
,QUAIL RUN ELEMENTARY SCHOOL - PHOENIX,3303 E UTOPIA RD,MARICOPA,PUBLIC,96.88,6th Grade
,QUAIL RUN ELEMENTARY SCHOOL - TUCSON,4600 W CORTARO FARMS RD,PIMA,PUBLIC,100.00,6th Grade
,QUARTZ HILL ELEMENTARY,3680 S QUARTZ ST,MARICOPA,PUBLIC,92.05,6th Grade
,QUEEN CREEK ELEMENTARY SCHOOL,23636 S 204TH ST,MARICOPA,PUBLIC,97.10,6th Grade
,QUEEN OF PEACE CATHOLIC SCHOOL,109 N MACDONALD ST,MARICOPA,PRIVATE,100.00,6th Grade
,QUENTIN ELEMENTARY,11050 W WHYMAN AVE,MARICOPA,PUBLIC,100.00,6th Grade
,R PETE WOODARD JR HIGH SCHOOL,2250 S 8TH AVE,YUMA,PUBLIC,98.94,6th Grade
,RAINBOW VALLEY ELEMENTARY SCHOOL,19716 W NARRAMORE RD,MARICOPA,PUBLIC,84.62,6th Grade
,RALPH WALDO EMERSON ELEMENTARY SCHOOL,915 E PALM LN,MARICOPA,PUBLIC,100.00,6th Grade
,RANCH ELEMENTARY SCHOOL,43521 N KENWORTHY RD,PINAL,PUBLIC,100.00,6th Grade
,RANCHO SOLANO PREPARATORY SCHOOL - VENTURA,9180 E VIA DE VENTURA,MARICOPA,PRIVATE,87.72,6th Grade
,RATTLESNAKE RIDGE ELEMENTARY,8500 N CONTINENTAL LOOP DR,PIMA,PUBLIC,91.11,6th Grade
,RAY BORANE MIDDLE SCHOOL,840 E 12TH ST,COCHISE,PUBLIC,100.00,6th Grade
,RAY ELEMENTARY SCHOOL,675 SENATOR CHASTAIN DR,PINAL,PUBLIC,96.55,6th Grade
,RED MESA JUNIOR HIGH SCHOOL,MP448 HWY 160 13 M E OF 264,APACHE,PUBLIC,100.00,6th Grade
,RED MOUNTAIN RANCH ELEMENTARY,6650 E RAFTRIVER RD,MARICOPA,PUBLIC,96.36,6th Grade
,RED ROCK ELEMENTARY SCHOOL,20854 E HOMESTEAD DR,PINAL,PUBLIC,100.00,6th Grade
,REDBIRD ELEMENTARY SCHOOL,1020 S EXTENSION,MARICOPA,PUBLIC,98.15,6th Grade
,REDEEMER LUTHERAN SCHOOL,8845 N SILVERBELL RD,PIMA,PRIVATE,91.67,6th Grade
,REID TRADITIONAL SCHOOL PAINTED ROCK ACADEMY,14800 N 25TH DRIVE,MARICOPA,CHARTER,91.11,6th Grade
,REID TRADITIONAL SCHOOLS - VALLEY ACADEMY,1520 W ROSE GARDEN LN,MARICOPA,CHARTER,98.25,6th Grade
,REYES MARIA RUIZ LEADERSHIP ACADEMY,4848 S 2ND ST,MARICOPA,CHARTER,91.67,6th Grade
,RICHARD B WILSON JR SCHOOL - TUCSON,2330 W GLOVER RD,PIMA,PUBLIC,95.20,6th Grade
,RIDGELINE ACADEMY,33625 N NORTH VALLEY PKWY,MARICOPA,CHARTER,81.32,6th Grade
,RIGGS ELEMENTARY,6930 SOUTH SEVILLE BOULEVARD WEST,MARICOPA,PUBLIC,94.83,6th Grade
,RIM COUNTRY MIDDLE SCHOOL,304 S MEADOW LN,GILA,PUBLIC,91.82,6th Grade
,RINCON VISTA MIDDLE SCHOOL,10770 E BILBY RD,PIMA,PUBLIC,96.58,6th Grade
,RIO COLORADO ELEMENTARY SCHOOL,1055 N MAIN ST,YUMA,PUBLIC,100.00,6th Grade
,RIO VISTA ELEMENTARY,10237 W ENCANTO BLVD,MARICOPA,PUBLIC,95.71,6th Grade
