Facility Number,Facility Address,School Type,School District or Name,County,Age Group,MMR Vaccination Rate
,,,KANKAKEE VALLEY MIDDLE SCHOOL,JASPER,6,92
,,,RENSSELAER CENTRAL PRIMARY SCHOOL,JASPER,1,89.66
,,,RENSSELAER CENTRAL HIGH SCHOOL,JASPER,12,92.65
,,,RENSSELAER CENTRAL PRIMARY SCHOOL,JASPER,K,92
,,,RENSSELAER CENTRAL MIDDLE SCHOOL,JASPER,6,96.97
,,,RENSSELAER CENTRAL MIDDLE SCHOOL,JASPER,7,93.7
,,,BLOOMFIELD ELEMENTARY SCHOOL,JAY,K,62.5
,,,EAST ELEMENTARY SCHOOL,JAY,K,96.03
,,,REDKEY ELEMENTARY SCHOOL,JAY,K,82.61
,,,WEST JAY ELEMENTARY,JAY,K,97.22
,,,BLOOMFIELD ELEMENTARY SCHOOL,JAY,6,63.89
,,,EAST JAY ELEMENTARY,JAY,6,96.24
,,,REDKEY ELEMENTARY SCHOOL,JAY,6,90
,,,WEST JAY ELEMENTARY,JAY,6,97.14
,,,JAY COUNTY JR/SR HIGH SCHOOL,JAY,12,96.02
,,,JAY COUNTY JR/SR HIGH SCHOOL,JAY,7,95.26
,,,BLOOMFIELD ELEMENTARY SCHOOL,JAY,1,78.38
,,,EAST ELEMENTARY SCHOOL,JAY,1,96.99
,,,REDKEY ELEMENTARY SCHOOL,JAY,1,96
,,,WEST JAY ELEMENTARY,JAY,1,94.29
,,,MADISON CONSOLIDATED JR HIGH SCH,JEFFERSON,6,97.3
,,,MADISON CONSOLIDATED HIGH SCHOOL,JEFFERSON,12,91.3
,,,ANDERSON ELEMENTARY SCHOOL,JEFFERSON,K,85.06
,,,DEPUTY ELEMENTARY SCHOOL,JEFFERSON,K,96.15
,,,LYDIA MIDDLETON ELEMENTARY SCHOOL,JEFFERSON,K,90
,,,RYKERS' RIDGE ELEMENTARY SCHOOL,JEFFERSON,K,63.33
,,,MADISON CONSOLIDATED JR HIGH SCH,JEFFERSON,7,96.97
,,,ANDERSON ELEMENTARY SCHOOL,JEFFERSON,1,92.41
,,,DEPUTY ELEMENTARY SCHOOL,JEFFERSON,1,100
,,,LYDIA MIDDLETON ELEMENTARY SCHOOL,JEFFERSON,1,98.15
,,,RYKERS' RIDGE ELEMENTARY SCHOOL,JEFFERSON,1,88.1
,,,SOUTHWESTERN ELEMENTARY SCHOOL,JEFFERSON,1,94.12
,,,SOUTHWESTERN MIDDLE SCHOOL,JEFFERSON,6,100
,,,SOUTHWESTERN ELEMENTARY SCHOOL,JEFFERSON,K,89.66
,,,SOUTHWESTERN MIDDLE SCHOOL,JEFFERSON,7,98.25
,,,SOUTHWESTERN HIGH SCHOOL,JEFFERSON,12,96.2
,,,BRUSH CREEK ELEMENTARY SCHOOL,JENNINGS,6,100
,,,GRAHAM CREEK ELEMENTARY SCHOOL,JENNINGS,6,100
,,,HAYDEN ELEMENTARY SCHOOL,JENNINGS,6,100
,,,NORTH VERNON ELEMENTARY SCHOOL,JENNINGS,6,98.73
,,,SAND CREEK ELEMENTARY SCHOOL,JENNINGS,6,97.87
,,,SCIPIO ELEMENTARY SCHOOL,JENNINGS,6,93.75
,,,BRUSH CREEK ELEMENTARY SCHOOL,JENNINGS,1,97.67
,,,GRAHAM CREEK ELEMENTARY SCHOOL,JENNINGS,1,94.44
,,,HAYDEN ELEMENTARY SCHOOL,JENNINGS,1,100
,,,NORTH VERNON ELEMENTARY SCHOOL,JENNINGS,1,96.1
,,,SAND CREEK ELEMENTARY SCHOOL,JENNINGS,1,95
,,,SCIPIO ELEMENTARY SCHOOL,JENNINGS,1,93.33
,,,JENNINGS COUNTY MIDDLE SCHOOL,JENNINGS,7,98.46
,,,BRUSH CREEK ELEMENTARY SCHOOL,JENNINGS,K,89.36
,,,GRAHAM CREEK ELEMENTARY SCHOOL,JENNINGS,K,96.77
,,,HAYDEN ELEMENTARY SCHOOL,JENNINGS,K,100
,,,NORTH VERNON ELEMENTARY SCHOOL,JENNINGS,K,94.03
,,,SAND CREEK ELEMENTARY SCHOOL,JENNINGS,K,93.02
,,,SCIPIO ELEMENTARY SCHOOL,JENNINGS,K,100
,,,JENNINGS COUNTY HIGH SCHOOL,JENNINGS,12,96.85
,,,BREAK-O-DAY ELEMENTARY SCHOOL,JOHNSON,1,93.55
,,,CLARK ELEMENTARY SCHOOL,JOHNSON,1,94.44
,,,GRASSY CREEK ELEMENTARY SCHOOL,JOHNSON,1,94.51
,,,PLEASANT CROSSING ELEMENTARY,JOHNSON,1,100
,,,RAY CROWE ELEMENTARY,JOHNSON,1,95.65
,,,WHITELAND ELEMENTARY SCHOOL,JOHNSON,1,96.72
,,,CLARK PLEASANT MIDDLE SCHOOL,JOHNSON,6,93.48
,,,CLARK PLEASANT MIDDLE SCHOOL,JOHNSON,7,96.68
,,,BREAK-O-DAY ELEMENTARY SCHOOL,JOHNSON,K,97.33
,,,CLARK ELEMENTARY SCHOOL,JOHNSON,K,92.86
,,,GRASSY CREEK ELEMENTARY SCHOOL,JOHNSON,K,93.65
,,,PLEASANT CROSSING ELEMENTARY,JOHNSON,K,83.33
,,,RAY CROWE ELEMENTARY,JOHNSON,K,100
,,,WHITELAND ELEMENTARY SCHOOL,JOHNSON,K,98.08
,,,WHITELAND COMMUNITY HIGH SCHOOL,JOHNSON,12,96.44
,,,CENTER GROVE HIGH SCHOOL,JOHNSON,12,98.66
,,,CENTER GROVE ELEMENTARY SCHOOL,JOHNSON,K,98.77
,,,MAPLE GROVE ELEMENTARY SCHOOL,JOHNSON,K,94.57
,,,NORTH GROVE ELEMENTARY SCHOOL,JOHNSON,K,98.73
,,,PLEASANT GROVE ELEMENTARY SCHOOL,JOHNSON,K,96.67
,,,SUGAR GROVE ELEMENTARY SCHOOL,JOHNSON,K,97.5
,,,WALNUT GROVE ELEMENTARY SCHOOL,JOHNSON,K,96.08
,,,CENTER GROVE MIDDLE SCHOOL CENTRAL,JOHNSON,6,97.83
,,,CENTER GROVE MIDDLE SCHOOL NORTH,JOHNSON,6,96.96
,,,CENTER GROVE ELEMENTARY SCHOOL,JOHNSON,1,97
,,,MAPLE GROVE ELEMENTARY SCHOOL,JOHNSON,1,98.88
,,,NORTH GROVE ELEMENTARY SCHOOL,JOHNSON,1,98.06
,,,PLEASANT GROVE ELEMENTARY SCHOOL,JOHNSON,1,99.12
,,,SUGAR GROVE ELEMENTARY SCHOOL,JOHNSON,1,98.04
,,,WALNUT GROVE ELEMENTARY SCHOOL,JOHNSON,1,98.15
,,,CENTER GROVE MIDDLE SCHOOL CENTRAL,JOHNSON,7,98.83
,,,CENTER GROVE MIDDLE SCHOOL NORTH,JOHNSON,7,96.4
,,,EDINBURGH COMMUNITY HIGH SCHOOL,JOHNSON,12,98.39
,,,EAST SIDE ELEMENTARY SCHOOL,JOHNSON,K,89.29
,,,EDINBURGH COMM MIDDLE SCHOOL,JOHNSON,7,100
,,,EAST SIDE ELEMENTARY SCHOOL,JOHNSON,1,100
,,,EDINBURGH COMM MIDDLE SCHOOL,JOHNSON,6,98.39
,,,FRANKLIN COMMUNITY HIGH SCHOOL,JOHNSON,12,95.3
,,,CREEKSIDE ELEMENTARY SCHOOL,JOHNSON,K,88.24
,,,NEEDHAM ELEMENTARY SCHOOL,JOHNSON,K,96.61
,,,NORTHWOOD ELEMENTARY SCHOOL,JOHNSON,K,98.02
,,,UNION ELEMENTARY SCHOOL,JOHNSON,K,87.88
,,,WEBB ELEMENTARY SCHOOL,JOHNSON,K,92.42
,,,CUSTER BAKER INTERMEDIATE SCHOOL,JOHNSON,6,93.6
,,,CREEKSIDE ELEMENTARY SCHOOL,JOHNSON,1,97.75
,,,NEEDHAM ELEMENTARY SCHOOL,JOHNSON,1,96.92
,,,NORTHWOOD ELEMENTARY SCHOOL,JOHNSON,1,95.35
,,,UNION ELEMENTARY SCHOOL,JOHNSON,1,96.88
,,,WEBB ELEMENTARY SCHOOL,JOHNSON,1,98.59
,,,FRANKLIN COMMUNITY MIDDLE SCHOOL,JOHNSON,7,97.24
,,,GREENWOOD MIDDLE SCHOOL,JOHNSON,7,92.12
,,,GREENWOOD COMMUNITY HIGH SCH,JOHNSON,12,87.64
,,,GREENWOOD NORTHEAST ELEMENTARY SCH,JOHNSON,1,93.44
,,,SOUTHWEST ELEMENTARY SCHOOL,JOHNSON,1,92
,,,V O ISOM CENTRAL ELEM SCHOOL,JOHNSON,1,90.91
,,,WESTWOOD ELEMENTARY SCHOOL,JOHNSON,1,91.67
,,,SOUTHWEST ELEMENTARY SCHOOL,JOHNSON,K,71.43
,,,WESTWOOD ELEMENTARY SCHOOL,JOHNSON,K,70.97
,,,GREENWOOD MIDDLE SCHOOL,JOHNSON,6,91.18
,,,INDIAN CREEK MIDDLE SCHOOL,JOHNSON,6,96.99
,,,INDIAN CREEK ELEMENTARY SCHOOL,JOHNSON,K,89.23
,,,INDIAN CREEK SR HIGH SCHOOL,JOHNSON,12,97.22
,,,INDIAN CREEK MIDDLE SCHOOL,JOHNSON,7,97.65
,,,INDIAN CREEK ELEMENTARY SCHOOL,JOHNSON,1,96.69
,,,NORTH KNOX PRIMARY SCHOOL,KNOX,1,97.92
,,,NORTH KNOX PRIMARY SCHOOL,KNOX,K,97.37
,,,NORTH KNOX JR-SR HIGH SCHOOL,KNOX,7,98.11
,,,NORTH KNOX INTERMEDIATE,KNOX,6,96.7
,,,NORTH KNOX JR-SR HIGH SCHOOL,KNOX,12,97.94
,,,SOUTH KNOX MIDDLE-HIGH SCHOOL,KNOX,12,98.2
,,,SOUTH KNOX ELEMENTARY SCHOOL,KNOX,K,93.51
,,,SOUTH KNOX ELEMENTARY SCHOOL,KNOX,1,95.56
,,,SOUTH KNOX MIDDLE-HIGH SCHOOL,KNOX,7,96.81
,,,SOUTH KNOX ELEMENTARY SCHOOL,KNOX,6,87.5
,,,JAMES WHITCOMB RILEY ELEM SCH,KNOX,1,89.66
,,,TECUMSEH-HARRISON ELEMENTARY SCH,KNOX,1,96.67
,,,GEORGE ROGERS CLARK SCHOOL,KNOX,7,98.95
,,,WASHINGTON LEARNING ACADEMY,KNOX,7,100
,,,BENJAMIN FRANKLIN ELEMENTARY SCH,KNOX,1,93.65
,,,FRANCIS VIGO ELEMENTARY SCHOOL,KNOX,1,93.75
,,,GEORGE ROGERS CLARK SCHOOL,KNOX,6,97.64
,,,WASHINGTON LEARNING ACADEMY,KNOX,6,100
,,,BENJAMIN FRANKLIN ELEMENTARY SCH,KNOX,K,98.39
,,,FRANCIS VIGO ELEMENTARY SCHOOL,KNOX,K,98.41
,,,JAMES WHITCOMB RILEY ELEM SCH,KNOX,K,89.47
,,,TECUMSEH-HARRISON ELEMENTARY SCH,KNOX,K,96.23
,,,LINCOLN HIGH SCHOOL,KNOX,12,98.27
,,,WASHINGTON LEARNING ACADEMY,KNOX,12,92.59
,,,WAWASEE HIGH SCHOOL,KOSCIUSKO,12,90
,,,MILFORD ELEMENTARY SCHOOL,KOSCIUSKO,K,74.29
,,,NORTH WEBSTER ELEMENTARY SCHOOL,KOSCIUSKO,K,82.14
,,,SYRACUSE ELEMENTARY SCHOOL,KOSCIUSKO,K,87.18
,,,WAWASEE MIDDLE SCHOOL,KOSCIUSKO,7,89.86
,,,MILFORD ELEMENTARY SCHOOL,KOSCIUSKO,1,78.38
,,,NORTH WEBSTER ELEMENTARY SCHOOL,KOSCIUSKO,1,83.75
,,,SYRACUSE ELEMENTARY SCHOOL,KOSCIUSKO,1,92.21
,,,WAWASEE MIDDLE SCHOOL,KOSCIUSKO,6,93.4
,,,CLAYPOOL ELEMENTARY SCHOOL,KOSCIUSKO,6,93.55
,,,EISENHOWER ELEMENTARY SCHOOL,KOSCIUSKO,6,87.5
,,,HARRISON ELEMENTARY SCHOOL,KOSCIUSKO,6,96.97
,,,JEFFERSON ELEMENTARY SCHOOL,KOSCIUSKO,6,95.52
,,,LEESBURG ELEMENTARY SCHOOL,KOSCIUSKO,6,94.37
,,,LINCOLN ELEMENTARY SCHOOL,KOSCIUSKO,6,93.06
,,,MADISON ELEMENTARY SCHOOL,KOSCIUSKO,6,97.06
,,,WASHINGTON ELEMENTARY SCHOOL,KOSCIUSKO,6,96.55
,,,WARSAW COMMUNITY HIGH SCHOOL,KOSCIUSKO,12,94.13
,,,CLAYPOOL ELEMENTARY SCHOOL,KOSCIUSKO,1,96.15
,,,EISENHOWER ELEMENTARY SCHOOL,KOSCIUSKO,1,97.01
,,,HARRISON ELEMENTARY SCHOOL,KOSCIUSKO,1,96.43
,,,JEFFERSON ELEMENTARY SCHOOL,KOSCIUSKO,1,90.67
,,,LEESBURG ELEMENTARY SCHOOL,KOSCIUSKO,1,97.59
,,,LINCOLN ELEMENTARY SCHOOL,KOSCIUSKO,1,93.1
,,,MADISON ELEMENTARY SCHOOL,KOSCIUSKO,1,91.23
,,,WASHINGTON ELEMENTARY SCHOOL,KOSCIUSKO,1,92
,,,CLAYPOOL ELEMENTARY SCHOOL,KOSCIUSKO,K,95
,,,EISENHOWER ELEMENTARY SCHOOL,KOSCIUSKO,K,95.38
,,,HARRISON ELEMENTARY SCHOOL,KOSCIUSKO,K,98.04
,,,JEFFERSON ELEMENTARY SCHOOL,KOSCIUSKO,K,86.21
,,,LEESBURG ELEMENTARY SCHOOL,KOSCIUSKO,K,69.09
,,,LINCOLN ELEMENTARY SCHOOL,KOSCIUSKO,K,90.91
,,,MADISON ELEMENTARY SCHOOL,KOSCIUSKO,K,92.86
,,,WASHINGTON ELEMENTARY SCHOOL,KOSCIUSKO,K,93.85
,,,EDGEWOOD MIDDLE SCHOOL,KOSCIUSKO,7,96.24
,,,LAKEVIEW MIDDLE SCHOOL,KOSCIUSKO,7,97.3
,,,TIPPECANOE VALLEY MIDDLE SCHOOL,KOSCIUSKO,7,96.4
,,,TIPPECANOE VALLEY MIDDLE SCHOOL,KOSCIUSKO,6,91.04
,,,TIPPECANOE VALLEY HIGH SCHOOL,KOSCIUSKO,12,92.13
,,,AKRON ELEMENTARY SCHOOL,FULTON,K,96.55
,,,MENTONE ELEMENTARY SCHOOL,KOSCIUSKO,K,100
,,,AKRON ELEMENTARY SCHOOL,FULTON,1,92.16
,,,MENTONE ELEMENTARY SCHOOL,KOSCIUSKO,1,92.31
,,,PIERCETON ELEMENTARY SCHOOL,KOSCIUSKO,6,97.3
,,,SOUTH WHITLEY ELEMENTARY SCHOOL,WHITLEY,6,85.71
,,,WHITKO JR/SR HIGH SCHOOL,WHITLEY,7,94.32
,,,WHITKO JR/SR HIGH SCHOOL,WHITLEY,12,94.12
,,,PIERCETON ELEMENTARY SCHOOL,KOSCIUSKO,K,86.11
,,,SOUTH WHITLEY ELEMENTARY SCHOOL,WHITLEY,K,84.38
,,,PIERCETON ELEMENTARY SCHOOL,KOSCIUSKO,1,93.94
,,,SOUTH WHITLEY ELEMENTARY SCHOOL,WHITLEY,1,94.44
,,,PRAIRIE HEIGHTS ELEMENTARY SCHOOL,LAGRANGE,1,91.75
,,,PRAIRIE HEIGHTS MIDDLE SCHOOL,LAGRANGE,6,98.11
,,,PRAIRIE HEIGHTS ELEMENTARY SCHOOL,LAGRANGE,K,84.88
,,,PRAIRIE HEIGHTS SR HIGH SCHOOL,LAGRANGE,12,98.97
,,,PRAIRIE HEIGHTS MIDDLE SCHOOL,LAGRANGE,7,94.52
,,,MEADOWVIEW ELEMENTARY SCHOOL,LAGRANGE,1,71.43
,,,SHIPSHEWANA-SCOTT ELEMENTARY SCH,LAGRANGE,1,77.78
,,,TOPEKA ELEMENTARY SCHOOL,LAGRANGE,1,87.76
,,,WESTVIEW ELEMENTARY SCHOOL,LAGRANGE,6,78.7
,,,MEADOWVIEW ELEMENTARY SCHOOL,LAGRANGE,K,59.21
,,,SHIPSHEWANA-SCOTT ELEMENTARY SCH,LAGRANGE,K,70
,,,TOPEKA ELEMENTARY SCHOOL,LAGRANGE,K,80.77
,,,WESTVIEW JR-SR HIGH SCHOOL,LAGRANGE,7,82.14
,,,WESTVIEW JR-SR HIGH SCHOOL,LAGRANGE,12,92.31
,,,LAKELAND INTERMEDIATE SCHOOL,LAGRANGE,6,94.95
,,,LAKELAND PRIMARY SCHOOL,LAGRANGE,K,84.47
,,,LAKELAND JR/SR HIGH SCHOOL,LAGRANGE,12,96
,,,LAKELAND JR/SR HIGH SCHOOL,LAGRANGE,7,97.94
,,,LAKELAND PRIMARY SCHOOL,LAGRANGE,1,89.9
,,,EAGLE PARK COMMUNITY SCHOOL,LAKE,12,100
,,,EAGLE PARK COMMUNITY SCHOOL,LAKE,7,100
,,,EAGLE PARK COMMUNITY SCHOOL,LAKE,6,100
,,,HANOVER CENTRAL MIDDLE SCHOOL,LAKE,6,91.04
,,,HANOVER CENTRAL MIDDLE SCHOOL,LAKE,7,96.02
,,,JANE BALL ELEMENTARY SCHOOL,LAKE,K,95.59
,,,LINCOLN ELEMENTARY SCHOOL,LAKE,K,94.44
,,,HANOVER CENTRAL HIGH SCHOOL,LAKE,12,93.72
,,,JANE BALL ELEMENTARY SCHOOL,LAKE,1,91.4
,,,LINCOLN ELEMENTARY SCHOOL,LAKE,1,93.41
,,,RIVER FOREST MIDDLE SCHOOL,LAKE,6,96.77
,,,RIVER FOREST HIGH SCHOOL,LAKE,12,95.62
,,,HENRY S EVANS ELEMENTARY SCHOOL,LAKE,1,93.1
,,,JOHN I MEISTER ELEMENTARY SCHOOL,LAKE,1,94.37
,,,HENRY S EVANS ELEMENTARY SCHOOL,LAKE,K,89.83
,,,JOHN I MEISTER ELEMENTARY SCHOOL,LAKE,K,68.75
,,,RIVER FOREST MIDDLE SCHOOL,LAKE,7,95.9
,,,EDGAR L MILLER ELEMENTARY SCHOOL,LAKE,K,91.84
,,,HENRY P FIELER ELEMENTARY SCHOOL,LAKE,K,86.52
,,,HOMER IDDINGS ELEMENTARY SCHOOL,LAKE,K,89.16
,,,JOHN WOOD ELEMENTARY SCHOOL,LAKE,K,86.36
,,,JONAS E SALK ELEMENTARY SCHOOL,LAKE,K,93.18
,,,EDGAR L MILLER ELEMENTARY SCHOOL,LAKE,1,96.72
,,,HENRY P FIELER ELEMENTARY SCHOOL,LAKE,1,91.57
,,,HOMER IDDINGS ELEMENTARY SCHOOL,LAKE,1,86.02
,,,JOHN WOOD ELEMENTARY SCHOOL,LAKE,1,88.1
,,,JONAS E SALK ELEMENTARY SCHOOL,LAKE,1,92.71
,,,MERRILLVILLE INTERMEDIATE SCHOOL,LAKE,6,95.41
,,,MERRILLVILLE HIGH SCHOOL,LAKE,12,94.92
,,,PIERCE MIDDLE SCHOOL,LAKE,7,95.34
,,,HAL E CLARK MIDDLE SCHOOL,LAKE,7,97.17
,,,KAHLER MIDDLE SCHOOL,LAKE,7,94.71
,,,MICHAEL GRIMMER MIDDLE SCHOOL,LAKE,7,94.58
,,,HAL E CLARK MIDDLE SCHOOL,LAKE,6,92.11
,,,KAHLER MIDDLE SCHOOL,LAKE,6,91.3
,,,MICHAEL GRIMMER MIDDLE SCHOOL,LAKE,6,91.5
,,,GEORGE BIBICH ELEMENTARY SCHOOL,LAKE,1,75.76
,,,HOMAN ELEMENTARY SCHOOL,LAKE,1,75
,,,JAMES H WATSON ELEMENTARY SCHOOL,LAKE,1,76.7
,,,KOLLING ELEMENTARY SCHOOL,LAKE,1,74.29
,,,PEIFER ELEMENTARY SCHOOL,LAKE,1,75
,,,PROTSMAN ELEMENTARY SCHOOL,LAKE,1,77.05
,,,LAKE CENTRAL HIGH SCHOOL,LAKE,12,94.07
,,,GEORGE BIBICH ELEMENTARY SCHOOL,LAKE,K,77.88
,,,HOMAN ELEMENTARY SCHOOL,LAKE,K,79.25
,,,JAMES H WATSON ELEMENTARY SCHOOL,LAKE,K,70.18
,,,KOLLING ELEMENTARY SCHOOL,LAKE,K,80.82
,,,PEIFER ELEMENTARY SCHOOL,LAKE,K,84.62
,,,PROTSMAN ELEMENTARY SCHOOL,LAKE,K,64.15
,,,LAKE PRAIRIE ELEMENTARY SCHOOL,LAKE,1,98
,,,OAK HILL ELEMENTARY SCHOOL,LAKE,1,89.13
,,,THREE CREEKS ELEM SCHOOL,LAKE,1,92.75
,,,LAKE PRAIRIE ELEMENTARY SCHOOL,LAKE,K,93.42
,,,OAK HILL ELEMENTARY SCHOOL,LAKE,K,90.41
,,,THREE CREEKS ELEM SCHOOL,LAKE,K,96.43
,,,LOWELL SENIOR HIGH SCHOOL,LAKE,12,95.1
,,,LAKE RIDGE NEW TECH MIDDLE SCHOOL,LAKE,6,93.9
,,,LAKE RIDGE NEW TECH MIDDLE SCHOOL,LAKE,7,92.05
,,,CALUMET NEW TECH HIGH SCHOOL,LAKE,12,95.8
,,,LONGFELLOW NEW TECH ELEMENTARY SCH,LAKE,1,80.56
,,,COLONEL JOHN WHEELER MIDDLE SCHOOL,LAKE,7,98.14
,,,ROBERT TAFT MIDDLE SCHOOL,LAKE,7,98.36
,,,CROWN POINT HIGH SCHOOL,LAKE,12,97.93
,,,COLONEL JOHN WHEELER MIDDLE SCHOOL,LAKE,6,98.59
,,,ROBERT TAFT MIDDLE SCHOOL,LAKE,6,99.08
,,,DOUGLAS MACARTHUR ELEM SCHOOL,LAKE,1,96.81
,,,DWIGHT D EISENHOWER ELEM SCHOOL,LAKE,1,93.75
,,,JERRY ROSS ELEMENTARY SCHOOL,LAKE,1,94.57
,,,LAKE STREET ELEMENTARY SCHOOL,LAKE,1,100
,,,SOLON ROBINSON ELEMENTARY SCHOOL,LAKE,1,93.33
,,,TIMOTHY BALL ELEMENTARY SCHOOL,LAKE,1,93.94
,,,WINFIELD ELEMENTARY SCHOOL,LAKE,1,97.27
,,,DOUGLAS MACARTHUR ELEM SCHOOL,LAKE,K,90.77
,,,DWIGHT D EISENHOWER ELEM SCHOOL,LAKE,K,96.36
,,,JERRY ROSS ELEMENTARY SCHOOL,LAKE,K,88.89
,,,LAKE STREET ELEMENTARY SCHOOL,LAKE,K,85.71
,,,SOLON ROBINSON ELEMENTARY SCHOOL,LAKE,K,89.23
,,,TIMOTHY BALL ELEMENTARY SCHOOL,LAKE,K,90.41
,,,WINFIELD ELEMENTARY SCHOOL,LAKE,K,97.67
,,,JOSEPH BLOCK MIDDLE SCHOOL,LAKE,7,94.9
,,,EAST CHICAGO CENTRAL HIGH SCHOOL,LAKE,12,99.08
,,,ABRAHAM LINCOLN ELEMENTARY SCHOOL - SCHOOL CITY OF EAST CHICAGO,LAKE,1,85.71
,,,BENJAMIN HARRISON ELEMENTARY SCH,LAKE,1,85.51
,,,GEORGE WASHINGTON ELEMENTARY SCH,LAKE,1,91.94
,,,WILLIAM MCKINLEY ELEMENTARY SCHOOL,LAKE,1,93.33
,,,ABRAHAM LINCOLN ELEMENTARY SCHOOL - SCHOOL CITY OF EAST CHICAGO,LAKE,6,93.33
,,,BENJAMIN HARRISON ELEMENTARY SCH,LAKE,6,95.74
,,,GEORGE WASHINGTON ELEMENTARY SCH,LAKE,6,97.1
,,,WILLIAM MCKINLEY ELEMENTARY SCHOOL,LAKE,6,95.59
,,,ABRAHAM LINCOLN ELEMENTARY SCHOOL - SCHOOL CITY OF EAST CHICAGO,LAKE,K,90.48
,,,BENJAMIN HARRISON ELEMENTARY SCH,LAKE,K,86.27
,,,GEORGE WASHINGTON ELEMENTARY SCH,LAKE,K,86.67
,,,WILLIAM MCKINLEY ELEMENTARY SCHOOL,LAKE,K,82.61
,,,ALEXANDER HAMILTON ELEMENTARY SCH,LAKE,1,88.57
,,,VIRGIL I BAILEY ELEMENTARY SCHOOL,LAKE,1,78.85
,,,THOMAS A EDISON JR-SR HS,LAKE,6,93.83
,,,THOMAS A EDISON JR-SR HS,LAKE,7,95.77
,,,THOMAS A EDISON JR-SR HS,LAKE,12,95.7
,,,ALEXANDER HAMILTON ELEMENTARY SCH,LAKE,K,80
,,,VIRGIL I BAILEY ELEMENTARY SCHOOL,LAKE,K,90.63
,,,ELSIE WADSWORTH ELEMENTARY SCHOOL,LAKE,1,89.33
,,,GRIFFTH JR/SR HIGH SCHOOL,LAKE,6,90.6
,,,GRIFFTH JR/SR HIGH SCHOOL,LAKE,12,92.97
,,,ELSIE WADSWORTH ELEMENTARY SCHOOL,LAKE,K,91.03
,,,GRIFFTH JR/SR HIGH SCHOOL,LAKE,7,96.13
,,,CHARLES N SCOTT MIDDLE SCHOOL,LAKE,7,94.77
,,,HENRY W EGGERS MIDDLE SCHOOL,LAKE,7,97.89
,,,ABRAHAM LINCOLN ELEMENTARY SCHOOL - SCHOOL CITY OF HAMMOND,LAKE,1,90.24
,,,ANNIE BURNS-HICKS ELEMENTARY SCHOOL,LAKE,1,90.11
,,,BENJAMIN FRANKLIN ELEMENTARY SCH,LAKE,1,88.89
,,,FRANK O'BANNON ELEMENTARY SCHOOL,LAKE,1,89.02
,,,JOSEPH HESS ELEMENTARY SCHOOL,LAKE,1,89.13
,,,THOMAS A EDISON ELEMENTARY SCHOOL,LAKE,1,85
,,,THOMAS JEFFERSON ELEMENTARY SCHOOL,LAKE,1,92.86
,,,WARREN G HARDING ELEMENTARY SCHOOL,LAKE,1,91.6
,,,WASHINGTON IRVING ELEMENTARY SCH,LAKE,1,90.29
,,,ABRAHAM LINCOLN ELEMENTARY SCHOOL - SCHOOL CITY OF HAMMOND,LAKE,6,100
,,,ANNIE BURNS-HICKS ELEMENTARY SCHOOL,LAKE,6,95.92
,,,BENJAMIN FRANKLIN ELEMENTARY SCH,LAKE,6,86.67
,,,FRANK O'BANNON ELEMENTARY SCHOOL,LAKE,6,91.89
,,,JOSEPH HESS ELEMENTARY SCHOOL,LAKE,6,94.87
,,,THOMAS A EDISON ELEMENTARY SCHOOL,LAKE,6,94.52
,,,THOMAS JEFFERSON ELEMENTARY SCHOOL,LAKE,6,98.31
,,,WARREN G HARDING ELEMENTARY SCHOOL,LAKE,6,92.38
,,,WASHINGTON IRVING ELEMENTARY SCH,LAKE,6,88.76
,,,ABRAHAM LINCOLN ELEMENTARY SCHOOL - SCHOOL CITY OF HAMMOND,LAKE,K,70.67
,,,ANNIE BURNS-HICKS ELEMENTARY SCHOOL,LAKE,K,87.64
,,,BENJAMIN FRANKLIN ELEMENTARY SCH,LAKE,K,86.11
,,,FRANK O'BANNON ELEMENTARY SCHOOL,LAKE,K,67.65
,,,JOSEPH HESS ELEMENTARY SCHOOL,LAKE,K,69.74
,,,THOMAS A EDISON ELEMENTARY SCHOOL,LAKE,K,78.35
,,,THOMAS JEFFERSON ELEMENTARY SCHOOL,LAKE,K,88.73
,,,WARREN G HARDING ELEMENTARY SCHOOL,LAKE,K,84.04
,,,WASHINGTON IRVING ELEMENTARY SCH,LAKE,K,82.52
,,,HAMMOND CENTRAL HIGH SCHOOL,LAKE,12,92.18
,,,MORTON SENIOR HIGH SCHOOL,LAKE,12,94.1
,,,HIGHLAND HIGH SCHOOL,LAKE,12,95.41
,,,HIGHLAND MIDDLE SCHOOL,LAKE,6,95.62
,,,ALLEN J WARREN ELEMENTARY SCHOOL,LAKE,K,87.23
,,,JUDITH MORTON JOHNSTON ELEMENTARY,LAKE,K,95
,,,MILDRED MERKLEY ELEMENTARY SCHOOL,LAKE,K,94.23
,,,SOUTHRIDGE ELEMENTARY SCHOOL,LAKE,K,91.55
,,,ALLEN J WARREN ELEMENTARY SCHOOL,LAKE,1,84.91
,,,JUDITH MORTON JOHNSTON ELEMENTARY,LAKE,1,90.32
,,,MILDRED MERKLEY ELEMENTARY SCHOOL,LAKE,1,87.76
,,,SOUTHRIDGE ELEMENTARY SCHOOL,LAKE,1,96.2
,,,HIGHLAND MIDDLE SCHOOL,LAKE,7,98.86
,,,HOBART MIDDLE SCHOOL,LAKE,7,97.6
,,,HOBART HIGH SCHOOL,LAKE,12,93.38
