Facility Number,Facility Address,School Type,School District or Name,County,Age Group,MMR Vaccination Rate
,,,SAINT BERNARD ELEMENTARY SCHOOL,WABASH,K,100
,,,SAINT CHARLES BORROMEO SCHOOL,ALLEN,K,82.95
,,,SAINT ELIZABETH ANN SETON CATHOLIC SCH,ALLEN,K,96
,,,SAINT JOHN THE BAPTIST CATHOLIC,ALLEN,K,100
,,,SAINT JOSEPH CATHOLIC SCHOOL,ALLEN,K,77.27
,,,SAINT JOSEPH SCHOOL,ST. JOSEPH,K,91.67
,,,SAINT JOSEPH SCHOOL,DE KALB,K,72.73
,,,SAINT JUDE CATHOLIC SCHOOL,ST. JOSEPH,K,88.89
,,,SAINT MATTHEW CATHEDRAL SCHOOL,ST. JOSEPH,K,80
,,,SAINT MICHAEL SCHOOL,MARSHALL,K,91.67
,,,SAINT THERESE SCHOOL,ALLEN,K,77.78
,,,SAINT VINCENT DEPAUL SCHOOL,ALLEN,K,93.9
,,,ST JOHN EVANGELIST SCHOOL,ELKHART,K,92.59
,,,ST PIUS X CATHOLIC SCHOOL,ST. JOSEPH,K,87.3
,,,ST THOMAS THE APOSTLE SCHOOL,ELKHART,K,76.92
,,,ST VINCENT DE PAUL SCHOOL,ELKHART,K,100
,,,COVENANT CHRISTIAN SCHOOL,ST. JOSEPH,6,100
,,,HOLY CROSS,ST. JOSEPH,6,95
,,,EAST CHICAGO LIGHTHOUSE,LAKE,K,71.74
,,,EAST CHICAGO LIGHTHOUSE,LAKE,1,68.09
,,,EAST CHICAGO LIGHTHOUSE,LAKE,6,92.86
,,,EAST CHICAGO LIGHTHOUSE,LAKE,7,83.33
,,,TRADERS POINT CHRISTIAN SCHOOLS,BOONE,K,92.06
,,,TRADERS POINT CHRISTIAN SCHOOLS,BOONE,1,94.55
,,,TRADERS POINT CHRISTIAN SCHOOLS,BOONE,6,100
,,,TRADERS POINT CHRISTIAN SCHOOLS,BOONE,7,100
,,,TRADERS POINT CHRISTIAN SCHOOLS,BOONE,12,100
,,,CARROLL HIGH SCHOOL,ALLEN,12,95.19
,,,ARCOLA SCHOOL,ALLEN,K,89.19
,,,ASPEN MEADOW ELEMENTARY SCHOOL,ALLEN,K,94.79
,,,CEDAR CANYON ELEMENTARY SCHOOL,ALLEN,K,88.04
